date_obj,Green%20dye price
2015-03-26,5718
2015-03-27,5718
2015-03-28,5432
2015-03-29,5432
2015-03-30,5171
2015-03-31,5171
2015-04-01,5171
2015-04-02,4912
2015-04-03,4912
2015-04-04,4666
2015-04-05,4666
2015-04-06,4436
2015-04-07,4436
2015-04-08,4436
2015-04-09,4214
2015-04-10,4214
2015-04-11,4003
2015-04-12,4003
2015-04-13,3807
2015-04-14,3807
2015-04-15,3617
2015-04-16,3617
2015-04-17,3438
2015-04-18,3438
2015-04-19,3275
2015-04-20,3275
2015-04-21,3275
2015-04-22,3116
2015-04-23,3116
2015-04-24,2966
2015-04-25,2966
2015-04-26,2966
2015-04-27,2817
2015-04-28,2817
2015-04-29,2817
2015-04-30,2676
2015-05-01,2676
2015-05-02,2542
2015-05-03,2542
2015-05-04,2542
2015-05-05,2414
2015-05-06,2414
2015-05-07,2307
2015-05-08,2307
2015-05-09,2307
2015-05-10,2191
2015-05-11,2191
2015-05-12,2082
2015-05-13,2082
2015-05-14,1980
2015-05-15,1980
2015-05-16,1980
2015-05-17,1881
2015-05-18,1881
2015-05-19,1881
2015-05-20,1786
2015-05-21,1786
2015-05-22,1786
2015-05-23,1696
2015-05-24,1696
2015-05-25,1612
2015-05-26,1612
2015-05-27,1612
2015-05-28,1531
2015-05-29,1531
2015-05-30,1454
2015-05-31,1454
2015-06-01,1381
2015-06-02,1381
2015-06-03,1311
2015-06-04,1311
2015-06-05,1245
2015-06-06,1245
2015-06-07,1182
2015-06-08,1182
2015-06-09,1122
2015-06-10,1122
2015-06-11,1065
2015-06-12,1065
2015-06-13,1011
2015-06-14,1011
2015-06-15,960
2015-06-16,960
2015-06-17,912
2015-06-18,912
2015-06-19,878
2015-06-20,878
2015-06-21,852
2015-06-22,852
2015-06-23,843
2015-06-24,843
2015-06-25,859
2015-06-26,859
2015-06-27,851
2015-06-28,851
2015-06-29,860
2015-06-30,860
2015-07-01,872
2015-07-02,872
2015-07-03,830
2015-07-04,830
2015-07-05,817
2015-07-06,817
2015-07-07,818
2015-07-08,818
2015-07-09,822
2015-07-10,822
2015-07-11,839
2015-07-12,839
2015-07-13,861
2015-07-14,861
2015-07-15,846
2015-07-16,846
2015-07-17,837
2015-07-18,837
2015-07-19,796
2015-07-20,796
2015-07-21,756
2015-07-22,718
2015-07-23,718
2015-07-24,722
2015-07-25,722
2015-07-26,724
2015-07-27,724
2015-07-28,697
2015-07-29,684
2015-07-30,684
2015-07-31,707
2015-08-01,707
2015-08-02,699
2015-08-03,699
2015-08-04,691
2015-08-05,691
2015-08-06,663
2015-08-07,663
2015-08-08,659
2015-08-09,659
2015-08-10,641
2015-08-11,641
2015-08-12,622
2015-08-13,622
2015-08-14,623
2015-08-15,623
2015-08-16,632
2015-08-17,632
2015-08-18,629
2015-08-19,629
2015-08-20,641
2015-08-21,641
2015-08-22,633
2015-08-23,633
2015-08-24,621
2015-08-25,621
2015-08-26,621
2015-08-27,627
2015-08-28,627
2015-08-29,620
2015-08-30,620
2015-08-31,590
2015-09-01,590
2015-09-02,590
2015-09-03,560
2015-09-04,560
2015-09-05,564
2015-09-06,564
2015-09-07,578
2015-09-08,578
2015-09-09,591
2015-09-10,591
2015-09-11,610
2015-09-12,610
2015-09-13,594
2015-09-14,594
2015-09-15,581
2015-09-16,581
2015-09-17,570
2015-09-18,570
2015-09-19,564
2015-09-20,564
2015-09-21,568
2015-09-22,568
2015-09-23,540
2015-09-24,540
2015-09-25,540
2015-09-27,518
2015-09-28,527
2015-09-29,527
2015-09-30,541
2015-10-05,574
2015-10-06,574
2015-10-07,594
2015-10-08,594
2015-10-09,614
2015-10-10,614
2015-10-11,604
2015-10-12,604
2015-10-13,599
2015-10-14,599
2015-10-15,594
2015-10-16,594
2015-10-17,594
2015-10-18,598
2015-10-19,598
