date_obj,Light%20bow%20tie price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5000000
2016-07-11,5000000
2016-07-12,5000000
2016-07-13,5000000
2016-07-14,5000000
2016-07-15,5000000
2016-07-16,5000000
2016-07-17,5000000
2016-07-18,5000000
2016-07-23,5000000
2016-07-24,5000000
2016-07-25,5000000
2016-07-26,5000000
2016-07-27,5000000
2016-07-28,5000000
2016-07-29,5000000
2016-07-30,5000000
2016-07-31,5000000
2016-08-01,5000000
2016-08-02,5000000
2016-08-03,5000000
2016-08-04,5000000
2016-08-05,5000000
2016-08-06,5000000
2016-08-07,5000000
2016-08-08,5000000
2016-08-09,5000000
2016-08-10,5000000
2016-08-11,5000000
2016-08-12,5000000
2016-08-13,5000000
2016-08-14,5000000
2016-08-15,5000000
2016-08-16,5000000
2016-08-17,5000000
2016-08-18,5000000
2016-08-19,5000000
2016-08-20,5000000
2016-08-21,5000000
2016-08-22,5000000
2016-08-23,5000000
2016-08-24,5000000
2016-08-25,5000000
2016-08-26,5000000
2016-08-28,5000000
2016-08-31,5000000
2016-09-01,5000000
2016-09-02,5000000
2016-09-03,5000000
2016-09-04,5000000
2016-09-05,5000000
2016-09-06,5000000
2016-09-07,5000000
2016-09-08,5000000
2016-09-09,5000000
2016-09-10,5000000
2016-09-11,5000000
2016-09-12,5000000
2016-09-13,5000000
2016-09-14,5000000
2016-09-15,5000000
2016-09-16,5000000
2016-09-17,5000000
2016-09-18,5000000
2016-09-19,5000000
2016-09-20,5000000
2016-09-21,5000000
2016-09-22,5000000
2016-09-23,5000000
2016-09-24,5000000
2016-09-25,5000000
2016-09-26,5000000
2016-09-27,5000000
2016-09-28,5000000
2016-09-29,5000000
2016-09-30,5000000
2016-10-01,5000000
2016-10-02,5000000
2016-10-03,5000000
2016-10-04,5000000
2016-10-05,5000000
2016-10-06,5000000
2016-10-07,5000000
2016-10-08,5000000
2016-10-09,4769173
2016-10-10,4769173
2016-10-11,4769173
2016-10-12,4769173
2016-10-13,4769173
2016-10-14,4769173
2016-10-15,4769173
2016-10-16,4769173
2016-10-17,4769173
2016-10-18,4769173
2016-10-19,4769173
2016-10-20,4769173
2016-10-21,4769173
2016-10-22,4769173
2016-10-23,4769173
2016-10-24,4769173
2016-10-25,4769173
2016-10-26,4769173
2016-10-27,4769173
2016-10-28,4769173
2016-10-29,4769173
2016-10-30,4769173
2016-10-31,4769173
2016-11-01,4769173
2016-11-02,4769173
2016-11-03,4769173
2016-11-04,4769173
2016-11-05,4769173
2016-11-06,4769173
2016-11-07,4769173
2016-11-08,4769173
2016-11-09,4769173
2016-11-10,4769173
2016-11-11,4769173
2016-11-12,4769173
2016-11-13,4769173
2016-11-14,4769173
2016-12-07,4769173
2016-12-08,4769173
2016-12-09,4769173
2016-12-10,4769173
2016-12-11,4769173
2016-12-12,4769173
2016-12-13,4769173
2016-12-14,4769173
2016-12-15,4769173
2016-12-16,4769173
2016-12-17,4769173
2016-12-18,4769173
2016-12-19,4769173
2016-12-20,4769173
2016-12-21,4769173
2016-12-22,4769173
2016-12-23,4769173
2016-12-24,4769173
2016-12-25,4769173
2016-12-26,4769173
2016-12-27,4769173
2016-12-28,4532504
2016-12-29,4532504
2016-12-30,4532504
2016-12-31,4532504
2017-01-01,4532504
2017-01-02,4532504
2017-01-03,4532504
2017-01-04,4532504
2017-01-05,4532504
2017-01-06,4532504
2017-01-07,4532504
2017-01-08,4532504
2017-01-09,4532504
2017-01-10,4532504
2017-01-11,4532504
2017-01-12,4532504
2017-01-13,4532504
2017-01-14,4532504
2017-01-15,4532504
2017-01-16,4532504
2017-01-17,4532504
2017-01-18,4532504
2017-01-19,4532504
2017-01-20,4532504
2017-01-21,4532504
2017-01-22,4532504
2017-01-27,4532504
2017-01-28,4532504
2017-01-29,4532504
2017-01-30,4532504
2017-01-31,4532504
2017-02-01,4532504
2017-02-02,4532504
2017-02-03,4532504
2017-02-04,4532504
2017-02-05,4532504
2017-02-06,4532504
2017-02-07,4532504
2017-02-08,4532504
2017-02-09,4532504
2017-02-10,4532504
2017-02-11,4532504
2017-02-12,4532504
2017-02-13,4532504
2017-02-14,4532504
2017-02-15,4532504
2017-02-16,4532504
2017-02-18,4532504
2017-02-19,4532504
2017-02-20,4532504
2017-02-21,4532504
2017-02-22,4532504
2017-02-23,4532504
2017-02-24,4532504
2017-02-25,4532504
2017-02-26,4532504
2017-02-27,4532504
2017-02-28,4532504
2017-03-01,4532504
2017-03-02,4532504
2017-03-03,4532504
2017-03-04,4532504
2017-03-05,4532504
2017-03-06,4532504
2017-03-07,4532504
2017-03-08,4532504
2017-03-09,4532504
2017-03-10,4532504
2017-03-11,4532504
2017-03-12,4532504
2017-03-13,4307691
2017-03-14,4307691
2017-03-15,4307691
2017-03-16,4307691
2017-03-17,4307691
2017-03-18,4307691
2017-03-19,4307691
2017-03-20,4307691
2017-03-21,4307691
2017-03-22,4307691
2017-03-23,4307691
2017-03-24,4307691
2017-03-25,4307691
2017-03-26,4307691
2017-03-27,4307691
2017-03-28,4307691
2017-03-29,4307691
2017-03-30,4307691
2017-03-31,4307691
2017-04-01,4307691
2017-04-02,4307691
2017-04-03,4307691
2017-04-04,4307691
2017-04-12,4307691
2017-04-13,4307691
2017-04-14,4307691
2017-04-15,4307691
2017-04-16,4307691
2017-04-17,4307691
2017-04-18,4307691
2017-04-19,4307691
2017-04-20,4307691
2017-04-21,4307691
2017-04-22,4307691
2017-04-23,4307691
2017-04-24,4307691
2017-04-25,4307691
2017-04-26,4307691
2017-04-27,4307691
2017-04-28,4307691
2017-04-29,4307691
2017-04-30,4307691
2017-05-01,4307691
2017-05-02,4307691
2017-05-03,4307691
2017-05-04,4307691
2017-05-05,4307691
2017-05-06,4307691
2017-05-07,4307691
2017-05-08,4307691
2017-05-09,4307691
2017-05-10,4307691
2017-05-11,4307691
2017-05-12,4307691
2017-05-13,4307691
2017-05-14,4307691
2017-05-15,4307691
2017-05-16,4307691
2017-05-17,4307691
2017-05-18,4307691
2017-05-19,4307691
2017-05-20,4307691
2017-05-21,4307691
2017-05-22,4307691
2017-05-23,4307691
2017-05-24,4307691
2017-05-25,4307691
2017-05-26,4307691
2017-05-27,4307691
2017-05-28,4307691
2017-05-29,4307691
2017-05-30,4307691
2017-05-31,4307691
2017-06-01,4307691
2017-06-02,4307691
2017-06-03,4307691
2017-06-06,4093946
2017-06-07,4093946
2017-06-08,4093946
2017-06-09,4093946
2017-06-10,4093946
2017-06-11,4093946
2017-06-12,4093946
2017-06-13,4093946
2017-06-14,4093946
2017-06-15,4093946
2017-06-16,4093946
2017-06-17,4093946
