date_obj,Zamorak%20mitre price
2015-03-26,182722
2015-03-27,182722
2015-03-28,181497
2015-03-29,180398
2015-03-30,179697
2015-03-31,181106
2015-04-01,181514
2015-04-02,184642
2015-04-03,189437
2015-04-04,191042
2015-04-05,187981
2015-04-06,186113
2015-04-07,181648
2015-04-08,177707
2015-04-09,172076
2015-04-10,165740
2015-04-11,159163
2015-04-12,152524
2015-04-13,145153
2015-04-14,138078
2015-04-15,131560
2015-04-16,129593
2015-04-17,126430
2015-04-18,123900
2015-04-19,118418
2015-04-20,113763
2015-04-21,109971
2015-04-22,106983
2015-04-23,105391
2015-04-24,104530
2015-04-25,104757
2015-04-26,106944
2015-04-27,107233
2015-04-28,107033
2015-04-29,107900
2015-04-30,110560
2015-05-01,112529
2015-05-02,111056
2015-05-03,110233
2015-05-04,109882
2015-05-05,110117
2015-05-06,112847
2015-05-07,115875
2015-05-08,121264
2015-05-09,126447
2015-05-10,131659
2015-05-11,134625
2015-05-12,140702
2015-05-13,147738
2015-05-14,153587
2015-05-15,158008
2015-05-16,162835
2015-05-17,164171
2015-05-18,163329
2015-05-19,162044
2015-05-20,160121
2015-05-21,154606
2015-05-22,149509
2015-05-23,143106
2015-05-24,136652
2015-05-25,131403
2015-05-26,127211
2015-05-27,124142
2015-05-28,120464
2015-05-29,116801
2015-05-30,112267
2015-05-31,106879
2015-06-01,102455
2015-06-02,102455
2015-06-03,98351
2015-06-04,96339
2015-06-05,93661
2015-06-06,92549
2015-06-07,90798
2015-06-08,91078
2015-06-09,91105
2015-06-10,91191
2015-06-11,88940
2015-06-12,86794
2015-06-13,85086
2015-06-14,83492
2015-06-15,83919
2015-06-16,83087
2015-06-17,82246
2015-06-18,81459
2015-06-19,79411
2015-06-20,77971
2015-06-21,75519
2015-06-22,74010
2015-06-23,73696
2015-06-24,73425
2015-06-25,74000
2015-06-26,75831
2015-06-27,79165
2015-06-28,82911
2015-06-29,85422
2015-06-30,88836
2015-07-01,91690
2015-07-02,95750
2015-07-03,100141
2015-07-04,104262
2015-07-05,106243
2015-07-06,109148
2015-07-07,111148
2015-07-08,111450
2015-07-09,111450
2015-07-10,110565
2015-07-11,112299
2015-07-12,114417
2015-07-13,114907
2015-07-14,116215
2015-07-15,115605
2015-07-16,112804
2015-07-17,107163
2015-07-18,101804
2015-07-19,97245
2015-07-20,94458
2015-07-21,93023
2015-07-22,91273
2015-07-23,88585
2015-07-24,87632
2015-07-25,87462
2015-07-26,87262
2015-07-27,88430
2015-07-28,91602
2015-07-29,95545
2015-07-30,97438
2015-07-31,100662
2015-08-01,103377
2015-08-02,104772
2015-08-03,105321
2015-08-04,105495
2015-08-05,103834
2015-08-06,99911
2015-08-07,98338
2015-08-08,97745
2015-08-09,97003
2015-08-10,93759
2015-08-11,89244
2015-08-12,86226
2015-08-13,83555
2015-08-14,86877
2015-08-15,89801
2015-08-16,92312
2015-08-17,96599
2015-08-18,101026
2015-08-19,104160
2015-08-20,108949
2015-08-21,107755
2015-08-22,107205
2015-08-23,106638
2015-08-24,103615
2015-08-25,100805
2015-08-26,98821
2015-08-27,96266
2015-08-28,91961
2015-08-29,92591
2015-08-30,94817
2015-08-31,97602
2015-09-01,99907
2015-09-02,102047
2015-09-03,103582
2015-09-04,103924
2015-09-05,103048
2015-09-06,101875
2015-09-07,101291
2015-09-08,100100
2015-09-09,98467
2015-09-10,98444
2015-09-11,97907
2015-09-12,95685
2015-09-13,94907
2015-09-14,94473
2015-09-15,95059
2015-09-16,97641
2015-09-17,99579
2015-09-18,102445
2015-09-19,104189
2015-09-20,106835
2015-09-21,108271
2015-09-22,110665
2015-09-23,108303
2015-09-24,110629
2015-09-25,110599
2015-09-27,110012
2015-09-28,109484
2015-09-29,106937
2015-09-30,104410
2015-10-05,93832
2015-10-06,94270
2015-10-07,91999
2015-10-08,94108
2015-10-09,95627
2015-10-10,95627
2015-10-11,97040
2015-10-12,97180
2015-10-13,95258
2015-10-14,93250
2015-10-15,91941
2015-10-16,93336
2015-10-17,93336
2015-10-18,94307
2015-10-19,93258
2015-10-20,93575
2015-10-22,93003
2015-10-23,93226
2015-10-24,94483
2015-10-25,93897
2015-10-26,93762
2015-10-27,93963
2015-10-29,93041
2015-10-30,93230
2015-10-31,91449
2015-11-01,91449
2015-11-02,89814
2015-11-03,87965
2015-11-05,82830
2015-11-06,79583
2015-11-07,76828
2015-11-08,74240
2015-11-09,71627
2015-11-10,68432
2015-11-11,65010
2015-11-12,61993
2015-11-13,62513
2015-11-14,62536
2015-11-15,62023
2015-11-16,63105
2015-11-17,64773
2015-11-18,66967
2015-11-19,70304
2015-11-20,73489
2015-11-21,73489
2015-11-22,76990
2015-11-23,76990
2015-11-24,80840
2015-11-25,84882
2015-11-26,89096
2015-11-27,93080
2015-11-28,96056
2015-11-29,97821
2015-11-30,97108
2015-12-01,94574
2015-12-02,91873
2015-12-03,89679
2015-12-04,86647
2015-12-05,83763
2015-12-06,82354
2015-12-07,83921
2015-12-08,85216
2015-12-09,85475
2015-12-10,84682
2015-12-11,85461
2015-12-13,89977
2015-12-14,91485
2015-12-15,91324
2015-12-16,89309
2015-12-17,91231
2015-12-18,89968
2015-12-19,90358
2015-12-20,91029
2015-12-21,93345
2015-12-22,94525
2015-12-23,94563
2015-12-24,93111
2015-12-25,90655
2015-12-26,90097
2015-12-27,91090
2015-12-28,92441
2015-12-29,93850
2015-12-30,94351
2015-12-31,92240
2016-01-01,92316
2016-01-02,94500
2016-01-03,96361
2016-01-04,92944
2016-01-05,90983
2016-01-06,89752
2016-01-07,89197
2016-01-08,89901
2016-01-09,91685
2016-01-10,93335
2016-01-11,93182
2016-01-12,93988
2016-01-13,94876
2016-01-14,94981
2016-01-15,92438
2016-01-16,91110
2016-01-17,91504
2016-01-18,90533
2016-01-19,91161
2016-01-20,92936
2016-01-21,92667
2016-01-22,89442
2016-01-23,88239
2016-01-24,86899
2016-01-25,84120
2016-01-26,80547
2016-01-27,76731
2016-01-28,73769
2016-01-29,70161
2016-01-30,68015
2016-01-31,67078
2016-02-01,66643
2016-02-02,67406
2016-02-03,69281
2016-02-04,70787
2016-02-05,72372
2016-02-06,72033
2016-02-07,72612
2016-02-08,71625
2016-02-09,70350
2016-02-10,70124
2016-02-11,71465
2016-02-12,72474
2016-02-13,72915
2016-02-14,72579
2016-02-15,72821
2016-02-16,72734
2016-02-17,69806
2016-02-18,68566
2016-02-19,68715
2016-02-20,70553
2016-02-21,68914
2016-02-22,68383
2016-02-23,70387
2016-02-24,73907
2016-02-25,75560
2016-02-26,74100
2016-02-27,73444
2016-02-28,72430
2016-02-29,72405
2016-03-01,73457
2016-03-02,75578
2016-03-03,76390
2016-03-04,76709
2016-03-05,76426
2016-03-06,74746
2016-03-07,73271
2016-03-08,72845
2016-03-09,72398
2016-03-10,72971
2016-03-11,73260
2016-03-12,74623
2016-03-13,75590
2016-03-14,75857
2016-03-15,77192
2016-03-16,78490
2016-03-17,79229
2016-03-18,79195
2016-03-19,79240
2016-03-20,78387
2016-03-21,76995
2016-03-22,76164
2016-03-23,76884
2016-03-24,77044
2016-03-25,77962
2016-03-26,79782
2016-03-27,79762
2016-03-28,78377
2016-03-29,78111
2016-03-30,76387
2016-03-31,75180
2016-04-01,73798
2016-04-02,72037
2016-04-03,71173
2016-04-04,69946
2016-04-05,68680
2016-04-06,67920
2016-04-07,71033
2016-04-08,72345
2016-04-09,74213
2016-04-10,77723
2016-04-11,77723
2016-04-12,79949
2016-04-13,80076
2016-04-14,81741
2016-04-15,81649
2016-04-16,81698
2016-04-17,82298
2016-04-18,80155
2016-04-19,78659
2016-04-20,79499
2016-04-21,78700
2016-04-22,77678
2016-04-23,75820
2016-04-24,74396
2016-04-25,75041
2016-04-26,76012
2016-04-27,77352
2016-04-28,78288
2016-04-29,78804
2016-04-30,78588
2016-05-01,78137
2016-05-02,79861
2016-05-03,83472
2016-05-04,86319
2016-05-05,86909
2016-05-06,86657
2016-05-07,86233
2016-05-08,84953
2016-05-09,83267
2016-05-10,80781
2016-05-11,79032
2016-05-12,78350
2016-05-13,79763
2016-05-14,80855
2016-05-15,83013
2016-05-16,85106
2016-05-17,86060
2016-05-18,84422
2016-05-19,83342
2016-05-22,80967
2016-05-23,80895
2016-05-24,78776
2016-05-25,77145
2016-05-26,77261
2016-05-27,76192
2016-05-28,75726
2016-05-29,77741
2016-05-30,77867
2016-05-31,77747
2016-06-01,78673
2016-06-02,80646
2016-06-03,81670
2016-06-04,83554
2016-06-05,85546
2016-06-06,85037
2016-06-07,84723
2016-06-08,86451
2016-06-09,86578
2016-06-10,86445
2016-06-11,87271
2016-06-12,88271
2016-06-13,89934
2016-06-14,91542
2016-06-15,92055
2016-06-16,89869
2016-06-17,87229
2016-06-18,86610
2016-06-19,88212
2016-06-20,89506
2016-06-21,91599
2016-06-22,90330
2016-06-23,88535
2016-06-24,86873
2016-06-25,85709
2016-06-26,84090
2016-06-27,82575
2016-06-28,80180
2016-06-29,79149
2016-06-30,79314
2016-07-01,78296
2016-07-02,78215
2016-07-03,79300
2016-07-04,82314
2016-07-05,83418
2016-07-06,82181
2016-07-07,80578
2016-07-08,77547
2016-07-09,74050
2016-07-10,72417
2016-07-11,70996
2016-07-12,71867
2016-07-13,72348
2016-07-14,72275
2016-07-15,69543
2016-07-16,69848
2016-07-17,72667
2016-07-18,74615
2016-07-24,71286
2016-07-25,71827
2016-07-26,72443
2016-07-27,73123
2016-07-28,74719
2016-07-29,76333
2016-07-30,78355
2016-07-31,76977
2016-08-01,76352
2016-08-02,76198
2016-08-03,76318
2016-08-04,76901
2016-08-05,77308
2016-08-06,77182
2016-08-07,77832
2016-08-08,77770
2016-08-09,76792
2016-08-10,75335
2016-08-11,74010
2016-08-12,72479
2016-08-13,72089
2016-08-14,71444
2016-08-15,72681
2016-08-16,73492
2016-08-17,74296
2016-08-18,74379
2016-08-19,73346
2016-08-20,71387
2016-08-21,70780
2016-08-22,70155
2016-08-23,70550
2016-08-24,71308
2016-08-25,71466
2016-08-26,71466
2016-08-28,73424
2016-08-31,69940
2016-09-01,69212
2016-09-02,69212
2016-09-03,70738
2016-09-04,71075
2016-09-05,70347
2016-09-06,70488
2016-09-07,70980
2016-09-08,71194
2016-09-09,69979
2016-09-10,70689
2016-09-11,70689
2016-09-12,71243
2016-09-13,70815
2016-09-14,69669
2016-09-15,69845
2016-09-16,68479
2016-09-17,69003
2016-09-18,70754
2016-09-19,72427
2016-09-20,72589
2016-09-21,71620
2016-09-22,72045
2016-09-23,71068
2016-09-24,71068
2016-09-25,70628
2016-09-26,70109
2016-09-27,70319
2016-09-28,68421
2016-09-29,71221
2016-09-30,74508
2016-10-01,78150
2016-10-02,78150
2016-10-03,78521
2016-10-04,78411
2016-10-05,75318
2016-10-06,73729
2016-10-07,74562
2016-10-08,74691
2016-10-09,75271
2016-10-10,77087
2016-10-11,76781
2016-10-12,79904
2016-10-13,80448
2016-10-14,79717
2016-10-15,79283
2016-10-16,80462
2016-10-17,80635
2016-10-18,83829
2016-10-19,88021
2016-10-20,89878
2016-10-21,92467
2016-10-22,92467
2016-10-23,96294
2016-10-24,97439
2016-10-25,92567
2016-10-26,90495
2016-10-27,88714
2016-10-28,85540
2016-10-29,85741
2016-10-30,85873
2016-10-31,82545
2016-11-01,82545
2016-11-02,80841
2016-11-03,78652
2016-11-04,74947
2016-11-05,74947
2016-11-06,73887
2016-11-07,73519
