date_obj,Magic%20string price
2015-03-26,47980
2015-03-27,47980
2015-03-28,47980
2015-03-29,47980
2015-03-30,47980
2015-03-31,47980
2015-04-01,47980
2015-04-02,47980
2015-04-03,47980
2015-04-04,45621
2015-04-05,45621
2015-04-06,45621
2015-04-07,45621
2015-04-08,45621
2015-04-09,45621
2015-04-10,45621
2015-04-11,45621
2015-04-12,45621
2015-04-13,45621
2015-04-14,45621
2015-04-15,45621
2015-04-16,43432
2015-04-17,43432
2015-04-18,43432
2015-04-19,43432
2015-04-20,43432
2015-04-21,43432
2015-04-22,43432
2015-04-23,43432
2015-04-24,43432
2015-04-25,43432
2015-04-26,43432
2015-04-27,43432
2015-04-28,43432
2015-04-29,43432
2015-04-30,41453
2015-05-01,41453
2015-05-02,41453
2015-05-03,41453
2015-05-04,41453
2015-05-05,41453
2015-05-06,41453
2015-05-07,41453
2015-05-08,41453
2015-05-09,39459
2015-05-10,39459
2015-05-11,39459
2015-05-12,39459
2015-05-13,39459
2015-05-14,39459
2015-05-15,39459
2015-05-16,39459
2015-05-17,39459
2015-05-18,39459
2015-05-19,39459
2015-05-20,39459
2015-05-21,37490
2015-05-22,37490
2015-05-23,37490
2015-05-24,37490
2015-05-25,37490
2015-05-26,37490
2015-05-27,37490
2015-05-28,35707
2015-05-29,35707
2015-05-30,35707
2015-05-31,35707
2015-06-01,35707
2015-06-02,35707
2015-06-03,35707
2015-06-04,35707
2015-06-05,35707
2015-06-06,34043
2015-06-07,34043
2015-06-08,34043
2015-06-09,34043
2015-06-10,34043
2015-06-11,34043
2015-06-12,34043
2015-06-13,34043
2015-06-14,32408
2015-06-15,32408
2015-06-16,32408
2015-06-17,32408
2015-06-18,32408
2015-06-19,32408
2015-06-20,30831
2015-06-21,30831
2015-06-22,30831
2015-06-23,30831
2015-06-24,30831
2015-06-25,30831
2015-06-26,30831
2015-06-27,30831
2015-06-28,29297
2015-06-29,29297
2015-06-30,29297
2015-07-01,29297
2015-07-02,29297
2015-07-03,29297
2015-07-04,29297
2015-07-05,27863
2015-07-06,27863
2015-07-07,27863
2015-07-08,27863
2015-07-09,27863
2015-07-10,27863
2015-07-11,26541
2015-07-12,26541
2015-07-13,26541
2015-07-14,26541
2015-07-15,26541
2015-07-16,26541
2015-07-17,26541
2015-07-18,25390
2015-07-19,25390
2015-07-20,25390
2015-07-21,25390
2015-07-22,25390
2015-07-23,25390
2015-07-24,24213
2015-07-25,24213
2015-07-26,24213
2015-07-27,24213
2015-07-28,24213
2015-07-29,23044
2015-07-30,23044
2015-07-31,23044
2015-08-01,23044
2015-08-02,23044
2015-08-03,23044
2015-08-04,21934
2015-08-05,21934
2015-08-06,21934
2015-08-07,20850
2015-08-08,20850
2015-08-09,20850
2015-08-10,20850
2015-08-11,20850
2015-08-12,19827
2015-08-13,19827
2015-08-14,19827
2015-08-15,19827
2015-08-16,19827
2015-08-17,19827
2015-08-18,18846
2015-08-19,18846
2015-08-20,18846
2015-08-21,18846
2015-08-22,18846
2015-08-23,18846
2015-08-24,17957
2015-08-25,17957
2015-08-26,17957
2015-08-27,17957
2015-08-28,17957
2015-08-29,17957
2015-08-30,17061
2015-08-31,17061
2015-09-01,17061
2015-09-02,17061
2015-09-03,16220
2015-09-04,16220
2015-09-05,16220
2015-09-06,16220
2015-09-07,15446
2015-09-08,15446
2015-09-09,15446
2015-09-10,15446
2015-09-11,15446
2015-09-12,14684
2015-09-13,14684
2015-09-14,14684
2015-09-15,14684
2015-09-16,13983
2015-09-17,13983
2015-09-18,13983
2015-09-19,13983
2015-09-20,13983
2015-09-21,13983
2015-09-22,13983
2015-09-23,13284
2015-09-24,13284
2015-09-25,13284
2015-09-27,13284
2015-09-28,13284
2015-09-29,13284
2015-09-30,12628
2015-10-05,12001
2015-10-06,12001
2015-10-07,12001
2015-10-08,12001
2015-10-09,12001
2015-10-10,12001
2015-10-11,11406
2015-10-12,11406
2015-10-13,11406
2015-10-14,11406
2015-10-15,11406
2015-10-16,11406
2015-10-17,11406
2015-10-18,11406
2015-10-19,10837
2015-10-20,10837
2015-10-22,10837
2015-10-23,10837
2015-10-24,10837
2015-10-25,10313
2015-10-26,10313
2015-10-27,10313
2015-10-29,10313
2015-10-30,10313
2015-10-31,10313
2015-11-01,10313
2015-11-02,9809
2015-11-03,9809
2015-11-04,9809
2015-11-05,9809
2015-11-06,9809
2015-11-07,9322
2015-11-08,9322
2015-11-09,9322
2015-11-10,9322
2015-11-11,8877
2015-11-12,8877
2015-11-13,8877
2015-11-14,8877
2015-11-15,8509
2015-11-16,8509
2015-11-17,8509
2015-11-18,8509
2015-11-19,8091
2015-11-20,8091
2015-11-21,8091
2015-11-22,8091
2015-11-23,8091
2015-11-24,7731
2015-11-25,7731
2015-11-26,7731
2015-11-27,7731
2015-11-28,7731
2015-11-29,7350
2015-11-30,7350
2015-12-01,7350
2015-12-02,6999
2015-12-03,6999
2015-12-04,6659
2015-12-05,6659
2015-12-06,6659
2015-12-07,6334
2015-12-08,6334
2015-12-09,6334
2015-12-10,6021
2015-12-11,6021
2015-12-12,6021
2015-12-13,5738
2015-12-14,5738
2015-12-15,5738
2015-12-16,5738
2015-12-17,5738
2015-12-18,5455
2015-12-19,5455
2015-12-20,5455
2015-12-21,5455
2015-12-22,5455
2015-12-23,5455
2015-12-24,5189
2015-12-25,5189
2015-12-26,5189
2015-12-27,5189
2015-12-28,5189
2015-12-29,5189
2015-12-30,4933
2015-12-31,4933
2016-01-01,4933
2016-01-02,4933
2016-01-03,4933
2016-01-04,4933
2016-01-05,4933
2016-01-06,4933
2016-01-07,4703
2016-01-08,4703
2016-01-09,4703
2016-01-10,4703
2016-01-11,4703
2016-01-12,4703
2016-01-13,4703
2016-01-14,4470
2016-01-15,4470
2016-01-16,4470
2016-01-17,4258
2016-01-18,4258
2016-01-19,4258
2016-01-20,4258
2016-01-21,4258
2016-01-22,4258
2016-01-23,4258
2016-01-24,4258
2016-01-25,4050
2016-01-26,4050
2016-01-27,4050
2016-01-28,4050
2016-01-29,4050
2016-01-30,4050
2016-01-31,4050
2016-02-01,3853
2016-02-02,3853
2016-02-03,3853
2016-02-04,3853
2016-02-05,3853
2016-02-06,3853
2016-02-07,3666
2016-02-08,3666
2016-02-09,3666
2016-02-10,3666
2016-02-11,3666
2016-02-12,3666
2016-02-13,3666
2016-02-14,3666
2016-02-15,3492
2016-02-16,3492
2016-02-17,3492
2016-02-18,3492
2016-02-19,3492
2016-02-20,3492
2016-02-21,3318
2016-02-22,3318
2016-02-23,3318
2016-02-24,3318
2016-02-25,3318
2016-02-26,3318
2016-02-27,3318
2016-02-28,3318
2016-02-29,3156
2016-03-01,3156
2016-03-02,3156
2016-03-03,3156
2016-03-04,3156
2016-03-05,3156
2016-03-06,3156
2016-03-07,3156
2016-03-08,3156
2016-03-09,3156
2016-03-10,3000
2016-03-11,3000
2016-03-12,3000
2016-03-13,3000
2016-03-14,3000
2016-03-15,3000
2016-03-16,3000
2016-03-17,3000
2016-03-18,3000
2016-03-19,3000
2016-03-20,2852
2016-03-21,2852
2016-03-22,2852
2016-03-23,2852
2016-03-24,2852
2016-03-25,2852
2016-03-26,2852
2016-03-27,2852
2016-03-28,2852
2016-03-29,2852
2016-03-30,2852
2016-03-31,2726
2016-04-01,2726
2016-04-02,2726
2016-04-03,2726
2016-04-04,2726
