date_obj,Pottery%20scarab price
2016-02-05,40
2016-02-06,42
2016-02-07,42
2016-02-08,42
2016-02-09,42
2016-02-10,42
2016-02-11,42
2016-02-12,42
2016-02-13,45
2016-02-14,45
2016-02-15,45
2016-02-16,45
2016-02-17,45
2016-02-18,45
2016-02-19,45
2016-02-20,45
2016-02-21,48
2016-02-22,48
2016-02-23,48
2016-02-24,48
2016-02-25,48
2016-02-26,48
2016-02-27,49
2016-02-28,49
2016-02-29,49
2016-03-01,49
2016-03-02,49
2016-03-03,49
2016-03-04,49
2016-03-05,52
2016-03-06,52
2016-03-07,52
2016-03-08,52
2016-03-09,52
2016-03-10,52
2016-03-11,52
2016-03-12,55
2016-03-13,55
2016-03-14,55
2016-03-15,55
2016-03-16,55
2016-03-17,55
2016-03-18,55
2016-03-19,58
2016-03-20,58
2016-03-21,58
2016-03-22,58
2016-03-23,58
2016-03-24,58
2016-03-25,60
2016-03-26,60
2016-03-27,60
2016-03-28,60
2016-03-29,60
2016-03-30,60
2016-03-31,63
2016-04-01,63
2016-04-02,63
2016-04-03,63
2016-04-04,63
2016-04-05,63
2016-04-06,67
2016-04-07,67
2016-04-08,67
2016-04-09,67
2016-04-10,67
2016-04-11,67
2016-04-12,67
2016-04-13,70
2016-04-14,70
2016-04-15,70
2016-04-16,70
2016-04-17,70
2016-04-18,70
2016-04-19,70
2016-04-20,70
2016-04-21,70
2016-04-22,70
2016-04-23,70
2016-04-24,70
2016-04-25,70
2016-04-26,70
2016-04-27,70
2016-04-28,70
2016-04-29,70
2016-04-30,70
2016-05-01,70
2016-05-02,70
2016-05-03,70
2016-05-04,70
2016-05-05,70
2016-05-06,70
2016-05-07,70
2016-05-08,70
2016-05-09,70
2016-05-10,70
2016-05-11,70
2016-05-12,70
2016-05-13,70
2016-05-14,70
2016-05-15,70
2016-05-16,70
2016-05-17,70
2016-05-18,71
2016-05-19,71
2016-05-22,71
2016-05-23,71
2016-05-24,71
2016-05-25,71
2016-05-26,71
2016-05-27,71
2016-05-28,71
2016-05-29,71
2016-05-30,71
2016-05-31,71
2016-06-01,71
2016-06-02,71
2016-06-03,71
2016-06-04,68
2016-06-05,68
