date_obj,Caviar price
2015-03-26,750
2015-03-27,750
2015-03-28,750
2015-03-29,750
2015-03-30,750
2015-03-31,750
2015-04-01,750
2015-04-02,750
2015-04-03,750
2015-04-04,716
2015-04-05,716
2015-04-06,716
2015-04-07,716
2015-04-08,716
2015-04-09,716
2015-04-10,716
2015-04-11,716
2015-04-12,716
2015-04-13,716
2015-04-14,716
2015-04-15,716
2015-04-16,716
2015-04-17,716
2015-04-18,716
2015-04-19,716
2015-04-20,716
2015-04-21,716
2015-04-22,716
2015-04-23,716
2015-04-24,716
2015-04-25,716
2015-04-26,716
2015-04-27,716
2015-04-28,716
2015-04-29,716
2015-04-30,716
2015-05-01,716
2015-05-02,716
2015-05-03,716
2015-05-04,716
2015-05-05,716
2015-05-06,716
2015-05-07,716
2015-05-08,716
2015-05-09,716
2015-05-10,716
2015-05-11,716
2015-05-12,716
2015-05-13,686
2015-05-14,686
2015-05-15,686
2015-05-16,686
2015-05-17,686
2015-05-18,686
2015-05-19,686
2015-05-20,686
2015-05-21,686
2015-05-22,686
2015-05-23,686
2015-05-24,686
2015-05-25,686
2015-05-26,686
2015-05-27,686
2015-05-28,686
2015-05-29,686
2015-05-30,686
2015-05-31,686
2015-06-01,686
2015-06-02,686
2015-06-03,686
2015-06-04,686
2015-06-05,686
2015-06-06,686
2015-06-07,686
2015-06-08,686
2015-06-09,686
2015-06-10,653
2015-06-11,653
2015-06-12,653
2015-06-13,653
2015-06-14,653
2015-06-15,653
2015-06-16,653
2015-06-17,653
2015-06-18,653
2015-06-19,653
2015-06-20,653
2015-06-21,653
2015-06-22,653
2015-06-23,653
2015-06-24,653
2015-06-25,653
2015-06-26,653
2015-06-27,653
2015-06-28,653
2015-06-29,653
2015-06-30,653
2015-07-01,653
2015-07-02,653
2015-07-03,653
2015-07-04,653
2015-07-05,653
2015-07-06,653
2015-07-07,653
2015-07-08,653
2015-07-09,653
2015-07-10,653
2015-07-11,623
2015-07-12,623
2015-07-13,623
2015-07-14,623
2015-07-15,623
2015-07-16,623
2015-07-17,623
2015-07-18,623
2015-07-19,623
2015-07-20,623
2015-07-21,623
2015-07-22,623
2015-07-23,623
2015-07-24,623
2015-07-25,623
2015-07-26,623
2015-07-27,623
2015-07-28,623
2015-07-29,623
2015-07-30,623
2015-07-31,623
2015-08-01,623
2015-08-02,623
2015-08-03,623
2015-08-04,623
2015-08-05,623
2015-08-06,623
2015-08-07,623
2015-08-08,596
2015-08-09,596
2015-08-10,596
2015-08-11,596
2015-08-12,596
2015-08-13,596
2015-08-14,596
2015-08-15,596
2015-08-16,596
2015-08-17,596
2015-08-18,596
2015-08-19,596
2015-08-20,596
2015-08-21,596
2015-08-22,596
2015-08-23,596
2015-08-24,596
2015-08-25,596
2015-08-26,596
2015-08-27,596
2015-08-28,596
2015-08-29,596
2015-08-30,596
2015-08-31,596
2015-09-01,596
2015-09-02,596
2015-09-03,596
2015-09-04,568
2015-09-05,568
2015-09-06,568
2015-09-07,568
2015-09-08,568
2015-09-09,568
2015-09-10,568
2015-09-11,568
2015-09-12,568
2015-09-13,568
2015-09-14,568
2015-09-15,568
2015-09-16,568
2015-09-17,568
2015-09-18,568
2015-09-19,568
2015-09-20,568
2015-09-21,568
2015-09-22,568
2015-09-23,568
2015-09-24,568
2015-09-25,568
2015-09-27,568
2015-09-28,568
2015-09-29,568
2015-09-30,555
2015-10-05,555
2015-10-06,555
2015-10-07,555
2015-10-08,555
2015-10-09,555
2015-10-10,555
2015-10-11,555
2015-10-12,555
2015-10-13,555
2015-10-14,555
2015-10-15,555
2015-10-16,555
2015-10-17,555
2015-10-18,555
2015-10-19,555
2015-10-20,555
2015-10-22,555
2015-10-23,555
2015-10-24,555
2015-10-25,555
2015-10-26,555
2015-10-27,555
2015-10-29,530
2015-10-30,530
2015-10-31,530
2015-11-01,530
2015-11-02,530
2015-11-03,530
2015-11-04,530
2015-11-05,530
