date_obj,Combat%20potion%20set price
2015-03-26,1488
2015-03-27,1488
2015-03-28,1488
2015-03-29,1488
2015-03-30,1488
2015-03-31,1488
2015-04-01,1488
2015-04-02,1488
2015-04-03,1488
2015-04-04,1488
2015-04-05,1488
2015-04-06,1488
2015-04-07,1488
2015-04-08,1488
2015-04-09,1488
2015-04-10,1488
2015-04-11,1488
2015-04-12,1488
2015-04-13,1488
2015-04-14,1488
2015-04-15,1488
2015-04-16,1488
2015-04-17,1488
2015-04-18,1488
2015-04-19,1488
2015-04-20,1488
2015-04-21,1461
2015-04-22,1461
2015-04-23,1461
2015-04-24,1461
2015-04-25,1461
2015-04-26,1461
2015-04-27,1461
2015-04-28,1461
2015-04-29,1461
2015-04-30,1461
2015-05-01,1461
2015-05-02,1461
2015-05-03,1461
2015-05-04,1461
2015-05-05,1461
2015-05-06,1461
2015-05-07,1461
2015-05-08,1461
2015-05-09,1461
2015-05-10,1461
2015-05-11,1461
2015-05-12,1461
2015-05-13,1461
2015-05-14,1461
2015-05-15,1461
2015-05-16,1461
2015-05-17,1461
2015-05-18,1461
2015-05-19,1461
2015-05-20,1461
2015-05-21,1461
2015-05-22,1461
2015-05-23,1461
2015-05-24,1461
2015-05-25,1461
2015-05-26,1461
2015-05-27,1461
2015-05-28,1414
2015-05-29,1414
2015-05-30,1414
2015-05-31,1414
2015-06-01,1414
2015-06-02,1414
2015-06-03,1414
2015-06-04,1414
2015-06-05,1414
2015-06-06,1414
2015-06-07,1414
2015-06-08,1414
2015-06-09,1414
2015-06-10,1414
2015-06-11,1414
2015-06-12,1414
2015-06-13,1414
2015-06-14,1414
2015-06-15,1414
2015-06-16,1414
2015-06-17,1414
2015-06-18,1414
2015-06-19,1414
2015-06-20,1414
2015-06-21,1414
2015-06-22,1414
2015-06-23,1414
2015-06-24,1414
2015-06-25,1414
2015-06-26,1408
2015-06-27,1408
2015-06-28,1408
2015-06-29,1408
2015-06-30,1408
2015-07-01,1408
2015-07-02,1408
2015-07-03,1408
2015-07-04,1408
2015-07-05,1408
2015-07-06,1408
2015-07-07,1408
2015-07-08,1408
2015-07-09,1408
2015-07-10,1408
2015-07-11,1408
2015-07-12,1408
2015-07-13,1408
2015-07-14,1408
2015-07-15,1408
2015-07-16,1408
2015-07-17,1408
2015-07-18,1408
2015-07-19,1408
2015-07-20,1408
2015-07-21,1408
2015-07-22,1408
2015-07-23,1408
2015-07-24,1408
2015-07-25,1408
2015-07-26,1408
2015-07-27,1408
2015-07-28,1446
2015-07-29,1446
2015-07-30,1446
2015-07-31,1446
2015-08-01,1446
2015-08-02,1446
2015-08-03,1446
2015-08-04,1446
2015-08-05,1446
2015-08-06,1446
2015-08-07,1446
2015-08-08,1446
2015-08-09,1446
2015-08-10,1446
2015-08-11,1446
2015-08-12,1446
2015-08-13,1446
2015-08-14,1446
2015-08-15,1446
2015-08-16,1446
2015-08-17,1446
2015-08-18,1446
2015-08-19,1446
2015-08-20,1446
2015-08-21,1446
2015-08-22,1446
2015-08-23,1446
2015-08-24,1446
2015-08-25,1446
2015-08-26,1446
2015-08-27,1463
2015-08-28,1463
2015-08-29,1463
2015-08-30,1463
2015-08-31,1463
2015-09-01,1463
2015-09-02,1463
2015-09-03,1463
2015-09-04,1463
2015-09-05,1463
2015-09-06,1463
2015-09-07,1463
2015-09-08,1463
2015-09-09,1463
2015-09-10,1463
2015-09-11,1463
2015-09-12,1463
2015-09-13,1463
2015-09-14,1463
2015-09-15,1463
2015-09-16,1463
2015-09-17,1463
2015-09-18,1463
2015-09-19,1463
2015-09-20,1463
2015-09-21,1463
2015-09-22,1463
2015-09-23,1463
2015-09-24,1463
2015-09-25,1463
2015-09-27,1463
2015-09-28,1463
2015-09-29,1463
2015-09-30,1506
2015-10-05,1506
2015-10-06,1506
