date_obj,Bowl%20of%20hot%20water price
2016-03-20,260
2016-03-21,249
2016-03-22,249
2016-03-23,249
2016-03-24,259
2016-03-25,259
2016-03-26,260
2016-03-27,260
2016-03-28,247
2016-03-29,247
2016-03-30,247
2016-03-31,237
2016-04-01,237
2016-04-02,237
2016-04-03,248
2016-04-04,248
2016-04-05,248
2016-04-06,258
2016-04-07,258
2016-04-08,258
2016-04-09,250
2016-04-10,250
2016-04-11,250
2016-04-12,252
2016-04-13,252
2016-04-14,252
2016-04-15,264
2016-04-16,264
2016-04-17,264
2016-04-18,259
2016-04-19,259
2016-04-20,259
2016-04-21,271
2016-04-22,271
2016-04-23,271
2016-04-24,271
2016-04-25,271
2016-04-26,272
2016-04-27,272
2016-04-28,272
2016-04-29,278
2016-04-30,278
2016-05-01,278
2016-05-02,292
2016-05-03,292
2016-05-04,292
2016-05-05,291
2016-05-06,291
2016-05-07,291
2016-05-08,300
2016-05-09,300
2016-05-10,310
2016-05-11,310
2016-05-12,310
2016-05-13,318
2016-05-14,318
2016-05-15,318
2016-05-16,314
2016-05-17,314
2016-05-18,311
2016-05-19,311
2016-05-22,310
2016-05-23,294
2016-05-24,294
2016-05-25,294
2016-05-26,279
2016-05-27,279
2016-05-28,285
2016-05-29,285
2016-05-30,297
2016-05-31,297
2016-06-01,307
2016-06-02,307
2016-06-03,307
2016-06-04,318
2016-06-05,318
2016-06-06,313
2016-06-07,313
2016-06-08,313
2016-06-09,319
2016-06-10,319
2016-06-11,319
2016-06-12,326
2016-06-13,326
2016-06-14,338
2016-06-15,338
2016-06-16,338
2016-06-17,331
2016-06-18,331
2016-06-19,342
2016-06-20,342
2016-06-21,342
2016-06-22,357
2016-06-23,357
2016-06-24,357
2016-06-25,375
2016-06-26,375
2016-06-27,375
2016-06-28,387
2016-06-29,387
2016-06-30,384
2016-07-01,384
2016-07-02,393
2016-07-03,393
2016-07-04,381
2016-07-05,381
2016-07-06,393
2016-07-07,393
2016-07-08,393
2016-07-09,386
2016-07-10,386
2016-07-11,371
2016-07-12,371
2016-07-13,371
2016-07-14,359
2016-07-15,359
2016-07-16,359
2016-07-17,343
2016-07-18,343
2016-07-23,344
2016-07-24,344
2016-07-25,328
2016-07-26,328
2016-07-27,328
2016-07-28,321
2016-07-29,321
2016-07-30,314
2016-07-31,314
2016-08-01,314
2016-08-02,301
2016-08-03,301
2016-08-04,301
2016-08-05,299
2016-08-06,299
2016-08-07,312
2016-08-08,312
2016-08-09,312
2016-08-10,321
2016-08-11,321
2016-08-12,321
2016-08-13,313
2016-08-14,313
2016-08-15,313
2016-08-16,327
2016-08-17,327
2016-08-18,327
2016-08-19,344
2016-08-20,344
2016-08-21,344
2016-08-22,362
2016-08-23,362
2016-08-24,362
2016-08-25,353
2016-08-26,353
2016-08-28,356
2016-08-31,371
2016-09-01,371
2016-09-02,371
2016-09-03,387
2016-09-04,387
2016-09-05,369
2016-09-06,369
2016-09-07,369
2016-09-08,369
2016-09-09,364
2016-09-10,364
2016-09-11,364
2016-09-12,361
2016-09-13,361
2016-09-14,361
2016-09-15,346
2016-09-16,346
2016-09-17,346
2016-09-18,361
2016-09-19,361
2016-09-20,361
2016-09-21,379
2016-09-22,379
