date_obj,Zamorak%20d'hide%20boots price
2016-07-06,2078141
2016-07-07,2168215
2016-07-08,2266398
2016-07-09,2372990
2016-07-10,2482107
2016-07-11,2591489
2016-07-12,2709561
2016-07-13,2709561
2016-07-14,2845040
2016-07-15,2845040
2016-07-16,2977940
2016-07-17,2977940
2016-07-18,3126837
2016-07-24,3469749
2016-07-25,3469749
2016-07-26,3310231
2016-07-27,3310231
2016-07-28,3144719
2016-07-29,2994426
2016-07-30,2994426
2016-07-31,2846598
2016-08-01,2846598
2016-08-02,2710734
2016-08-03,2710734
2016-08-04,2605293
2016-08-05,2605293
2016-08-06,2499531
2016-08-07,2499531
2016-08-08,2396289
2016-08-09,2276687
2016-08-10,2276687
2016-08-11,2166775
2016-08-12,2166775
2016-08-13,2113952
2016-08-14,2113952
2016-08-15,2185456
2016-08-16,2185456
2016-08-17,2137085
2016-08-18,2137085
2016-08-19,2059400
2016-08-20,2059400
2016-08-21,1958853
2016-08-22,1958853
2016-08-23,1861208
2016-08-24,1861208
2016-08-25,1768147
2016-08-26,1768147
2016-08-28,1756116
2016-08-31,1827183
2016-09-01,1876232
2016-09-02,1876232
2016-09-03,1946228
2016-09-04,2036332
2016-09-05,2130004
2016-09-06,2130004
2016-09-07,2100129
2016-09-08,2100129
2016-09-09,2052754
2016-09-10,2056827
2016-09-11,2056827
2016-09-12,2091650
2016-09-13,2091650
2016-09-14,2107586
2016-09-15,2107586
2016-09-16,2016448
2016-09-17,2016448
2016-09-18,1963062
2016-09-19,1963062
2016-09-20,1865240
2016-09-21,1865240
2016-09-22,1785742
2016-09-23,1785742
2016-09-24,1803491
2016-09-25,1877928
2016-09-26,1877928
2016-09-27,1848527
2016-09-28,1848527
2016-09-29,1766284
2016-09-30,1679888
2016-10-01,1597487
2016-10-02,1597487
2016-10-03,1519278
2016-10-04,1462703
2016-10-05,1462703
2016-10-06,1468434
2016-10-07,1468434
2016-10-08,1539439
2016-10-09,1539439
2016-10-10,1585159
2016-10-11,1644636
2016-10-12,1644636
2016-10-13,1702409
2016-10-14,1730283
2016-10-15,1790121
2016-10-16,1790121
2016-10-17,1839027
2016-10-18,1839027
2016-10-19,1856970
2016-10-20,1856970
2016-10-21,1895419
2016-10-22,1895419
