date_obj,Villager%20robe%20(brown) price
2015-03-26,25000
2015-03-27,25000
2015-03-28,25000
2015-03-29,25000
2015-03-30,25000
2015-03-31,25000
2015-04-01,25000
2015-04-02,25000
2015-04-03,25000
2015-04-04,25000
2015-04-05,25000
2015-04-06,25000
2015-04-07,25000
2015-04-08,25000
2015-04-09,25000
2015-04-10,25000
2015-04-11,25000
2015-04-12,25000
2015-04-13,25000
2015-04-14,25000
2015-04-15,25000
2015-04-16,25000
2015-04-17,25000
2015-04-18,25000
2015-04-19,25000
2015-04-20,25000
2015-04-21,25000
2015-04-22,25000
2015-04-23,25000
2015-04-24,25000
2015-04-25,25000
2015-04-26,25000
2015-04-27,25000
2015-04-28,25000
2015-04-29,25000
2015-04-30,25000
2015-05-01,25000
2015-05-02,25000
2015-05-03,25000
2015-05-04,25000
2015-05-05,25000
2015-05-06,25000
2015-05-07,25000
2015-05-08,25000
2015-05-09,25000
2015-05-10,25000
2015-05-11,25000
2015-05-12,25000
2015-05-13,25000
2015-05-14,25000
2015-05-15,24580
2015-05-16,24580
2015-05-17,24580
2015-05-18,24580
2015-05-19,24580
2015-05-20,24580
2015-05-21,24580
2015-05-22,24580
2015-05-23,24580
2015-05-24,24580
2015-05-25,24580
2015-05-26,24580
2015-05-27,24580
2015-05-28,24580
2015-05-29,24580
2015-05-30,24580
2015-05-31,24580
2015-06-01,24580
2015-06-02,24580
2015-06-03,24580
2015-06-04,24580
2015-06-05,24580
2015-06-06,24580
2015-06-07,24580
2015-06-08,24580
2015-06-09,24580
2015-06-10,24580
2015-06-11,24580
2015-06-12,24580
2015-06-13,24580
2015-06-14,24580
2015-06-15,24580
2015-06-16,24580
2015-06-17,24580
2015-06-18,24580
2015-06-19,24580
2015-06-20,24580
2015-06-21,24580
2015-06-22,24580
2015-06-23,24580
2015-06-24,24580
2015-06-25,24580
2015-06-26,24580
2015-06-27,24580
2015-06-28,24561
2015-06-29,24561
2015-06-30,24561
2015-07-01,24561
2015-07-02,24561
2015-07-03,24561
2015-07-04,24561
2015-07-05,24561
2015-07-06,24561
2015-07-07,24561
2015-07-08,24561
2015-07-09,24561
2015-07-10,24561
2015-07-11,24561
2015-07-12,24561
2015-07-13,24561
2015-07-14,24561
2015-07-15,24561
2015-07-16,24561
2015-07-17,24561
2015-07-18,24561
2015-07-19,24561
2015-07-20,24561
2015-07-21,24561
2015-07-22,24561
2015-07-23,24561
2015-07-24,24561
2015-07-25,24561
2015-07-26,24561
2015-07-27,24561
2015-07-28,24561
2015-07-29,24561
2015-07-30,24561
2015-07-31,24561
2015-08-01,24561
2015-08-02,24561
2015-08-03,24561
2015-08-04,24561
2015-08-05,24561
2015-08-06,24561
2015-08-07,24561
2015-08-08,24561
2015-08-09,24561
2015-08-10,24561
2015-08-11,23691
2015-08-12,23691
2015-08-13,23691
2015-08-14,23691
2015-08-15,23691
2015-08-16,23691
2015-08-17,23691
2015-08-18,23691
2015-08-19,23691
2015-08-20,23691
2015-08-21,23691
2015-08-22,23691
2015-08-23,23691
2015-08-24,23691
2015-08-25,23691
2015-08-26,23691
2015-08-27,23691
2015-08-28,23691
2015-08-29,23691
2015-08-30,23691
2015-08-31,23691
2015-09-01,23691
2015-09-02,23691
2015-09-03,23691
2015-09-04,23691
2015-09-05,23691
2015-09-06,23691
2015-09-07,23691
2015-09-08,23691
2015-09-09,23691
2015-09-10,23691
2015-09-11,23691
2015-09-12,23691
2015-09-13,23691
2015-09-14,23691
2015-09-15,23691
2015-09-16,23691
2015-09-17,23691
2015-09-18,23691
2015-09-19,22700
2015-09-20,22700
2015-09-21,22700
2015-09-22,22700
2015-09-23,22700
2015-09-24,22700
2015-09-25,22700
2015-09-27,22700
2015-09-28,22700
2015-09-29,22700
2015-09-30,22700
2015-10-05,22700
2015-10-06,22700
2015-10-07,22700
2015-10-08,22700
2015-10-09,22700
2015-10-10,22700
2015-10-11,22700
2015-10-12,22700
2015-10-13,22700
2015-10-14,22700
2015-10-15,22700
2015-10-16,22700
2015-10-17,22700
2015-10-18,22700
2015-10-19,22700
2015-10-20,22700
2015-10-22,22700
2015-10-23,22700
2015-10-24,22700
2015-10-25,22700
2015-10-26,22700
2015-10-27,22700
2015-10-29,22700
2015-10-30,22700
2015-10-31,22700
2015-11-01,22700
2015-11-02,22700
2015-11-03,22700
2015-11-04,22700
2015-11-05,22700
2015-11-06,22700
2015-11-07,21601
2015-11-08,21601
2015-11-09,21601
2015-11-10,21601
2015-11-11,21601
2015-11-12,21601
2015-11-13,21601
2015-11-14,21601
2015-11-15,21601
2015-11-16,21601
2015-11-17,21601
2015-11-18,21601
2015-11-19,21601
2015-11-20,21601
2015-11-21,21601
2015-11-22,21601
2015-11-23,21601
2015-11-24,21601
2015-11-25,21601
2015-11-26,21601
2015-11-27,21601
2015-11-28,21601
2015-11-29,21601
2015-11-30,21601
2015-12-01,21601
2015-12-02,21601
2015-12-03,21601
2015-12-04,21601
2015-12-05,21601
2015-12-06,21601
2015-12-07,21601
2015-12-08,21601
2015-12-09,21601
2015-12-10,21601
2015-12-11,21601
2015-12-13,21601
2015-12-14,21601
2015-12-15,21601
2015-12-16,21601
2015-12-17,21601
2015-12-18,21601
2015-12-19,21601
2015-12-20,21601
2015-12-21,21601
2015-12-22,21601
2015-12-23,21601
2015-12-24,21601
2015-12-25,21601
2015-12-26,21601
2015-12-27,21601
2015-12-28,21601
2015-12-29,21601
2015-12-30,21601
2015-12-31,21223
2016-01-01,21223
2016-01-02,21223
2016-01-03,21223
2016-01-04,21223
2016-01-05,21223
2016-01-06,21223
2016-01-07,21223
2016-01-08,21223
2016-01-09,21223
2016-01-10,21223
2016-01-11,21223
2016-01-12,21223
2016-01-13,21223
2016-01-14,21223
2016-01-15,21223
2016-01-16,21223
2016-01-17,21223
2016-01-18,21223
2016-01-19,21223
2016-01-20,21223
2016-01-21,21223
2016-01-22,21223
2016-01-23,21223
2016-01-24,21223
2016-01-25,21223
2016-01-26,21223
2016-01-27,21223
2016-01-28,21223
2016-01-29,21223
2016-01-30,21223
2016-01-31,21223
2016-02-01,21223
2016-02-02,21223
2016-02-03,21223
2016-02-04,21223
2016-02-05,21223
2016-02-06,21223
2016-02-07,21223
2016-02-08,21223
2016-02-09,21223
2016-02-10,21223
2016-02-11,21223
2016-02-12,21223
2016-02-13,21223
2016-02-14,21223
2016-02-15,21223
2016-02-16,21223
2016-02-17,21223
2016-02-18,21223
2016-02-19,21223
2016-02-20,21223
2016-02-21,21223
2016-02-22,21223
2016-02-23,20617
2016-02-24,20617
2016-02-25,20617
2016-02-26,20617
2016-02-27,20617
2016-02-28,20617
2016-02-29,20617
2016-03-01,20617
2016-03-02,20617
2016-03-03,20617
2016-03-04,20617
2016-03-05,20617
2016-03-06,20617
2016-03-07,20617
2016-03-08,20617
2016-03-09,20617
2016-03-10,20617
2016-03-11,20617
2016-03-12,20617
2016-03-13,20617
2016-03-14,20617
2016-03-15,20617
2016-03-16,20617
2016-03-17,20617
2016-03-18,20617
2016-03-19,20617
2016-03-20,20617
2016-03-21,20617
2016-03-22,20617
2016-03-23,20617
2016-03-24,20617
2016-03-25,20617
2016-03-26,20617
2016-03-27,20617
2016-03-28,20617
2016-03-29,20617
2016-03-30,20617
2016-03-31,20617
2016-04-01,20617
2016-04-02,20617
2016-04-03,20617
2016-04-04,20617
2016-04-05,20617
2016-04-06,20617
2016-04-07,20617
2016-04-08,20617
2016-04-09,20617
2016-04-10,19604
2016-04-11,19604
2016-04-12,19604
2016-04-13,19604
2016-04-14,19604
2016-04-15,19604
2016-04-16,19604
2016-04-17,19604
2016-04-18,19604
2016-04-19,19604
2016-04-20,19604
2016-04-21,19604
2016-04-22,19604
2016-04-23,19604
2016-04-24,19604
2016-04-25,19604
2016-04-26,19604
2016-04-27,19604
2016-04-28,19604
2016-04-29,19604
2016-04-30,19604
2016-05-01,19604
2016-05-02,19604
2016-05-03,19604
2016-05-04,19604
2016-05-05,19604
2016-05-06,19604
2016-05-07,19604
2016-05-08,19604
2016-05-09,19604
2016-05-10,19604
2016-05-11,19604
2016-05-12,19604
2016-05-13,19604
2016-05-14,19604
2016-05-15,19604
2016-05-16,19604
2016-05-17,19604
2016-05-18,19604
2016-05-19,19604
2016-05-22,19604
2016-05-23,19604
2016-05-24,19604
2016-05-25,19604
2016-05-26,19604
2016-05-27,18806
2016-05-28,18806
2016-05-29,18806
2016-05-30,18806
2016-05-31,18806
2016-06-01,18806
2016-06-02,18806
2016-06-03,18806
2016-06-04,18806
2016-06-05,18806
2016-06-06,18806
2016-06-07,18806
2016-06-08,18806
2016-06-09,18806
2016-06-10,18806
2016-06-11,18806
2016-06-12,18806
2016-06-13,18806
2016-06-14,18806
2016-06-15,18806
2016-06-16,18806
2016-06-17,18806
2016-06-18,18806
2016-06-19,18806
2016-06-20,18806
2016-06-21,18806
2016-06-22,18806
2016-06-23,18806
2016-06-24,18806
2016-06-25,18806
2016-06-26,18806
2016-06-27,18806
2016-06-28,18806
2016-06-29,18806
2016-06-30,18806
2016-07-01,18806
2016-07-02,18806
2016-07-03,18806
2016-07-04,18806
2016-07-05,18806
2016-07-06,18806
2016-07-07,18806
2016-07-08,18806
2016-07-09,18806
2016-07-10,18806
2016-07-11,17938
2016-07-12,17938
2016-07-13,17938
2016-07-14,17938
2016-07-15,17938
2016-07-16,17938
2016-07-17,17938
2016-07-18,17938
2016-07-24,17938
2016-07-25,17938
2016-07-26,17938
2016-07-27,17938
2016-07-28,17938
2016-07-29,17938
2016-07-30,17938
2016-07-31,17938
2016-08-01,17938
2016-08-02,17938
2016-08-03,17938
2016-08-04,17938
2016-08-05,17938
2016-08-06,17938
2016-08-07,17938
2016-08-08,17938
2016-08-09,17938
2016-08-10,17938
2016-08-11,17938
2016-08-12,17938
2016-08-13,17938
2016-08-14,17938
2016-08-15,17938
2016-08-16,17938
2016-08-17,17938
2016-08-18,17938
2016-08-19,17938
2016-08-20,17938
2016-08-21,17938
2016-08-22,17938
2016-08-23,17938
2016-08-24,17938
2016-08-25,17938
2016-08-26,17938
2016-08-28,17938
2016-08-31,17938
2016-09-01,17938
2016-09-02,17938
2016-09-03,17938
2016-09-04,17938
2016-09-05,17938
2016-09-06,17938
2016-09-07,17938
2016-09-08,17938
2016-09-09,17330
2016-09-10,17330
2016-09-11,17330
2016-09-12,17330
2016-09-13,17330
2016-09-14,17330
2016-09-15,17330
2016-09-16,17330
2016-09-17,17330
2016-09-18,17330
2016-09-19,17330
2016-09-20,17330
2016-09-21,17330
2016-09-22,17330
2016-09-23,17330
2016-09-24,17330
2016-09-25,17330
2016-09-26,17330
2016-09-27,17330
2016-09-28,17330
2016-09-29,17330
2016-09-30,17330
2016-10-01,17330
2016-10-02,17330
2016-10-03,17330
2016-10-04,17330
2016-10-05,17330
2016-10-06,17330
2016-10-07,17330
2016-10-08,17330
2016-10-09,17330
2016-10-10,17330
2016-10-11,17330
2016-10-12,17330
2016-10-13,17330
2016-10-14,17330
2016-10-15,17330
2016-10-16,17330
2016-10-17,17330
2016-10-18,17330
2016-10-19,17330
2016-10-20,17330
2016-10-21,17330
2016-10-22,17330
2016-10-23,17330
2016-10-24,17330
2016-10-25,17330
2016-10-26,17330
2016-10-27,17330
2016-10-28,17330
2016-10-29,17330
2016-10-30,17330
2016-10-31,17330
