date_obj,Tangled%20toad's%20legs price
2015-03-05,400
2015-03-06,400
2015-03-07,400
2015-03-08,400
2015-03-09,400
2015-03-10,400
2015-03-11,400
2015-03-12,400
2015-03-13,400
2015-03-14,400
2015-03-15,400
2015-03-16,400
2015-03-17,400
2015-03-18,400
2015-03-19,400
2015-03-20,400
2015-03-21,400
2015-03-22,400
2015-03-23,400
2015-03-24,414
2015-03-25,414
2015-03-26,414
2015-03-27,414
2015-03-28,414
2015-03-29,414
2015-03-30,414
2015-03-31,414
2015-04-01,414
2015-04-02,414
2015-04-03,414
2015-04-04,414
2015-04-05,414
2015-04-06,414
2015-04-07,414
2015-04-08,414
2015-04-09,414
2015-04-10,414
2015-04-11,414
2015-04-12,414
2015-04-13,414
2015-04-14,414
2015-04-15,414
2015-04-16,414
2015-04-17,414
2015-04-18,414
2015-04-19,414
2015-04-20,414
2015-04-21,414
2015-04-22,414
2015-04-23,434
2015-04-24,434
2015-04-25,434
2015-04-26,434
2015-04-27,434
2015-04-28,434
2015-04-29,434
2015-04-30,434
2015-05-01,434
2015-05-02,434
2015-05-03,434
2015-05-04,434
2015-05-05,434
2015-05-06,434
2015-05-07,434
2015-05-08,434
2015-05-09,434
2015-05-10,434
2015-05-11,434
2015-05-12,448
2015-05-13,448
2015-05-14,448
2015-05-15,448
2015-05-16,448
2015-05-17,448
2015-05-18,448
2015-05-19,448
2015-05-20,448
2015-05-21,448
2015-05-22,448
2015-05-23,448
2015-05-24,448
2015-05-25,448
2015-05-26,448
2015-05-27,448
2015-05-28,448
2015-05-29,448
2015-05-30,448
2015-05-31,448
2015-06-01,448
2015-06-02,448
2015-06-03,448
2015-06-04,448
2015-06-05,448
2015-06-06,448
2015-06-07,460
2015-06-08,460
2015-06-09,460
2015-06-10,460
2015-06-11,460
2015-06-12,460
2015-06-13,460
2015-06-14,460
2015-06-15,460
2015-06-16,460
2015-06-17,460
2015-06-18,460
2015-06-19,460
2015-06-20,460
2015-06-21,460
2015-06-22,460
2015-06-23,460
2015-06-24,460
2015-06-25,460
2015-06-26,460
2015-06-27,460
2015-06-28,460
2015-06-29,460
2015-06-30,460
2015-07-01,460
2015-07-02,460
2015-07-03,460
2015-07-04,460
2015-07-05,460
2015-07-06,460
2015-07-07,460
2015-07-08,460
2015-07-09,460
2015-07-10,460
2015-07-11,460
2015-07-12,460
2015-07-13,460
2015-07-14,460
2015-07-15,460
2015-07-16,460
2015-07-17,481
2015-07-18,481
2015-07-19,481
2015-07-20,481
2015-07-21,481
2015-07-22,481
2015-07-23,481
2015-07-24,481
2015-07-25,481
2015-07-26,481
2015-07-27,481
2015-07-28,481
2015-07-29,481
2015-07-30,481
2015-07-31,481
2015-08-01,481
2015-08-02,481
2015-08-03,481
2015-08-04,481
2015-08-05,481
2015-08-06,481
2015-08-07,481
2015-08-08,481
2015-08-09,481
2015-08-10,481
2015-08-11,481
2015-08-12,481
2015-08-13,481
2015-08-14,481
2015-08-15,481
2015-08-16,481
2015-08-17,481
2015-08-18,481
2015-08-19,481
2015-08-20,481
2015-08-21,481
2015-08-22,481
2015-08-23,481
2015-08-24,481
2015-08-25,481
2015-08-26,504
2015-08-27,504
2015-08-28,504
2015-08-29,504
2015-08-30,504
2015-08-31,504
2015-09-02,504
2015-09-07,504
2015-09-08,504
2015-09-10,504
2015-09-14,504
2015-09-16,504
2015-09-22,504
2015-09-23,504
2015-09-24,504
2015-09-25,504
2015-09-27,504
2015-09-28,504
2015-09-29,504
2015-09-30,529
2015-10-05,529
2015-10-06,529
2015-10-07,529
2015-10-08,529
2015-10-09,529
2015-10-10,529
2015-10-11,529
2015-10-12,529
2015-10-13,529
2015-10-14,529
2015-10-15,529
2015-10-16,529
2015-10-17,529
2015-10-18,529
2015-10-19,529
2015-10-20,529
2015-10-22,529
2015-10-23,529
2015-10-24,529
2015-10-25,529
2015-10-26,529
2015-10-27,529
2015-10-29,529
2015-10-30,529
2015-10-31,529
2015-11-01,529
2015-11-02,529
2015-11-03,529
2015-11-04,529
2015-11-05,529
2015-11-06,529
2015-11-07,529
2015-11-08,529
2015-11-09,529
2015-11-10,529
2015-11-11,529
2015-11-12,529
2015-11-13,529
2015-11-14,529
2015-11-15,529
2015-11-16,529
2015-11-17,529
2015-11-18,529
2015-11-19,529
2015-11-20,529
2015-11-21,529
2015-11-22,529
2015-11-23,529
2015-11-24,529
2015-11-25,529
2015-11-26,529
2015-11-27,529
2015-11-28,553
2015-11-29,553
2015-11-30,553
2015-12-01,553
2015-12-02,553
2015-12-03,553
2015-12-04,553
2015-12-05,553
2015-12-06,553
2015-12-07,553
2015-12-08,553
2015-12-09,553
2015-12-10,553
2015-12-11,553
2015-12-13,553
2015-12-14,553
2015-12-15,553
2015-12-16,553
2015-12-17,553
2015-12-18,553
2015-12-19,553
2015-12-20,553
2015-12-21,553
2015-12-22,553
2015-12-23,553
2015-12-24,553
2015-12-25,553
2015-12-26,553
2015-12-27,553
2015-12-28,553
2015-12-29,553
2015-12-30,553
2015-12-31,553
2016-01-01,553
2016-01-02,553
2016-01-03,553
2016-01-04,578
2016-01-05,578
2016-01-06,578
2016-01-07,578
2016-01-08,578
2016-01-09,578
2016-01-10,578
2016-01-11,578
2016-01-12,578
2016-01-13,578
2016-01-14,578
2016-01-15,578
2016-01-16,578
2016-01-17,578
2016-01-18,578
2016-01-19,578
2016-01-20,578
