date_obj,Grimy%20ranarr%20weed price
2015-03-26,5444
2015-03-27,5495
2015-03-28,5449
2015-03-29,5298
2015-03-30,5293
2015-03-31,5403
2015-04-01,5455
2015-04-02,5511
2015-04-03,5546
2015-04-04,5514
2015-04-05,5462
2015-04-06,5460
2015-04-07,5489
2015-04-08,5460
2015-04-09,5510
2015-04-10,5532
2015-04-11,5559
2015-04-12,5612
2015-04-13,5633
2015-04-14,5697
2015-04-15,5742
2015-04-16,5769
2015-04-17,5755
2015-04-18,5705
2015-04-19,5666
2015-04-20,5662
2015-04-21,5592
2015-04-22,5587
2015-04-23,5532
2015-04-24,5560
2015-04-25,5579
2015-04-26,5628
2015-04-27,5646
2015-04-28,5693
2015-04-29,5729
2015-04-30,5698
2015-05-01,5725
2015-05-02,5697
2015-05-03,5686
2015-05-04,5642
2015-05-05,5590
2015-05-06,5549
2015-05-07,5507
2015-05-08,5492
2015-05-09,5504
2015-05-10,5427
2015-05-11,5393
2015-05-12,5362
2015-05-13,5328
2015-05-14,5320
2015-05-15,5360
2015-05-16,5383
2015-05-17,5375
2015-05-18,5403
2015-05-19,5392
2015-05-20,5386
2015-05-21,5365
2015-05-22,5355
2015-05-23,5269
2015-05-24,5241
2015-05-25,5214
2015-05-26,5194
2015-05-27,5187
2015-05-28,5244
2015-05-29,5294
2015-05-30,5330
2015-05-31,5323
2015-06-01,5386
2015-06-02,5411
2015-06-03,5440
2015-06-04,5503
2015-06-05,5573
2015-06-06,5608
2015-06-07,5631
2015-06-08,5710
2015-06-09,5740
2015-06-10,5793
2015-06-11,5925
2015-06-12,5979
2015-06-13,6032
2015-06-14,6080
2015-06-15,6137
2015-06-16,6158
2015-06-17,6213
2015-06-18,6233
2015-06-19,6256
2015-06-20,6300
2015-06-21,6338
2015-06-22,6293
2015-06-23,6255
2015-06-24,6136
2015-06-25,6022
2015-06-26,5856
2015-06-27,5669
2015-06-28,5564
2015-06-29,5512
2015-06-30,5527
2015-07-01,5487
2015-07-02,5610
2015-07-03,5701
2015-07-04,5833
2015-07-05,5826
2015-07-06,5828
2015-07-07,5806
