date_obj,Mystic%20gloves%20(dark) price
2015-12-28,6473
2015-12-29,6494
2015-12-30,6700
2015-12-31,6700
2016-01-01,6726
2016-01-02,6726
2016-01-03,6785
2016-01-04,6746
2016-01-05,6746
2016-01-06,6561
2016-01-07,6561
2016-01-08,6583
2016-01-09,6583
2016-01-10,6589
2016-01-11,6589
2016-01-12,6670
2016-01-13,6670
2016-01-14,6364
2016-01-15,6364
2016-01-16,6440
2016-01-17,6440
2016-01-18,6610
2016-01-19,6610
2016-01-20,6414
2016-01-21,6414
2016-01-22,6267
2016-01-23,6267
2016-01-24,6163
2016-01-25,6116
2016-01-26,6116
2016-01-27,6112
2016-01-28,6112
2016-01-29,6218
2016-01-30,6218
2016-01-31,6529
2016-02-01,6839
2016-02-02,6839
2016-02-03,7102
2016-02-04,7102
2016-02-05,7361
2016-02-06,7691
2016-02-07,7691
2016-02-08,7811
2016-02-09,7811
2016-02-10,7966
2016-02-11,7966
2016-02-12,7811
2016-02-13,7636
2016-02-14,7636
2016-02-15,7350
2016-02-16,7350
2016-02-17,7106
2016-02-18,7106
2016-02-19,6953
2016-02-20,6953
2016-02-21,7037
2016-02-22,7037
2016-02-23,7046
2016-02-24,7046
2016-02-25,7096
2016-02-26,7096
2016-02-27,6994
2016-02-28,6994
2016-02-29,6971
2016-03-01,6864
2016-03-02,6864
2016-03-03,6754
2016-03-04,6754
2016-03-05,6652
2016-03-06,6617
2016-03-07,6617
2016-03-08,6574
2016-03-09,6574
2016-03-10,6541
2016-03-11,6541
2016-03-12,6843
2016-03-13,6843
2016-03-14,6752
2016-03-15,6752
2016-03-16,6596
2016-03-17,6596
2016-03-18,6359
2016-03-19,6359
2016-03-20,6215
2016-03-21,6215
2016-03-22,6195
2016-03-23,6230
2016-03-24,6230
2016-03-25,6199
2016-03-26,6472
2016-03-27,6472
2016-03-28,6794
2016-03-29,6794
2016-03-30,6890
2016-03-31,6890
2016-04-01,6565
2016-04-02,6565
2016-04-03,6283
2016-04-04,6283
2016-04-05,6106
2016-04-06,6106
2016-04-07,6263
2016-04-08,6349
2016-04-09,6409
2016-04-10,6410
2016-04-11,6410
2016-04-12,6488
2016-04-13,6488
2016-04-14,6396
2016-04-15,6369
2016-04-16,6369
2016-04-17,6317
2016-04-18,6297
2016-04-19,6297
2016-04-20,6322
2016-04-21,6322
2016-04-22,6262
2016-04-23,6163
2016-04-24,6163
2016-04-25,6226
2016-04-26,6226
2016-04-27,6507
2016-04-28,6507
2016-04-29,6833
2016-04-30,6860
2016-05-01,6860
2016-05-02,6679
2016-05-03,6565
2016-05-04,6565
2016-05-05,6423
2016-05-06,6423
2016-05-07,6386
2016-05-08,6386
2016-05-09,6233
2016-05-10,6099
2016-05-11,6099
2016-05-12,6033
2016-05-13,5949
2016-05-14,5949
2016-05-15,6081
2016-05-16,6081
2016-05-17,6232
2016-05-18,6318
2016-05-19,6318
2016-05-22,6498
2016-05-23,6319
2016-05-24,6210
2016-05-25,6210
2016-05-26,6128
2016-05-27,6096
2016-05-28,6096
2016-05-29,6044
2016-05-30,6044
2016-05-31,6024
2016-06-01,6003
2016-06-02,6003
2016-06-03,6115
2016-06-04,6190
2016-06-05,6190
2016-06-06,6149
2016-06-07,6149
2016-06-08,6247
2016-06-09,6469
2016-06-10,6410
2016-06-11,6410
2016-06-12,6511
2016-06-13,6511
2016-06-14,6680
2016-06-15,6680
2016-06-16,6446
2016-06-17,6383
2016-06-18,6383
2016-06-19,6342
2016-06-20,6342
2016-06-21,6287
2016-06-22,6587
2016-06-23,6720
2016-06-24,6720
2016-06-25,6574
2016-06-26,6574
2016-06-27,6557
2016-06-28,6839
2016-06-29,6839
2016-06-30,6893
2016-07-01,6873
2016-07-02,6873
2016-07-03,6917
2016-07-04,6930
2016-07-05,6930
2016-07-06,6866
2016-07-07,6866
2016-07-08,6723
2016-07-09,6566
2016-07-10,6432
2016-07-11,6272
2016-07-12,6272
2016-07-13,6215
2016-07-14,6185
2016-07-15,6185
2016-07-16,6192
2016-07-17,6192
2016-07-18,6200
2016-07-23,6282
2016-07-24,6192
2016-07-25,6192
2016-07-26,6166
2016-07-27,6166
2016-07-28,6034
2016-07-29,5986
2016-07-30,5986
2016-07-31,6026
2016-08-01,6026
2016-08-02,5965
2016-08-03,5965
2016-08-04,5976
2016-08-05,5976
2016-08-06,5961
2016-08-07,5961
2016-08-08,5956
2016-08-09,5866
2016-08-10,5866
2016-08-11,5957
2016-08-12,5957
2016-08-13,6107
