date_obj,Draynor%20manor%20teleport%20(tablet) price
2016-05-12,1000
2016-05-13,1000
2016-05-14,1000
2016-05-15,1039
2016-05-16,1039
2016-05-17,1039
2016-05-18,1039
2016-05-19,1039
2016-05-22,1089
2016-05-23,1089
2016-05-24,1089
2016-05-25,1089
2016-05-26,1142
2016-05-27,1142
2016-05-28,1142
2016-05-29,1142
2016-05-30,1142
2016-05-31,1142
2016-06-01,1197
2016-06-02,1197
2016-06-03,1197
2016-06-04,1197
2016-06-05,1197
2016-06-06,1197
2016-06-07,1243
2016-06-08,1243
2016-06-09,1243
2016-06-10,1243
2016-06-11,1243
2016-06-12,1243
2016-06-13,1303
2016-06-14,1303
2016-06-15,1303
2016-06-16,1303
2016-06-17,1303
2016-06-18,1303
2016-06-19,1365
2016-06-20,1365
2016-06-21,1365
2016-06-22,1365
2016-06-23,1365
2016-06-24,1365
2016-06-25,1365
2016-06-26,1431
2016-06-27,1431
2016-06-28,1431
2016-06-29,1431
2016-06-30,1431
2016-07-01,1431
2016-07-02,1499
2016-07-03,1499
2016-07-04,1499
2016-07-05,1499
2016-07-06,1499
2016-07-07,1499
2016-07-08,1557
2016-07-09,1557
2016-07-10,1557
2016-07-11,1557
2016-07-12,1557
2016-07-13,1557
2016-07-14,1630
2016-07-15,1630
2016-07-16,1630
2016-07-17,1630
2016-07-18,1630
2016-07-23,1708
2016-07-24,1708
2016-07-25,1708
2016-07-26,1708
2016-07-27,1708
2016-07-28,1708
2016-07-29,1708
2016-07-30,1786
2016-07-31,1786
2016-08-01,1786
2016-08-02,1786
2016-08-03,1786
2016-08-04,1786
2016-08-05,1786
2016-08-06,1786
2016-08-07,1786
2016-08-08,1872
2016-08-09,1872
2016-08-10,1872
2016-08-11,1872
2016-08-12,1872
2016-08-13,1872
2016-08-14,1872
2016-08-15,1872
2016-08-16,1962
2016-08-17,1962
2016-08-18,1962
2016-08-19,1962
2016-08-20,1962
2016-08-21,1962
2016-08-22,1962
2016-08-23,1962
2016-08-24,2055
2016-08-25,2055
2016-08-26,2055
2016-08-28,2055
2016-08-31,2055
2016-09-01,2154
2016-09-02,2154
2016-09-03,2154
2016-09-04,2154
2016-09-05,2154
2016-09-06,2154
2016-09-07,2154
2016-09-08,2154
2016-09-09,2218
2016-09-10,2218
2016-09-11,2218
2016-09-12,2218
2016-09-13,2218
2016-09-14,2218
2016-09-15,2218
2016-09-16,2218
2016-09-17,2217
2016-09-18,2217
2016-09-19,2217
2016-09-20,2217
2016-09-21,2217
2016-09-22,2217
2016-09-23,2217
2016-09-24,2217
2016-09-25,2319
2016-09-26,2319
2016-09-27,2319
2016-09-28,2319
2016-09-29,2319
2016-09-30,2319
2016-10-01,2319
2016-10-02,2319
2016-10-03,2319
2016-10-04,2423
2016-10-05,2423
2016-10-06,2423
2016-10-07,2423
2016-10-08,2423
2016-10-09,2423
2016-10-10,2423
2016-10-11,2423
2016-10-12,2538
2016-10-13,2538
2016-10-14,2538
2016-10-15,2538
2016-10-16,2538
2016-10-17,2538
2016-10-18,2538
2016-10-19,2654
2016-10-20,2654
2016-10-21,2654
2016-10-22,2654
2016-10-23,2654
2016-10-24,2654
2016-10-25,2654
2016-10-26,2774
2016-10-27,2774
2016-10-28,2774
2016-10-29,2774
2016-10-30,2774
2016-10-31,2774
2016-11-01,2774
2016-11-02,2774
2016-11-03,2909
2016-11-04,2909
2016-11-05,2909
2016-11-06,2909
2016-11-07,2909
2016-11-08,2909
2016-11-09,2909
2016-11-10,2957
2016-11-11,2957
2016-11-12,2957
2016-11-13,2957
2016-11-14,2957
2016-11-15,2957
2016-12-07,3227
2016-12-08,3227
2016-12-09,3227
2016-12-10,3227
2016-12-11,3227
2016-12-12,3227
2016-12-13,3318
2016-12-14,3318
2016-12-15,3318
2016-12-16,3318
2016-12-17,3318
2016-12-18,3318
2016-12-19,3331
2016-12-20,3331
2016-12-21,3331
2016-12-22,3331
2016-12-23,3331
2016-12-24,3331
2016-12-25,3294
2016-12-26,3294
2016-12-27,3294
2016-12-28,3294
2016-12-29,3294
2016-12-30,3316
2016-12-31,3316
2017-01-01,3316
2017-01-02,3316
2017-01-03,3316
2017-01-04,3228
2017-01-05,3228
2017-01-06,3228
2017-01-07,3228
2017-01-08,3228
2017-01-09,3138
2017-01-10,3138
2017-01-11,3138
2017-01-12,3138
2017-01-13,3138
2017-01-14,3144
2017-01-15,3144
2017-01-16,3144
2017-01-17,3144
2017-01-18,3209
2017-01-19,3209
2017-01-20,3209
2017-01-21,3209
2017-01-22,3209
2017-01-23,3225
2017-01-27,3225
2017-01-28,3089
2017-01-29,3089
2017-01-30,3089
2017-01-31,3089
2017-02-01,3062
2017-02-02,3062
2017-02-03,3062
2017-02-04,3062
2017-02-05,3062
2017-02-06,2983
2017-02-07,2983
2017-02-08,2983
2017-02-09,2983
2017-02-10,3007
2017-02-11,3007
2017-02-12,3007
2017-02-13,3007
2017-02-14,3079
2017-02-15,3079
