date_obj,Enhanced%20crystal%20teleport%20seed price
2019-07-24,500000
2019-07-25,517168
2019-07-26,540838
2019-07-27,566318
2019-07-28,593023
2019-07-29,620117
2019-07-30,649440
2019-07-31,680046
2019-08-01,711985
2019-08-02,745615
2019-08-03,780856
2019-08-04,780856
2019-08-05,817971
2019-08-06,817971
2019-08-07,857371
2019-08-08,857371
2019-08-09,857371
2019-08-10,898383
2019-08-11,898383
2019-08-12,939300
2019-08-13,939300
2019-08-14,939300
2019-08-15,983357
2019-08-16,983357
2019-08-17,1028099
2019-08-18,1028099
2019-08-19,1076494
2019-08-20,1076494
2019-08-21,1076494
2019-08-22,1126122
2019-08-23,1126122
2019-08-24,1126122
2019-08-24,1126122
2019-08-25,1126122
2019-08-25,1126122
2019-08-26,1179099
2019-08-26,1179099
2019-08-27,1179099
2019-08-27,1179099
2019-08-28,1179099
2019-08-29,1179099
2019-08-30,1234752
2019-08-31,1234752
2019-09-01,1234752
2019-09-02,1234752
2019-09-03,1293352
2019-09-04,1293352
2019-09-05,1293352
2019-09-06,1293352
2019-09-07,1353890
2019-09-08,1353890
2019-09-09,1353890
2019-09-10,1353890
2019-09-11,1417608
2019-09-12,1417608
2019-09-13,1417608
2019-09-14,1417608
2019-09-15,1417608
2019-09-16,1485567
2019-09-17,1485567
2019-09-18,1485567
2019-09-19,1485567
2019-09-20,1485567
2019-09-21,1555256
2019-09-22,1555256
2019-09-23,1555256
2019-09-24,1555256
2019-09-25,1555256
2019-09-26,1627660
2019-09-27,1627660
2019-09-28,1627660
2019-09-29,1627660
2019-09-30,1627660
2019-10-01,1702810
2019-10-02,1702810
2019-10-03,1702810
2019-10-04,1702810
2019-10-05,1702810
2019-10-06,1765607
2019-10-07,1765607
2019-10-08,1765607
2019-10-09,1765607
2019-10-10,1765607
2019-10-11,1833753
2019-10-12,1833753
2019-10-13,1833753
2019-10-14,1833753
2019-10-15,1920048
2019-10-16,1920048
2019-10-17,1920048
2019-10-18,1920048
2019-10-19,1920048
2019-10-20,2010795
2019-10-21,2010795
2019-10-22,2010795
2019-10-23,2010795
2019-10-24,2010795
2019-10-25,2105722
2019-10-26,2105722
2019-10-27,2105722
2019-10-28,2105722
