date_obj,Dragonstone%20boots price
2019-07-24,1000000
2019-07-25,1000000
2019-07-26,1000000
2019-07-27,1033667
2019-07-28,1033667
2019-07-29,1033667
2019-07-30,1074893
2019-07-31,1074893
2019-08-01,1074893
2019-08-02,1074893
2019-08-03,1117524
2019-08-04,1117524
2019-08-05,1117524
2019-08-06,1117524
2019-08-07,1117524
2019-08-08,1117524
2019-08-09,1167413
2019-08-10,1167413
2019-08-11,1167413
2019-08-12,1167413
2019-08-13,1167413
2019-08-14,1167413
2019-08-15,1167413
2019-08-16,1218498
2019-08-17,1218498
2019-08-18,1218498
2019-08-19,1218498
2019-08-20,1218498
2019-08-21,1218498
2019-08-22,1218498
2019-08-23,1272719
2019-08-24,1272719
2019-08-24,1272719
2019-08-25,1272719
2019-08-25,1272719
2019-08-26,1272719
2019-08-26,1272719
2019-08-27,1272719
2019-08-27,1272719
2019-08-28,1272719
2019-08-29,1272719
2019-08-30,1272719
2019-08-31,1327516
2019-09-01,1327516
2019-09-02,1327516
2019-09-03,1327516
2019-09-04,1327516
2019-09-05,1327516
2019-09-06,1327516
2019-09-07,1387993
2019-09-08,1387993
2019-09-09,1387993
2019-09-10,1387993
2019-09-11,1387993
2019-09-12,1387993
2019-09-13,1387993
2019-09-14,1387993
2019-09-15,1387993
2019-09-16,1449735
2019-09-17,1449735
2019-09-18,1449735
2019-09-19,1449735
2019-09-20,1449735
2019-09-21,1449735
2019-09-22,1449735
2019-09-23,1449735
2019-09-24,1449735
2019-09-25,1449735
2019-09-26,1449735
2019-09-27,1511371
2019-09-28,1511371
2019-09-29,1511371
2019-09-30,1511371
2019-10-01,1511371
2019-10-02,1511371
2019-10-03,1511371
2019-10-04,1511371
2019-10-05,1511371
2019-10-06,1511371
2019-10-07,1511371
2019-10-08,1511371
2019-10-09,1511371
2019-10-10,1578680
2019-10-11,1578680
2019-10-12,1578680
2019-10-13,1578680
2019-10-14,1578680
2019-10-15,1578680
2019-10-16,1578680
2019-10-17,1578680
2019-10-18,1578680
2019-10-19,1578680
2019-10-20,1578680
2019-10-21,1578680
2019-10-22,1578680
2019-10-23,1648376
2019-10-24,1648376
2019-10-25,1648376
2019-10-26,1648376
2019-10-27,1648376
2019-10-28,1648376
2019-10-29,1648376
2019-10-30,1648376
2019-10-31,1648376
2019-11-01,1648376
2019-11-02,1648376
2019-11-03,1719485
2019-11-04,1719485
2019-11-05,1719485
2019-11-06,1719485
2019-11-07,1719485
2019-11-08,1719485
2019-11-09,1719485
2019-11-10,1719485
2019-11-11,1719485
2019-11-12,1719485
2019-11-13,1796817
2019-11-14,1796817
2019-11-15,1796817
2019-11-16,1796817
2019-11-17,1796817
2019-11-18,1796817
2019-11-19,1796817
2019-11-20,1796817
2019-11-21,1796817
2019-11-22,1796817
2019-11-23,1796817
2019-11-24,1813038
2019-11-25,1813038
2019-11-26,1813038
2019-11-27,1813038
2019-11-28,1813038
2019-11-29,1813038
2019-11-30,1813038
2019-12-01,1813038
2019-12-02,1823473
2019-12-03,1823473
2019-12-04,1823473
2019-12-05,1823473
2019-12-06,1823473
2019-12-07,1823473
2019-12-08,1823473
2019-12-09,1823473
2019-12-10,1798325
2019-12-11,1798325
2019-12-12,1798325
2019-12-13,1798325
2019-12-14,1798325
2019-12-15,1798325
2019-12-16,1798325
2019-12-17,1708759
2019-12-18,1708759
2019-12-19,1708759
2019-12-20,1708759
2019-12-21,1708759
2019-12-22,1708759
2019-12-23,1708759
2019-12-24,1624765
2019-12-25,1624765
2019-12-26,1624765
2019-12-27,1624765
2019-12-28,1624765
2019-12-29,1624765
2019-12-30,1624765
2019-12-31,1544950
2020-01-01,1544950
2020-01-02,1544950
2020-01-03,1544950
2020-01-04,1544950
2020-01-05,1544950
2020-01-06,1544950
2020-01-07,1468872
2020-01-08,1468872
2020-01-09,1468872
2020-01-10,1468872
2020-01-11,1468872
2020-01-12,1468872
2020-01-13,1468872
2020-01-14,1397453
2020-01-15,1397453
2020-01-16,1397453
2020-01-17,1397453
2020-01-18,1397453
2020-01-19,1328829
2020-01-20,1328829
2020-01-21,1328829
2020-01-22,1328829
2020-01-23,1328829
2020-01-24,1263586
2020-01-25,1263586
2020-01-26,1263586
2020-01-27,1263586
2020-01-28,1203035
2020-01-29,1203035
2020-01-30,1203035
2020-01-31,1203035
2020-02-01,1144715
2020-02-02,1144715
2020-02-03,1144715
2020-02-04,1144715
2020-02-05,1144715
2020-02-06,1089748
2020-02-07,1089748
2020-02-08,1089748
2020-02-09,1089748
2020-02-10,1037219
2020-02-11,1037219
2020-02-12,1037219
2020-02-13,1037219
2020-02-14,987991
2020-02-15,987991
2020-02-16,987991
2020-02-17,987991
2020-02-18,987991
2020-02-19,941889
2020-02-20,941889
2020-02-21,941889
2020-02-22,941889
2020-02-23,897469
2020-02-24,897469
2020-02-25,897469
2020-02-26,897469
2020-02-27,855133
2020-02-28,855133
2020-02-29,855133
2020-03-01,855133
2020-03-02,855133
2020-03-03,814359
2020-03-04,814359
2020-03-05,814359
2020-03-06,776231
2020-03-07,776231
2020-03-08,776231
2020-03-09,776231
2020-03-10,738911
2020-03-11,738911
2020-03-12,738911
2020-03-13,738911
2020-03-14,738911
2020-03-15,703561
2020-03-16,703561
2020-03-17,703561
2020-03-18,703561
2020-03-19,703561
2020-03-20,670491
2020-03-21,670491
2020-03-22,670491
2020-03-23,670491
2020-03-24,638738
2020-03-25,638738
2020-03-26,638738
2020-03-27,638738
2020-03-28,608165
2020-03-29,608165
2020-03-30,608165
2020-03-31,608165
2020-04-01,579242
2020-04-02,579242
2020-04-03,579242
2020-04-04,579242
2020-04-05,579242
2020-04-06,550279
2020-04-07,550279
2020-04-08,550279
2020-04-09,550279
2020-04-10,550279
2020-04-11,522765
2020-04-12,522765
2020-04-13,522765
2020-04-14,522765
2020-04-15,528692
2020-04-16,528692
2020-04-17,528692
