date_obj,Twisted%20hat%20(t1) price
2020-01-13,10000
2020-01-14,10000
2020-01-15,10495
2020-01-16,11020
2020-01-17,11565
2020-01-18,11565
2020-01-19,12133
2020-01-20,12133
2020-01-21,12133
2020-01-22,12653
2020-01-23,12653
2020-01-24,12653
2020-01-25,13270
2020-01-26,13270
2020-01-27,13270
2020-01-28,13270
2020-01-29,13921
2020-01-30,13921
2020-01-31,13921
2020-02-01,13921
2020-02-02,13921
2020-02-03,13921
2020-02-04,14596
2020-02-05,14596
2020-02-06,14596
2020-02-07,14596
2020-02-08,14596
2020-02-09,14596
2020-02-10,15205
2020-02-11,15205
2020-02-12,15205
2020-02-13,15205
2020-02-14,15205
2020-02-15,15205
2020-02-16,15205
2020-02-17,15205
2020-02-18,15948
2020-02-19,15948
2020-02-20,15948
2020-02-21,15948
2020-02-22,15948
2020-02-23,15948
2020-02-24,15948
2020-02-25,15948
2020-02-26,16708
2020-02-27,16708
2020-02-28,16708
2020-02-29,16708
2020-03-01,16708
2020-03-02,16708
2020-03-03,16708
2020-03-04,16708
2020-03-05,16708
2020-03-06,17501
2020-03-07,17501
2020-03-08,17501
2020-03-09,17501
2020-03-10,17501
2020-03-11,17501
2020-03-12,17501
2020-03-13,17501
2020-03-14,18357
2020-03-15,18357
2020-03-16,18357
2020-03-17,18357
2020-03-18,18357
2020-03-19,18357
2020-03-20,18357
2020-03-21,18357
2020-03-22,18357
2020-03-23,19233
2020-03-24,19233
2020-03-25,19233
2020-03-26,19233
2020-03-27,19233
2020-03-28,19233
2020-03-29,19233
2020-03-30,19233
2020-03-31,20148
2020-04-01,20148
2020-04-02,20148
2020-04-03,20148
2020-04-04,20148
2020-04-05,20148
2020-04-06,20148
2020-04-07,20148
2020-04-08,21111
2020-04-09,21111
2020-04-10,21111
2020-04-11,21111
2020-04-12,21111
2020-04-13,21111
2020-04-14,21111
2020-04-15,22132
2020-04-16,22132
2020-04-17,22132
2020-04-18,22132
2020-04-19,22132
2020-04-20,22132
2020-04-21,23167
2020-04-22,23167
2020-04-23,23167
2020-04-24,23167
2020-04-25,23167
2020-04-26,23167
2020-04-27,23167
2020-04-28,24264
2020-04-29,24264
2020-04-30,24264
2020-05-01,24264
2020-05-02,24264
2020-05-03,24264
2020-05-04,24264
2020-05-05,24264
2020-05-06,25429
2020-05-07,25429
2020-05-08,25429
2020-05-09,25429
2020-05-10,25429
2020-05-11,25429
2020-05-12,25429
2020-05-13,25429
