date_obj,Iorwerth%20camp%20teleport price
2015-03-26,4322
2015-03-27,4322
2015-03-28,4119
2015-03-29,3929
2015-03-30,3929
2015-03-31,3732
2015-04-01,3732
2015-04-02,3558
2015-04-03,3558
2015-04-04,3380
2015-04-05,3380
2015-04-06,3211
2015-04-07,3060
2015-04-08,3060
2015-04-09,2919
2015-04-10,2787
2015-04-11,2787
2015-04-12,2647
2015-04-13,2647
2015-04-14,2514
2015-04-15,2514
2015-04-16,2388
2015-04-17,2388
2015-04-18,2268
2015-04-19,2268
2015-04-20,2154
2015-04-21,2154
2015-04-22,2048
2015-04-23,1960
2015-04-24,1960
2015-04-25,1868
2015-04-26,1868
2015-04-27,1804
2015-04-28,1804
2015-04-29,1750
2015-04-30,1714
2015-05-01,1701
2015-05-02,1701
2015-05-03,1671
2015-05-04,1671
2015-05-05,1664
2015-05-06,1657
2015-05-07,1692
2015-05-08,1692
2015-05-09,1777
2015-05-10,1865
2015-05-11,1865
2015-05-12,1942
2015-05-13,1942
2015-05-14,1922
2015-05-15,1922
2015-05-16,1911
2015-05-17,1917
2015-05-18,1917
2015-05-19,1957
2015-05-20,1957
2015-05-21,1957
2015-05-22,2015
2015-05-23,2015
2015-05-24,2091
2015-05-25,2168
2015-05-26,2168
2015-05-27,2243
2015-05-28,2320
2015-05-29,2334
2015-05-30,2379
2015-05-31,2379
2015-06-01,2498
2015-06-02,2498
2015-06-03,2546
2015-06-04,2546
2015-06-05,2588
2015-06-06,2682
2015-06-07,2682
2015-06-08,2609
2015-06-09,2506
2015-06-10,2404
2015-06-11,2404
2015-06-12,2284
2015-06-13,2206
2015-06-14,2206
2015-06-15,2138
2015-06-16,2138
2015-06-17,2127
2015-06-18,2108
2015-06-19,2108
2015-06-20,2080
2015-06-21,2080
2015-06-22,2015
2015-06-23,2015
2015-06-24,2008
2015-06-25,2008
2015-06-26,1907
2015-06-27,1907
2015-06-28,1857
2015-06-29,1857
2015-06-30,1799
2015-07-01,1781
2015-07-02,1781
2015-07-03,1771
2015-07-04,1771
2015-07-05,1761
2015-07-06,1761
2015-07-07,1748
2015-07-08,1812
2015-07-09,1812
2015-07-10,1818
2015-07-11,1818
2015-07-12,1819
2015-07-13,1802
2015-07-14,1802
2015-07-15,1799
2015-07-16,1799
2015-07-17,1795
2015-07-18,1795
2015-07-19,1811
2015-07-20,1806
2015-07-21,1806
2015-07-22,1844
2015-07-23,1844
2015-07-24,1897
2015-07-25,1897
2015-07-26,1915
2015-07-27,1915
2015-07-28,1952
2015-07-29,1976
2015-07-30,1976
2015-07-31,1986
2015-08-01,1986
2015-08-02,2021
2015-08-03,2021
2015-08-04,2048
2015-08-05,2042
2015-08-06,2042
2015-08-07,2076
2015-08-08,2052
2015-08-09,2056
2015-08-10,2004
2015-08-11,1978
2015-08-12,1978
2015-08-13,1939
2015-08-14,1950
2015-08-15,1950
2015-08-16,1938
2015-08-17,1984
2015-08-18,1984
2015-08-19,2001
2015-08-20,2001
2015-08-21,2035
2015-08-22,2040
2015-08-23,2040
2015-08-24,2058
2015-08-25,2058
2015-08-26,2098
2015-08-27,2134
2015-08-28,2134
2015-08-29,2123
2015-08-30,2123
2015-08-31,2156
2015-09-01,2142
2015-09-02,2142
2015-09-03,2134
2015-09-04,2129
2015-09-05,2129
2015-09-06,2131
2015-09-07,2147
2015-09-08,2198
2015-09-09,2198
2015-09-10,2306
2015-09-11,2335
2015-09-12,2335
2015-09-13,2324
2015-09-14,2324
2015-09-15,2264
2015-09-16,2264
2015-09-17,2220
2015-09-18,2220
2015-09-19,2210
2015-09-20,2210
2015-09-21,2174
2015-09-22,2150
2015-09-23,2104
2015-09-24,2104
2015-09-25,2070
2015-09-27,2039
2015-09-28,2016
2015-09-29,2016
2015-09-30,2000
2015-10-05,1978
2015-10-06,1971
2015-10-07,1971
2015-10-08,1959
2015-10-09,1938
2015-10-10,1938
2015-10-11,1933
2015-10-12,1933
2015-10-13,1885
2015-10-14,1885
2015-10-15,1885
2015-10-16,1865
2015-10-17,1865
2015-10-18,1863
2015-10-19,1873
2015-10-20,1873
2015-10-22,1890
2015-10-23,1838
2015-10-24,1838
2015-10-25,1830
2015-10-26,1830
2015-10-27,1800
2015-10-29,1713
2015-10-30,1713
2015-10-31,1627
2015-11-01,1627
2015-11-02,1583
2015-11-03,1583
2015-11-04,1616
2015-11-05,1616
2015-11-06,1696
2015-11-07,1722
2015-11-08,1722
2015-11-09,1677
2015-11-10,1677
2015-11-11,1609
2015-11-12,1609
2015-11-13,1590
2015-11-14,1590
2015-11-15,1561
2015-11-16,1561
2015-11-17,1594
2015-11-18,1594
2015-11-19,1561
2015-11-20,1561
2015-11-21,1524
2015-11-22,1483
2015-11-23,1483
2015-11-24,1444
2015-11-25,1461
2015-11-26,1461
2015-11-27,1420
2015-11-28,1420
2015-11-29,1349
2015-11-30,1298
2015-12-01,1298
2015-12-02,1264
2015-12-03,1236
2015-12-04,1236
2015-12-05,1263
2015-12-06,1244
2015-12-07,1244
2015-12-08,1249
2015-12-09,1238
2015-12-10,1238
2015-12-11,1293
2015-12-12,1293
2015-12-13,1352
2015-12-14,1352
2015-12-15,1363
2015-12-16,1387
2015-12-17,1387
2015-12-18,1423
2015-12-19,1423
2015-12-20,1493
2015-12-21,1493
2015-12-22,1539
2015-12-23,1606
2015-12-24,1606
2015-12-25,1609
2015-12-26,1609
2015-12-27,1603
2015-12-28,1603
2015-12-29,1592
2015-12-30,1586
2015-12-31,1586
2016-01-01,1586
2016-01-02,1586
2016-01-03,1615
2016-01-04,1696
2016-01-05,1781
2016-01-06,1852
2016-01-07,1852
2016-01-08,1784
2016-01-09,1784
2016-01-10,1747
2016-01-11,1667
2016-01-12,1584
2016-01-13,1584
2016-01-14,1546
2016-01-15,1490
2016-01-16,1449
2016-01-17,1487
2016-01-18,1511
2016-01-19,1511
2016-01-20,1484
2016-01-21,1484
2016-01-22,1412
2016-01-23,1427
2016-01-24,1432
2016-01-25,1435
2016-01-26,1435
2016-01-27,1413
2016-01-28,1413
2016-01-29,1371
2016-01-30,1371
2016-01-31,1315
2016-02-01,1297
2016-02-02,1259
2016-02-03,1247
2016-02-04,1247
2016-02-05,1294
2016-02-06,1344
2016-02-07,1344
2016-02-08,1409
2016-02-09,1480
2016-02-10,1554
2016-02-11,1554
2016-02-12,1628
2016-02-13,1697
2016-02-14,1697
2016-02-15,1668
2016-02-16,1608
2016-02-17,1686
2016-02-18,1686
2016-02-19,1771
2016-02-20,1860
2016-02-21,1930
2016-02-22,1930
2016-02-23,1986
2016-02-24,2043
2016-02-25,2030
2016-02-26,2030
2016-02-27,1968
2016-02-28,1968
2016-02-29,1902
2016-03-01,1876
2016-03-02,1881
2016-03-03,1877
2016-03-04,1818
2016-03-05,1782
2016-03-06,1838
2016-03-07,1838
2016-03-08,1930
2016-03-09,2027
2016-03-10,2115
2016-03-11,2115
2016-03-12,2158
2016-03-13,2158
2016-03-14,2196
2016-03-15,2191
2016-03-16,2187
2016-03-17,2141
2016-03-18,2055
2016-03-19,2034
2016-03-20,2069
2016-03-21,2069
2016-03-22,2052
2016-03-23,1969
2016-03-24,1947
2016-03-25,1936
2016-03-26,1841
2016-03-27,1755
2016-03-28,1676
2016-03-29,1592
2016-03-30,1592
2016-03-31,1512
2016-04-01,1467
2016-04-02,1423
2016-04-03,1408
2016-04-04,1448
2016-04-05,1521
2016-04-06,1598
2016-04-07,1675
2016-04-08,1689
2016-04-09,1686
2016-04-10,1693
2016-04-11,1693
2016-04-12,1686
2016-04-13,1699
2016-04-14,1730
2016-04-15,1731
2016-04-16,1745
2016-04-17,1724
2016-04-18,1708
2016-04-19,1765
2016-04-20,1738
2016-04-21,1686
2016-04-22,1686
2016-04-23,1638
2016-04-24,1605
2016-04-25,1594
2016-04-26,1558
2016-04-27,1540
2016-04-28,1515
2016-04-29,1506
2016-04-30,1558
2016-05-01,1563
2016-05-02,1549
2016-05-03,1511
2016-05-04,1466
2016-05-05,1444
2016-05-06,1444
2016-05-07,1411
2016-05-08,1387
2016-05-09,1387
2016-05-10,1397
2016-05-11,1397
2016-05-12,1415
2016-05-13,1409
2016-05-14,1384
2016-05-15,1343
2016-05-16,1323
2016-05-17,1307
2016-05-18,1299
2016-05-19,1294
2016-05-22,1266
2016-05-23,1266
2016-05-24,1263
2016-05-25,1251
2016-05-26,1247
2016-05-27,1253
2016-05-28,1253
2016-05-29,1256
2016-05-30,1256
2016-05-31,1256
2016-06-01,1317
2016-06-02,1376
2016-06-03,1444
2016-06-04,1500
2016-06-05,1559
2016-06-06,1617
2016-06-07,1617
2016-06-08,1586
2016-06-09,1587
2016-06-10,1628
2016-06-11,1669
2016-06-12,1669
2016-06-13,1646
2016-06-14,1719
2016-06-15,1783
2016-06-16,1867
2016-06-17,1961
2016-06-18,1961
2016-06-19,1886
2016-06-20,1813
2016-06-21,1789
2016-06-22,1715
2016-06-23,1643
2016-06-24,1592
2016-06-25,1618
2016-06-26,1657
2016-06-27,1705
2016-06-28,1766
2016-06-29,1829
2016-06-30,1858
2016-07-01,1854
2016-07-02,1850
2016-07-03,1817
2016-07-04,1770
2016-07-05,1751
2016-07-06,1710
2016-07-07,1646
2016-07-08,1580
2016-07-09,1549
2016-07-10,1625
2016-07-11,1707
2016-07-12,1793
2016-07-13,1883
2016-07-14,1903
2016-07-15,1888
2016-07-16,1897
2016-07-17,1898
2016-07-18,1871
2016-07-23,1714
2016-07-24,1698
2016-07-25,1738
2016-07-26,1776
2016-07-27,1822
2016-07-28,1910
2016-07-29,1994
2016-07-30,2054
2016-07-31,2054
2016-08-01,2122
2016-08-02,2178
2016-08-03,2176
2016-08-04,2067
2016-08-05,1968
2016-08-06,1870
2016-08-07,1813
2016-08-08,1813
2016-08-09,1872
2016-08-10,1890
2016-08-11,1890
2016-08-12,1915
2016-08-13,1935
2016-08-14,1893
2016-08-15,1883
2016-08-16,1850
2016-08-17,1849
2016-08-18,1872
2016-08-19,1807
2016-08-20,1752
2016-08-21,1715
2016-08-22,1665
2016-08-23,1712
2016-08-24,1664
2016-08-25,1637
2016-08-26,1637
2016-08-28,1624
2016-08-31,1735
2016-09-01,1757
2016-09-02,1757
2016-09-03,1795
2016-09-04,1876
2016-09-05,1970
2016-09-06,2024
2016-09-07,1981
2016-09-08,1981
2016-09-09,1913
2016-09-10,1828
2016-09-11,1828
2016-09-12,1798
2016-09-13,1849
2016-09-14,1849
2016-09-15,1935
2016-09-16,1935
2016-09-17,2012
2016-09-18,2113
2016-09-19,2213
2016-09-20,2213
2016-09-21,2303
2016-09-22,2359
2016-09-23,2413
2016-09-24,2413
2016-09-25,2479
2016-09-26,2479
2016-09-27,2400
2016-09-28,2280
2016-09-29,2280
2016-09-30,2166
2016-10-01,2057
2016-10-02,2057
2016-10-03,1954
2016-10-04,1859
2016-10-05,1766
2016-10-06,1686
2016-10-07,1686
