date_obj,Black%20scimitar price
2016-02-14,2896
2016-02-15,2824
2016-02-16,2827
2016-02-17,2813
2016-02-18,2836
2016-02-19,2830
2016-02-20,2764
2016-02-21,2655
2016-02-22,2592
2016-02-23,2548
2016-02-24,2492
2016-02-25,2575
2016-02-26,2572
2016-02-27,2454
2016-02-28,2331
2016-02-29,2214
2016-03-01,2166
2016-03-02,2153
2016-03-03,2195
2016-03-04,2236
2016-03-05,2298
2016-03-06,2331
2016-03-07,2334
2016-03-08,2364
2016-03-09,2374
2016-03-10,2410
2016-03-11,2519
2016-03-12,2603
2016-03-13,2649
2016-03-14,2753
2016-03-15,2778
2016-03-16,2649
2016-03-17,2516
2016-03-18,2390
2016-03-19,2299
2016-03-20,2234
2016-03-21,2237
2016-03-22,2284
2016-03-23,2387
2016-03-24,2507
2016-03-25,2633
2016-03-26,2765
2016-03-27,2904
2016-03-28,3022
2016-03-29,3116
2016-03-30,3116
2016-03-31,3235
2016-04-01,3397
2016-04-02,3567
2016-04-03,3746
2016-04-04,3929
2016-04-05,4126
2016-04-06,4332
2016-04-07,4533
2016-04-08,4340
2016-04-09,4123
2016-04-10,3917
2016-04-11,3917
2016-04-12,3721
2016-04-13,3547
2016-04-14,3369
2016-04-15,3276
2016-04-16,3177
2016-04-17,3240
2016-04-18,3369
2016-04-19,3517
2016-04-20,3545
2016-04-21,3526
2016-04-22,3583
2016-04-23,3570
2016-04-24,3602
2016-04-25,3586
2016-04-26,3517
2016-04-27,3515
2016-04-28,3478
2016-04-29,3487
2016-04-30,3450
2016-05-01,3525
2016-05-02,3600
2016-05-03,3556
2016-05-04,3512
2016-05-05,3440
2016-05-06,3440
2016-05-07,3418
2016-05-08,3364
2016-05-09,3411
2016-05-10,3428
2016-05-11,3498
2016-05-12,3510
2016-05-13,3613
2016-05-14,3715
2016-05-15,3793
2016-05-16,3665
2016-05-17,3552
2016-05-18,3594
2016-05-19,3639
2016-05-22,3667
2016-05-23,3641
2016-05-24,3569
2016-05-25,3690
2016-05-26,3627
2016-05-27,3478
2016-05-28,3312
2016-05-29,3146
2016-05-30,2988
2016-05-31,2855
2016-06-01,2750
2016-06-02,2752
2016-06-03,2645
2016-06-04,2539
2016-06-05,2459
2016-06-06,2405
2016-06-07,2425
2016-06-08,2399
2016-06-09,2376
2016-06-10,2395
2016-06-11,2464
2016-06-12,2520
2016-06-13,2570
2016-06-14,2631
2016-06-15,2737
2016-06-16,2705
2016-06-17,2676
2016-06-18,2710
2016-06-19,2611
2016-06-20,2552
2016-06-21,2553
2016-06-22,2575
2016-06-23,2625
2016-06-24,2662
2016-06-25,2672
2016-06-26,2657
2016-06-27,2604
2016-06-28,2551
2016-06-29,2578
2016-06-30,2572
2016-07-01,2588
2016-07-02,2628
2016-07-03,2633
2016-07-04,2585
2016-07-05,2513
2016-07-06,2468
2016-07-07,2420
2016-07-08,2348
2016-07-09,2283
2016-07-10,2193
2016-07-11,2215
2016-07-12,2200
2016-07-13,2191
2016-07-14,2275
2016-07-15,2345
2016-07-16,2402
2016-07-17,2437
2016-07-18,2517
2016-07-23,2572
2016-07-24,2560
2016-07-25,2651
2016-07-26,2763
2016-07-27,2814
2016-07-28,2752
2016-07-29,2733
2016-07-30,2721
2016-07-31,2721
2016-08-01,2699
2016-08-02,2691
2016-08-03,2673
2016-08-04,2638
2016-08-05,2628
2016-08-06,2572
2016-08-07,2518
2016-08-08,2541
2016-08-09,2532
2016-08-10,2640
2016-08-11,2701
2016-08-12,2665
2016-08-13,2718
2016-08-14,2677
2016-08-15,2655
2016-08-16,2705
2016-08-17,2799
2016-08-18,2715
2016-08-19,2702
2016-08-20,2628
2016-08-21,2543
2016-08-22,2445
2016-08-23,2348
2016-08-24,2238
2016-08-25,2130
2016-08-26,2130
2016-08-28,1997
2016-08-31,2006
2016-09-01,2015
2016-09-02,2015
2016-09-03,2105
2016-09-04,2208
2016-09-05,2258
2016-09-06,2246
2016-09-07,2269
2016-09-08,2309
2016-09-09,2369
2016-09-10,2360
2016-09-11,2273
2016-09-12,2220
2016-09-13,2219
2016-09-14,2311
2016-09-15,2365
