date_obj,Red%20d'hide%20chaps%20(t) price
2015-03-26,11056
2015-03-27,11056
2015-03-28,10503
2015-03-29,9980
2015-03-30,9517
2015-03-31,9041
2015-04-01,8919
2015-04-02,8550
2015-04-03,8122
2015-04-04,7715
2015-04-05,7451
2015-04-06,7289
2015-04-07,6972
2015-04-08,6972
2015-04-09,6814
2015-04-10,6737
2015-04-11,6568
2015-04-12,6447
2015-04-13,6365
2015-04-14,6323
2015-04-15,6243
2015-04-16,6150
2015-04-17,6063
2015-04-18,5883
2015-04-19,5802
2015-04-20,5802
2015-04-21,5698
2015-04-22,5568
2015-04-23,5440
2015-04-24,5227
2015-04-25,5057
2015-04-26,4988
2015-04-27,4862
2015-04-28,4891
2015-04-29,4891
2015-04-30,4786
2015-05-01,4720
2015-05-02,4620
2015-05-03,4620
2015-05-04,4483
2015-05-05,4415
2015-05-06,4442
2015-05-07,4423
2015-05-08,4361
2015-05-09,4317
2015-05-10,4286
2015-05-11,4286
2015-05-12,4229
2015-05-13,4174
2015-05-14,4211
2015-05-15,4135
2015-05-16,4096
2015-05-17,4055
2015-05-18,4025
2015-05-19,3923
2015-05-20,3923
2015-05-21,3736
2015-05-22,3697
2015-05-23,3579
2015-05-24,3490
2015-05-25,3481
2015-05-26,3481
2015-05-27,3437
2015-05-28,3486
2015-05-29,3437
2015-05-30,3448
2015-05-31,3448
2015-06-01,3444
2015-06-02,3444
2015-06-03,3462
2015-06-04,3603
2015-06-05,3628
2015-06-06,3659
2015-06-07,3760
2015-06-08,3941
2015-06-09,4072
2015-06-10,4174
2015-06-11,4174
2015-06-12,4194
2015-06-13,4080
2015-06-14,4023
2015-06-15,3989
2015-06-16,3809
2015-06-17,3736
2015-06-18,3669
2015-06-19,3680
2015-06-20,3625
2015-06-21,3625
2015-06-22,3564
2015-06-23,3610
2015-06-24,3718
2015-06-25,3718
2015-06-26,3737
2015-06-27,3737
2015-06-28,3847
2015-06-29,4020
2015-06-30,4115
2015-07-01,4135
2015-07-02,4135
2015-07-03,4107
2015-07-04,4140
2015-07-05,4140
2015-07-06,4159
2015-07-07,4043
2015-07-08,4045
2015-07-09,4045
2015-07-10,4062
2015-07-11,4127
2015-07-12,4127
2015-07-13,4161
2015-07-14,4253
2015-07-15,4262
2015-07-16,4265
2015-07-17,4309
2015-07-18,4320
2015-07-19,4324
2015-07-20,4438
2015-07-21,4607
2015-07-22,4550
2015-07-23,4550
2015-07-24,4466
2015-07-25,4388
2015-07-26,4529
2015-07-27,4508
2015-07-28,4396
2015-07-29,4486
2015-07-30,4514
2015-07-31,4504
2015-08-01,4583
2015-08-02,4509
2015-08-03,4535
2015-08-04,4535
2015-08-05,4491
2015-08-06,4477
2015-08-07,4501
2015-08-08,4638
2015-08-09,4758
2015-08-10,4919
2015-08-11,5014
2015-08-12,5014
2015-08-13,4950
2015-08-14,5085
2015-08-15,5085
2015-08-16,5039
2015-08-17,5165
2015-08-18,5220
2015-08-19,5298
2015-08-20,5298
2015-08-21,5355
2015-08-22,5373
2015-08-23,5373
2015-08-24,5380
2015-08-25,5380
2015-08-26,5384
2015-08-27,5503
2015-08-28,5503
2015-08-29,5323
2015-08-30,5323
2015-08-31,5056
2015-09-01,4973
2015-09-02,4973
2015-09-03,4793
2015-09-04,4615
2015-09-05,4615
2015-09-06,4631
2015-09-07,4469
2015-09-08,4278
2015-09-09,4167
2015-09-10,4270
2015-09-11,4157
2015-09-12,4166
2015-09-13,4029
2015-09-14,3926
2015-09-15,3954
2015-09-16,3954
2015-09-17,3855
2015-09-18,3855
2015-09-19,3817
2015-09-20,3700
2015-09-21,3678
2015-09-22,3809
2015-09-23,3830
2015-09-24,3830
2015-09-25,3785
2015-09-27,4086
2015-09-28,4140
2015-09-29,4190
2015-09-30,4333
2015-10-05,4407
2015-10-06,4345
2015-10-07,4181
2015-10-08,4096
2015-10-09,4174
2015-10-10,4174
2015-10-11,4274
2015-10-12,4364
2015-10-13,4364
2015-10-14,4445
2015-10-15,4374
2015-10-16,4261
