date_obj,Dragon%20boots price
2015-03-26,99629
2015-03-27,98712
2015-03-28,99567
2015-03-29,101715
2015-03-30,104771
2015-03-31,109048
2015-04-01,109583
2015-04-02,109187
2015-04-03,113868
2015-04-04,119360
2015-04-05,125328
2015-04-06,131588
2015-04-07,131563
2015-04-08,130404
2015-04-09,127506
2015-04-10,128988
2015-04-11,134742
2015-04-12,136704
2015-04-13,141297
2015-04-14,142785
2015-04-15,142106
2015-04-16,140207
2015-04-17,135639
2015-04-18,131549
2015-04-19,130839
2015-04-20,129678
2015-04-21,129879
2015-04-22,128953
2015-04-23,128302
2015-04-24,128715
2015-04-25,126278
2015-04-26,124986
2015-04-27,125470
2015-04-28,124948
2015-04-29,124174
2015-04-30,122615
2015-05-01,120658
2015-05-02,117619
2015-05-03,116365
2015-05-04,115063
2015-05-05,114179
2015-05-06,112995
2015-05-07,113334
2015-05-08,113680
2015-05-09,114469
2015-05-10,113523
2015-05-11,115421
2015-05-12,114925
2015-05-13,114238
2015-05-14,117210
2015-05-15,123071
2015-05-16,129225
2015-05-17,135687
2015-05-18,142472
2015-05-19,149594
2015-05-20,157074
2015-05-21,164928
2015-05-22,172782
2015-05-23,178898
2015-05-24,181056
2015-05-25,173815
2015-05-26,165605
2015-05-27,159654
2015-05-28,162852
2015-05-29,164195
2015-05-30,165927
2015-05-31,162277
2015-06-01,161784
2015-06-02,163704
2015-06-03,165329
2015-06-04,170380
2015-06-05,169486
2015-06-06,168131
2015-06-07,163904
2015-06-08,161467
2015-06-09,157661
2015-06-10,150009
2015-06-11,148849
2015-06-12,146524
2015-06-13,145248
2015-06-14,147907
2015-06-15,145481
2015-06-16,142265
2015-06-17,137736
2015-06-18,132664
2015-06-19,131242
2015-06-20,127316
2015-06-21,125492
2015-06-22,125767
2015-06-23,125826
2015-06-24,124273
2015-06-25,127796
2015-06-26,123355
2015-06-27,119795
2015-06-28,121525
2015-06-29,123511
2015-06-30,123996
2015-07-01,121418
2015-07-02,121841
2015-07-03,118566
2015-07-04,114100
2015-07-05,110073
2015-07-06,105788
2015-07-07,103556
2015-07-08,106202
2015-07-09,111356
2015-07-10,115030
2015-07-11,120171
2015-07-12,124876
2015-07-13,125228
2015-07-14,119066
2015-07-15,113112
2015-07-16,108712
2015-07-17,110025
2015-07-18,111760
2015-07-19,114763
2015-07-20,118833
2015-07-21,118718
2015-07-22,120923
2015-07-23,124883
2015-07-24,130790
2015-07-25,134001
2015-07-26,127505
2015-07-27,121981
2015-07-28,123603
2015-07-29,127636
2015-07-30,123195
2015-07-31,120349
2015-08-01,124068
2015-08-02,126783
2015-08-03,133089
2015-08-04,139744
2015-08-05,146727
2015-08-06,154064
2015-08-07,161724
2015-08-08,163436
2015-08-09,158755
2015-08-10,155643
2015-08-11,162308
2015-08-12,159063
2015-08-13,160809
2015-08-14,155777
2015-08-15,157825
2015-08-16,154828
2015-08-17,152531
2015-08-18,151167
2015-08-19,150689
2015-08-20,147253
2015-08-21,142933
2015-08-22,135786
2015-08-23,135452
2015-08-24,141588
2015-08-25,147842
2015-08-26,154806
2015-08-27,151082
2015-08-28,143527
2015-08-29,136350
2015-08-30,129532
2015-08-31,123055
2015-09-01,116902
2015-09-02,111056
2015-09-03,105503
2015-09-04,100227
2015-09-05,95283
2015-09-06,93803
2015-09-07,90950
2015-09-08,90216
2015-09-09,94727
2015-09-10,97793
2015-09-11,95271
2015-09-12,91327
2015-09-13,87577
2015-09-14,83361
2015-09-15,79198
2015-09-16,76786
2015-09-17,73142
2015-09-18,72930
2015-09-19,74703
2015-09-20,75854
2015-09-21,78426
2015-09-22,82067
2015-09-23,78515
2015-09-24,77665
2015-09-25,78403
2015-09-27,84626
2015-09-28,85329
2015-09-29,81554
2015-09-30,78134
2015-10-05,71709
2015-10-06,71213
2015-10-07,69414
2015-10-08,69572
2015-10-09,69298
2015-10-10,67012
2015-10-11,65811
2015-10-12,64045
2015-10-13,63485
2015-10-14,64645
2015-10-15,63256
2015-10-16,62015
2015-10-17,62271
2015-10-18,63682
2015-10-19,65862
2015-10-20,66473
2015-10-22,67434
2015-10-23,67742
2015-10-24,66792
2015-10-25,67554
2015-10-26,65578
2015-10-27,63679
2015-10-29,61030
2015-10-30,61457
2015-10-31,64525
2015-11-01,67454
2015-11-02,65651
2015-11-03,63224
2015-11-04,62391
2015-11-05,61609
2015-11-06,61433
2015-11-07,62602
2015-11-08,62132
2015-11-09,62240
2015-11-10,63401
2015-11-11,64261
2015-11-12,65393
2015-11-13,66484
2015-11-14,68900
2015-11-15,72275
2015-11-16,75389
2015-11-17,78720
2015-11-18,80771
2015-11-19,84701
2015-11-20,84794
2015-11-21,85632
2015-11-22,84415
2015-11-23,83480
2015-11-24,82344
2015-11-25,80045
2015-11-26,78864
2015-11-27,79618
2015-11-28,78817
2015-11-29,81037
2015-11-30,82847
2015-12-01,86990
2015-12-02,91259
2015-12-03,94366
2015-12-04,97122
2015-12-05,98383
2015-12-06,99396
2015-12-07,103773
2015-12-08,108540
2015-12-09,111867
2015-12-10,117429
2015-12-11,121215
2015-12-12,115154
2015-12-13,109397
2015-12-14,103968
2015-12-15,99936
2015-12-16,97950
2015-12-17,97501
2015-12-18,96194
2015-12-19,94721
2015-12-20,93488
2015-12-21,93090
2015-12-22,92844
2015-12-23,95130
2015-12-24,95700
2015-12-25,97997
2015-12-26,99988
2015-12-27,104749
2015-12-28,107755
2015-12-29,107305
2015-12-30,107653
2015-12-31,106117
2016-01-01,104258
2016-01-02,105019
2016-01-03,107263
2016-01-04,106788
2016-01-05,108659
2016-01-06,110732
2016-01-07,110198
2016-01-08,111832
2016-01-09,117417
2016-01-10,122994
2016-01-11,128978
2016-01-12,133088
2016-01-13,131056
2016-01-14,126391
2016-01-15,125046
2016-01-16,122954
2016-01-17,119202
2016-01-18,113653
2016-01-19,113417
2016-01-20,110995
2016-01-21,110392
2016-01-22,109485
2016-01-23,111840
2016-01-24,111268
2016-01-25,111088
2016-01-26,109882
