date_obj,Earth%20battlestaff price
2015-03-26,9438
2015-03-27,9438
2015-03-28,9457
2015-03-29,9367
2015-03-30,9415
2015-03-31,9410
2015-04-01,9379
2015-04-02,9404
2015-04-03,9425
2015-04-04,9334
2015-04-05,9272
2015-04-06,9289
2015-04-07,9356
2015-04-08,9371
2015-04-09,9461
2015-04-10,9239
2015-04-11,9236
2015-04-12,9377
2015-04-13,9471
2015-04-14,9470
2015-04-15,9347
2015-04-16,9390
2015-04-17,9424
2015-04-18,9441
2015-04-19,9490
2015-04-20,9441
2015-04-21,9562
2015-04-22,9448
2015-04-23,9443
2015-04-24,9290
2015-04-25,9295
2015-04-26,9281
2015-04-27,9287
2015-04-28,9256
2015-04-29,9256
2015-04-30,9417
2015-05-01,9497
2015-05-02,9505
2015-05-03,9474
2015-05-04,9411
2015-05-05,9415
2015-05-06,9378
2015-05-07,9263
2015-05-08,9085
2015-05-09,9155
2015-05-10,9274
2015-05-11,9211
2015-05-12,9261
2015-05-13,9416
2015-05-14,9364
2015-05-15,9355
2015-05-16,9404
2015-05-17,9415
2015-05-18,9464
2015-05-19,9401
2015-05-20,9401
2015-05-21,9327
2015-05-22,9252
2015-05-23,9226
2015-05-24,9185
2015-05-25,9249
2015-05-26,9253
2015-05-27,9235
2015-05-28,9211
2015-05-29,9220
2015-05-30,9228
2015-05-31,9206
2015-06-01,9205
2015-06-02,9228
2015-06-03,9238
2015-06-04,9192
2015-06-05,9175
2015-06-06,9148
2015-06-07,9222
2015-06-08,9164
2015-06-09,9134
2015-06-10,9155
2015-06-11,9221
2015-06-12,9224
2015-06-13,9195
2015-06-14,9309
2015-06-15,9453
2015-06-16,9259
2015-06-17,9195
2015-06-18,9201
2015-06-19,9316
2015-06-20,9195
2015-06-21,9146
2015-06-22,9222
2015-06-23,9273
2015-06-24,9284
2015-06-25,9252
2015-06-26,9271
2015-06-27,9312
2015-06-28,9286
2015-06-29,9283
2015-06-30,9254
2015-07-01,9259
2015-07-02,9131
2015-07-03,9180
2015-07-04,9240
2015-07-05,9294
2015-07-06,9219
2015-07-07,9296
2015-07-08,9246
2015-07-09,9232
2015-07-10,9258
2015-07-11,9180
2015-07-12,9160
2015-07-13,9257
2015-07-14,9175
2015-07-15,9196
2015-07-16,9404
2015-07-17,9264
2015-07-18,9300
2015-07-19,9204
2015-07-20,9165
2015-07-21,9205
2015-07-22,9313
2015-07-23,9347
2015-07-24,9228
2015-07-25,9160
2015-07-26,9179
2015-07-27,9180
2015-07-28,9191
2015-07-29,9252
2015-07-30,9161
2015-07-31,9151
2015-08-01,9238
2015-08-02,9164
2015-08-03,9160
2015-08-04,9171
2015-08-05,9212
2015-08-06,9233
2015-08-07,9207
2015-08-08,9230
2015-08-09,9220
2015-08-10,9193
2015-08-11,9166
2015-08-12,9197
2015-08-13,9204
2015-08-14,9176
2015-08-15,9291
2015-08-16,9356
2015-08-17,9221
2015-08-18,9168
2015-08-19,9159
2015-08-20,9180
2015-08-21,9161
2015-08-22,9144
2015-08-23,9279
2015-08-24,9228
2015-08-25,9280
2015-08-26,9302
2015-08-27,9253
2015-08-28,9235
2015-08-29,9254
2015-08-30,9226
2015-08-31,9251
2015-09-01,9344
2015-09-02,9252
2015-09-03,9322
2015-09-04,9277
2015-09-05,9540
2015-09-06,9485
2015-09-07,9382
2015-09-08,9258
2015-09-09,9253
2015-09-10,9183
2015-09-11,9170
2015-09-12,9088
2015-09-13,9249
2015-09-14,9270
2015-09-15,9227
2015-09-16,9215
2015-09-17,9261
2015-09-18,9271
2015-09-19,9354
2015-09-20,9346
2015-09-21,9390
2015-09-22,9383
2015-09-23,9387
2015-09-24,9400
2015-09-25,9406
2015-09-27,9458
2015-09-28,9573
2015-09-29,9503
2015-09-30,9544
2015-10-05,9200
2015-10-06,9349
2015-10-07,9229
2015-10-08,9340
2015-10-09,9310
2015-10-10,9124
2015-10-11,9193
2015-10-12,9253
2015-10-13,9342
2015-10-14,9234
2015-10-15,9356
2015-10-16,9139
2015-10-17,9005
2015-10-18,9183
2015-10-19,9285
2015-10-20,9307
2015-10-22,9265
2015-10-23,9293
2015-10-24,9204
2015-10-25,9196
2015-10-26,9240
2015-10-27,9221
2015-10-29,9310
2015-10-30,9374
2015-10-31,9391
2015-11-01,9243
2015-11-02,9190
2015-11-03,9217
2015-11-04,9230
2015-11-05,9216
2015-11-06,9249
2015-11-07,9228
2015-11-08,9244
2015-11-09,9211
2015-11-10,9229
2015-11-11,9215
2015-11-12,9237
2015-11-13,9244
2015-11-14,9231
2015-11-15,9245
2015-11-16,9230
2015-11-17,9205
2015-11-18,9383
2015-11-19,9383
2015-11-20,9403
2015-11-21,9332
2015-11-22,9347
2015-11-23,9313
2015-11-24,9165
2015-11-25,9214
2015-11-26,9213
2015-11-27,9179
2015-11-28,9211
2015-11-29,9336
2015-11-30,9308
2015-12-01,9417
2015-12-02,9281
2015-12-03,9334
2015-12-04,9307
2015-12-05,9298
2015-12-06,9277
2015-12-07,9351
2015-12-08,9336
2015-12-09,9353
2015-12-10,9272
2015-12-11,9317
2015-12-12,9299
2015-12-13,9186
2015-12-14,9245
2015-12-15,9449
2015-12-16,9423
2015-12-17,9456
2015-12-18,9476
2015-12-19,9438
2015-12-20,9415
2015-12-21,9561
2015-12-22,9438
2015-12-23,9398
2015-12-24,9388
2015-12-25,9333
2015-12-26,9477
2015-12-27,9551
2015-12-28,9351
2015-12-29,9427
2015-12-30,9422
2015-12-31,9528
2016-01-01,9441
2016-01-02,9430
2016-01-03,9355
2016-01-04,9395
2016-01-05,9367
2016-01-06,9323
2016-01-07,9277
2016-01-08,9302
2016-01-09,9265
2016-01-10,9426
2016-01-11,9439
2016-01-12,9381
2016-01-13,9464
2016-01-14,9388
2016-01-15,9288
2016-01-16,9281
2016-01-17,9351
2016-01-18,9376
2016-01-19,9314
2016-01-20,9244
2016-01-21,9193
2016-01-22,9288
2016-01-23,9285
2016-01-24,9223
2016-01-25,9232
2016-01-26,9163
2016-01-27,9228
2016-01-28,9224
2016-01-29,9252
2016-01-30,9258
2016-01-31,9229
2016-02-01,9201
2016-02-02,9261
2016-02-03,9231
2016-02-04,9241
2016-02-05,9209
2016-02-06,9207
2016-02-07,9198
2016-02-08,9197
2016-02-09,9209
2016-02-10,9207
2016-02-11,9165
2016-02-12,9184
2016-02-13,9187
2016-02-14,9174
2016-02-15,9222
2016-02-16,9284
2016-02-17,9289
2016-02-18,9322
2016-02-19,9248
2016-02-20,9202
2016-02-21,9267
2016-02-22,9319
2016-02-23,9273
2016-02-24,9223
2016-02-25,9306
2016-02-26,9367
2016-02-27,9461
2016-02-28,9427
2016-02-29,9413
2016-03-01,9350
2016-03-02,9404
2016-03-03,9413
2016-03-04,9434
2016-03-05,9438
2016-03-06,9448
2016-03-07,9449
2016-03-08,9407
2016-03-09,9438
2016-03-10,9437
2016-03-11,9448
2016-03-12,9490
2016-03-13,9469
2016-03-14,9459
2016-03-15,9508
2016-03-16,9456
2016-03-17,9386
2016-03-18,9341
2016-03-19,9424
2016-03-20,9355
2016-03-21,9298
2016-03-22,9216
2016-03-23,9246
2016-03-24,9246
2016-03-25,9305
2016-03-26,9322
2016-03-27,9334
2016-03-28,9246
2016-03-29,9284
2016-03-30,9269
2016-03-31,9284
2016-04-01,9302
2016-04-02,9287
2016-04-03,9171
2016-04-04,9152
2016-04-05,9151
2016-04-06,9166
2016-04-07,9164
2016-04-08,9127
2016-04-09,9167
2016-04-10,9106
2016-04-11,9174
2016-04-12,9177
2016-04-13,9219
2016-04-14,9229
2016-04-15,9256
2016-04-16,9194
2016-04-17,9137
2016-04-18,9240
2016-04-19,9238
2016-04-20,9264
2016-04-21,9258
2016-04-22,9186
2016-04-23,9126
2016-04-24,9126
2016-04-25,9134
2016-04-26,9155
2016-04-27,9127
2016-04-28,9175
2016-04-29,9179
2016-04-30,9191
2016-05-01,9159
2016-05-02,9070
2016-05-03,9128
2016-05-04,9121
2016-05-05,9084
2016-05-06,9111
2016-05-07,9082
2016-05-08,9102
2016-05-09,9111
2016-05-10,9050
2016-05-11,9068
2016-05-12,9124
2016-05-13,9160
2016-05-14,9154
2016-05-15,9131
2016-05-16,9115
2016-05-17,9106
2016-05-18,9114
2016-05-19,9080
2016-05-22,9074
2016-05-23,9111
2016-05-24,9110
2016-05-25,9068
2016-05-26,9112
2016-05-27,9136
2016-05-28,9129
2016-05-29,9123
2016-05-30,9132
2016-05-31,9152
2016-06-01,9148
2016-06-02,9152
2016-06-03,9172
2016-06-04,9172
2016-06-05,9146
2016-06-06,9115
2016-06-07,9123
2016-06-08,9143
2016-06-09,9140
2016-06-10,9148
2016-06-11,9162
2016-06-12,9219
2016-06-13,9197
2016-06-14,9162
2016-06-15,9154
2016-06-16,9155
2016-06-17,9102
2016-06-18,9114
2016-06-19,9125
2016-06-20,9132
2016-06-21,9138
2016-06-22,9149
2016-06-23,9131
2016-06-24,9095
2016-06-25,9119
2016-06-26,9147
2016-06-27,9148
2016-06-28,9117
2016-06-29,9141
2016-06-30,9168
2016-07-01,9203
2016-07-02,9116
2016-07-03,9114
2016-07-04,9154
2016-07-05,9180
2016-07-06,9121
2016-07-07,9121
2016-07-08,9138
2016-07-09,9124
2016-07-10,9149
2016-07-11,9118
2016-07-12,9147
2016-07-13,9154
2016-07-14,9159
2016-07-15,9155
2016-07-16,9136
2016-07-17,9131
2016-07-18,9182
2016-07-23,9186
2016-07-24,9189
2016-07-25,9096
2016-07-26,9138
2016-07-27,9220
2016-07-28,9284
2016-07-29,9217
2016-07-30,9229
2016-07-31,9185
2016-08-01,9111
2016-08-02,9188
2016-08-03,9201
2016-08-04,9208
2016-08-05,9146
2016-08-06,9187
2016-08-07,9155
2016-08-08,9278
2016-08-09,9223
2016-08-10,9176
2016-08-11,9116
2016-08-12,9149
2016-08-13,9142
2016-08-14,9151
2016-08-15,9204
2016-08-16,9156
2016-08-17,9192
2016-08-18,9156
2016-08-19,9148
2016-08-20,9174
2016-08-21,9159
2016-08-22,9249
2016-08-23,9225
2016-08-24,9157
2016-08-25,9126
2016-08-26,9110
2016-08-28,9146
2016-08-31,9152
2016-09-01,9148
2016-09-02,9148
2016-09-03,9126
2016-09-04,9122
2016-09-05,9154
2016-09-06,9205
2016-09-07,9196
2016-09-08,9185
2016-09-09,9184
2016-09-10,9164
2016-09-11,9149
2016-09-12,9147
2016-09-13,9189
2016-09-14,9159
2016-09-15,9110
2016-09-16,9097
2016-09-17,9084
