date_obj,Gilded%20coif price
2019-04-11,500000
2019-04-11,521311
2019-04-12,543729
2019-04-13,565438
2019-04-14,590699
2019-04-15,6000000
2019-04-16,6000000
2019-04-17,6000000
2019-04-18,6000000
2019-04-19,6000000
2019-04-20,5719250
2019-04-21,5719250
2019-04-22,5719250
2019-04-23,5719250
2019-04-24,5433287
2019-04-25,5433287
2019-04-26,5433287
2019-04-27,5433287
2019-04-28,5174300
2019-04-29,5174300
2019-04-30,5174300
2019-05-01,5174300
2019-05-02,4916244
2019-05-03,4916244
2019-05-04,4675920
2019-05-05,4675920
2019-05-06,4675920
2019-05-07,4675920
2019-05-08,4447199
2019-05-09,4447199
2019-05-10,4447199
2019-05-11,4447199
2019-05-12,4224839
2019-05-13,4224839
2019-05-14,4224839
2019-05-15,4016872
2019-05-16,4016872
2019-05-17,4016872
2019-05-18,3816028
2019-05-19,3816028
2019-05-20,3816028
2019-05-21,3816028
2019-05-22,3625226
2019-05-23,3625226
2019-05-24,3625226
2019-05-25,3447111
2019-05-26,3447111
2019-05-27,3447111
2019-05-28,3281170
2019-05-29,3281170
2019-05-30,3281170
2019-05-31,3124492
2019-06-01,3124492
2019-06-02,3124492
2019-06-03,2972095
2019-06-04,2972095
2019-06-05,2972095
2019-06-06,2826877
2019-06-07,2826877
2019-06-08,2689445
2019-06-09,2689445
2019-06-10,2689445
2019-06-11,2554972
2019-06-12,2554972
2019-06-13,2554972
2019-06-14,2427786
2019-06-15,2427786
2019-06-16,2427786
2019-06-17,2427786
2019-06-18,2306699
2019-06-19,2306699
2019-06-20,2306699
2019-06-21,2194088
2019-06-22,2194088
2019-06-23,2194088
2019-06-24,2087159
2019-06-25,2087159
2019-06-26,2087159
2019-06-27,1982801
2019-06-28,1982801
2019-06-29,1982801
2019-06-30,1982801
2019-07-01,1886339
2019-07-02,1886339
2019-07-03,1886339
2019-07-04,1886339
2019-07-05,1802143
2019-07-06,1802143
2019-07-07,1802143
2019-07-08,1712312
2019-07-09,1712312
2019-07-10,1712312
2019-07-11,1712312
2019-07-12,1634675
2019-07-13,1634675
2019-07-14,1634675
2019-07-15,1634675
2019-07-16,1583663
2019-07-17,1583663
2019-07-18,1583663
2019-07-19,1547993
2019-07-20,1547993
2019-07-21,1547993
2019-07-22,1491851
2019-07-23,1491851
2019-07-24,1491851
2019-07-25,1491851
2019-07-26,1491851
2019-07-27,1462449
2019-07-28,1462449
2019-07-29,1462449
2019-07-30,1421070
2019-07-31,1421070
2019-08-01,1421070
2019-08-02,1421070
2019-08-03,1470138
2019-08-04,1470138
2019-08-05,1470138
2019-08-06,1470138
2019-08-07,1527287
2019-08-08,1527287
2019-08-09,1527287
2019-08-10,1527287
2019-08-11,1527287
2019-08-12,1527287
2019-08-13,1508210
2019-08-14,1508210
2019-08-15,1508210
2019-08-16,1508210
2019-08-17,1459983
2019-08-18,1459983
2019-08-19,1459983
2019-08-20,1399033
2019-08-21,1399033
2019-08-22,1399033
2019-08-23,1399033
2019-08-24,1431454
2019-08-24,1431454
2019-08-25,1431454
2019-08-25,1431454
2019-08-26,1431454
2019-08-26,1431454
2019-08-27,1431454
2019-08-27,1431454
2019-08-28,1473076
2019-08-29,1473076
2019-08-30,1473076
2019-08-31,1473076
2019-09-01,1515992
2019-09-02,1515992
2019-09-03,1515992
2019-09-04,1515992
2019-09-05,1440744
2019-09-06,1440744
2019-09-07,1440744
2019-09-08,1395905
2019-09-09,1395905
2019-09-10,1395905
2019-09-11,1395905
2019-09-12,1395905
2019-09-13,1395905
2019-09-14,1434809
2019-09-15,1434809
2019-09-16,1434809
2019-09-17,1434809
2019-09-18,1492561
2019-09-19,1492561
2019-09-20,1492561
2019-09-21,1492561
2019-09-22,1492561
2019-09-23,1558380
2019-09-24,1558380
2019-09-25,1558380
2019-09-26,1558380
2019-09-27,1558380
2019-09-28,1558380
2019-09-29,1558380
2019-09-30,1623338
2019-10-01,1623338
2019-10-02,1623338
2019-10-03,1623338
2019-10-04,1696917
2019-10-05,1696917
2019-10-06,1696917
2019-10-07,1696917
2019-10-08,1696917
2019-10-09,1776717
2019-10-10,1776717
2019-10-11,1776717
2019-10-12,1776717
2019-10-13,1776717
2019-10-14,1851694
2019-10-15,1851694
2019-10-16,1851694
2019-10-17,1851694
2019-10-18,1851694
2019-10-19,1851694
2019-10-20,1851694
2019-10-21,1930309
2019-10-22,1930309
2019-10-23,1930309
2019-10-24,1930309
2019-10-25,1930309
2019-10-26,1930309
2019-10-27,2008249
2019-10-28,2008249
2019-10-29,2008249
2019-10-30,2008249
2019-10-31,2008249
2019-11-01,2008249
2019-11-02,2074546
2019-11-03,2074546
2019-11-04,2074546
2019-11-05,2074546
2019-11-06,2074546
2019-11-07,2074546
2019-11-08,2154641
2019-11-09,2154641
2019-11-10,2154641
2019-11-11,2154641
2019-11-12,2154641
2019-11-13,2245087
2019-11-14,2245087
2019-11-15,2245087
2019-11-16,2245087
2019-11-17,2245087
2019-11-18,2245087
2019-11-19,2245087
2019-11-20,2341882
2019-11-21,2341882
2019-11-22,2341882
2019-11-23,2341882
2019-11-24,2341882
2019-11-25,2341882
2019-11-26,2341882
2019-11-27,2341882
2019-11-28,2341882
2019-11-29,2429172
2019-11-30,2429172
2019-12-01,2429172
2019-12-02,2429172
2019-12-03,2429172
2019-12-04,2429172
2019-12-05,2429172
2019-12-06,2429172
2019-12-07,2533872
2019-12-08,2533872
2019-12-09,2533872
2019-12-10,2533872
2019-12-11,2533872
2019-12-12,2533872
2019-12-13,2533872
2019-12-14,2533872
2019-12-15,2639313
2019-12-16,2639313
2019-12-17,2639313
2019-12-18,2639313
2019-12-19,2639313
2019-12-20,2639313
2019-12-21,2753952
2019-12-22,2753952
2019-12-23,2753952
2019-12-24,2753952
2019-12-25,2753952
2019-12-26,2753952
2019-12-27,2753952
2019-12-28,2873985
2019-12-29,2873985
2019-12-30,2873985
2019-12-31,2873985
2020-01-01,2873985
2020-01-02,2873985
2020-01-03,2873985
2020-01-04,2873985
2020-01-05,2873985
2020-01-06,2873985
2020-01-07,2991284
2020-01-08,2991284
2020-01-09,2991284
2020-01-10,2991284
2020-01-11,2991284
2020-01-12,2991284
2020-01-13,2991284
2020-01-14,2991284
2020-01-15,3126517
2020-01-16,3126517
2020-01-17,3126517
2020-01-18,3126517
2020-01-19,3126517
2020-01-20,3126517
2020-01-21,3126517
2020-01-22,3018775
2020-01-23,3018775
2020-01-24,3018775
2020-01-25,3018775
2020-01-26,2867836
2020-01-27,2867836
2020-01-28,2867836
2020-01-29,2867836
2020-01-30,2867836
2020-01-31,2724444
2020-02-01,2724444
2020-02-02,2724444
2020-02-03,2591593
2020-02-04,2591593
2020-02-05,2591593
2020-02-06,2462013
2020-02-07,2462013
2020-02-08,2462013
2020-02-09,2344445
2020-02-10,2344445
2020-02-11,2230402
2020-02-12,2230402
2020-02-13,2230402
2020-02-14,2120498
2020-02-15,2120498
2020-02-16,2120498
2020-02-17,2022928
2020-02-18,2022928
2020-02-19,2022928
2020-02-20,1928309
2020-02-21,1928309
2020-02-22,1928309
2020-02-23,1834440
2020-02-24,1834440
2020-02-25,1834440
2020-02-26,1745407
2020-02-27,1745407
2020-02-28,1745407
2020-02-29,1660491
2020-03-01,1660491
2020-03-02,1660491
2020-03-03,1581612
2020-03-04,1581612
2020-03-05,1581612
2020-03-06,1507936
2020-03-07,1507936
2020-03-08,1507936
2020-03-09,1507936
2020-03-10,1432539
2020-03-11,1432539
2020-03-12,1432539
2020-03-13,1363807
2020-03-14,1363807
2020-03-15,1298873
2020-03-16,1298873
2020-03-17,1298873
2020-03-18,1236653
2020-03-19,1236653
2020-03-20,1236653
2020-03-21,1174820
2020-03-22,1174820
2020-03-23,1117270
2020-03-24,1117270
2020-03-25,1065111
2020-03-26,1065111
