date_obj,Adamant%20kiteshield price
2015-03-26,3898
2015-03-27,3898
2015-03-28,3817
2015-03-29,3748
2015-03-30,3672
2015-03-31,3605
2015-04-01,3474
2015-04-02,3452
2015-04-03,3514
2015-04-04,3494
2015-04-05,3482
2015-04-06,3404
2015-04-07,3390
2015-04-08,3311
2015-04-09,3333
2015-04-10,3241
2015-04-11,3255
2015-04-12,3301
2015-04-13,3333
2015-04-14,3386
2015-04-15,3451
2015-04-16,3595
2015-04-17,3732
2015-04-18,3870
2015-04-19,4053
2015-04-20,4053
2015-04-21,4251
2015-04-22,4280
2015-04-23,4220
2015-04-24,4112
2015-04-25,3906
2015-04-26,3731
2015-04-27,3699
2015-04-28,3622
2015-04-29,3622
2015-04-30,3667
2015-05-01,3692
2015-05-02,3662
2015-05-03,3662
2015-05-04,3554
2015-05-05,3596
2015-05-06,3623
2015-05-07,3639
2015-05-08,3820
2015-05-09,3893
2015-05-10,3877
2015-05-11,3877
2015-05-12,3736
2015-05-13,3620
2015-05-14,3616
2015-05-15,3687
2015-05-16,3687
2015-05-17,3637
2015-05-18,3481
2015-05-19,3418
2015-05-20,3418
2015-05-21,3401
2015-05-22,3484
2015-05-23,3580
2015-05-24,3655
2015-05-25,3728
2015-05-26,3741
2015-05-27,3765
2015-05-28,3688
2015-05-29,3710
2015-05-30,3731
2015-05-31,3726
2015-06-01,3832
2015-06-02,3977
2015-06-03,4112
2015-06-04,4224
2015-06-05,4114
2015-06-06,4063
2015-06-07,3959
2015-06-08,3774
2015-06-09,3585
2015-06-10,3405
2015-06-11,3296
2015-06-12,3322
2015-06-13,3347
2015-06-14,3487
2015-06-15,3631
2015-06-16,3716
2015-06-17,3872
2015-06-18,4002
2015-06-19,4159
2015-06-20,4268
2015-06-21,4436
2015-06-22,4521
2015-06-23,4588
2015-06-24,4538
2015-06-25,4413
2015-06-26,4284
2015-06-27,4147
2015-06-28,4169
2015-06-29,4102
2015-06-30,3921
2015-07-01,3837
2015-07-02,3689
2015-07-03,3522
2015-07-04,3461
2015-07-05,3448
2015-07-06,3473
2015-07-07,3524
2015-07-08,3498
2015-07-09,3636
2015-07-10,3639
2015-07-11,3733
2015-07-12,3850
2015-07-13,3703
2015-07-14,3517
2015-07-15,3341
2015-07-16,3173
2015-07-17,3042
2015-07-18,3069
2015-07-19,3057
2015-07-20,3147
2015-07-21,3167
2015-07-22,3200
2015-07-23,3200
2015-07-24,3210
2015-07-25,3290
2015-07-26,3334
2015-07-27,3235
2015-07-28,3149
2015-07-29,3219
2015-07-30,3265
2015-07-31,3386
2015-08-01,3430
2015-08-02,3515
2015-08-03,3598
2015-08-04,3548
2015-08-05,3486
2015-08-06,3379
2015-08-07,3261
2015-08-08,3185
2015-08-09,3245
2015-08-10,3247
2015-08-11,3379
2015-08-12,3534
2015-08-13,3711
2015-08-14,3892
2015-08-15,4004
2015-08-16,4021
2015-08-17,4129
2015-08-18,4205
2015-08-19,4061
2015-08-20,3975
2015-08-21,3846
2015-08-22,3653
2015-08-23,3506
2015-08-24,3396
2015-08-25,3396
2015-08-26,3315
2015-08-27,3188
2015-08-28,3247
2015-08-29,3298
2015-08-30,3363
2015-08-31,3385
2015-09-01,3273
2015-09-02,3111
2015-09-03,3196
2015-09-04,3305
2015-09-05,3415
2015-09-06,3564
2015-09-07,3705
2015-09-08,3594
2015-09-09,3707
2015-09-10,3716
2015-09-11,3763
2015-09-12,3777
2015-09-13,3966
2015-09-14,4160
2015-09-15,4296
2015-09-16,4459
2015-09-17,4560
2015-09-18,4427
2015-09-19,4511
2015-09-20,4571
2015-09-21,4694
2015-09-22,4805
2015-09-23,4817
2015-09-24,4994
2015-09-25,5069
2015-09-27,4994
2015-09-28,4946
