date_obj,Cooked%20karambwan price
2015-03-26,1468
2015-03-27,1457
2015-03-28,1421
2015-03-29,1377
2015-03-30,1357
2015-03-31,1297
2015-04-01,1232
2015-04-02,1179
2015-04-03,1135
2015-04-04,1082
2015-04-05,1027
2015-04-06,994
2015-04-07,978
2015-04-08,957
2015-04-09,912
2015-04-10,916
2015-04-11,880
2015-04-12,870
2015-04-13,907
2015-04-14,938
2015-04-15,939
2015-04-16,930
2015-04-17,923
2015-04-18,922
2015-04-19,910
2015-04-20,905
2015-04-21,888
2015-04-22,876
2015-04-23,855
2015-04-24,854
2015-04-25,866
2015-04-26,904
2015-04-27,950
2015-04-28,998
2015-04-29,1048
2015-04-30,1095
2015-05-01,1145
2015-05-02,1195
2015-05-03,1162
2015-05-04,1144
2015-05-05,1138
2015-05-06,1098
2015-05-07,1086
2015-05-08,1077
2015-05-09,1106
2015-05-10,1160
2015-05-11,1187
2015-05-12,1234
2015-05-13,1288
2015-05-14,1344
2015-05-15,1379
2015-05-16,1343
2015-05-17,1297
2015-05-18,1239
2015-05-19,1265
2015-05-20,1274
2015-05-21,1303
2015-05-22,1329
2015-05-23,1351
2015-05-24,1348
2015-05-25,1293
2015-05-26,1230
2015-05-27,1173
2015-05-28,1116
2015-05-29,1151
2015-05-30,1132
2015-05-31,1089
2015-06-01,1058
2015-06-02,1065
2015-06-03,1084
2015-06-04,1119
2015-06-05,1114
2015-06-06,1088
2015-06-07,1063
2015-06-08,1047
2015-06-09,1064
2015-06-10,1091
2015-06-11,1111
2015-06-12,1090
2015-06-13,1116
2015-06-14,1166
2015-06-15,1205
2015-06-16,1176
2015-06-17,1128
2015-06-18,1151
2015-06-19,1148
2015-06-20,1133
2015-06-21,1156
2015-06-22,1137
2015-06-23,1106
2015-06-24,1100
2015-06-25,1132
2015-06-26,1171
2015-06-27,1183
2015-06-28,1160
2015-06-29,1134
2015-06-30,1120
2015-07-01,1118
2015-07-02,1102
2015-07-03,1116
2015-07-04,1136
2015-07-05,1138
2015-07-06,1140
2015-07-07,1160
2015-07-08,1158
2015-07-09,1146
2015-07-10,1151
2015-07-11,1158
2015-07-12,1131
2015-07-13,1108
2015-07-14,1081
2015-07-15,1079
2015-07-16,1089
2015-07-17,1114
2015-07-18,1088
2015-07-19,1076
2015-07-20,1099
2015-07-21,1084
2015-07-22,1044
2015-07-23,1015
2015-07-24,1000
2015-07-25,985
2015-07-26,998
2015-07-27,1039
2015-07-28,1012
2015-07-29,1035
2015-07-30,1068
2015-07-31,1037
2015-08-01,1029
2015-08-02,1013
2015-08-03,1012
2015-08-04,1019
2015-08-05,1015
2015-08-06,1016
2015-08-07,1039
2015-08-08,1033
2015-08-09,1028
2015-08-10,1018
2015-08-11,1034
2015-08-12,1026
2015-08-13,1024
2015-08-14,1031
2015-08-15,1081
2015-08-16,1127
2015-08-17,1116
2015-08-18,1078
2015-08-19,1052
2015-08-20,1023
2015-08-21,1025
2015-08-22,1043
2015-08-23,1056
2015-08-24,1079
2015-08-25,1128
2015-08-26,1178
2015-08-27,1127
2015-08-28,1098
2015-08-29,1061
2015-08-30,1063
2015-08-31,1043
2015-09-01,1008
2015-09-02,1022
2015-09-03,996
2015-09-04,982
2015-09-05,984
2015-09-06,984
2015-09-07,985
2015-09-08,1022
2015-09-09,1032
2015-09-10,1024
2015-09-11,1031
2015-09-12,1017
2015-09-13,1013
2015-09-14,1004
2015-09-15,999
2015-09-16,995
2015-09-17,1006
2015-09-18,1035
2015-09-19,1077
2015-09-20,1125
2015-09-21,1133
2015-09-22,1120
2015-09-23,1111
2015-09-24,1094
2015-09-25,1061
2015-09-27,1026
2015-09-28,1001
2015-09-29,992
2015-09-30,994
2015-10-05,1020
2015-10-06,1036
2015-10-07,1021
2015-10-08,1018
2015-10-09,1025
2015-10-10,1016
2015-10-11,1009
2015-10-12,1005
2015-10-13,998
2015-10-14,982
2015-10-15,981
2015-10-16,965
2015-10-17,962
2015-10-18,946
2015-10-19,913
2015-10-20,895
2015-10-22,869
2015-10-23,877
2015-10-24,907
2015-10-25,908
2015-10-26,903
2015-10-27,892
2015-10-29,867
2015-10-30,853
2015-10-31,830
2015-11-01,848
2015-11-02,868
2015-11-03,882
2015-11-04,884
2015-11-05,862
2015-11-06,854
2015-11-07,868
2015-11-08,848
2015-11-09,839
2015-11-10,829
2015-11-11,851
2015-11-12,862
2015-11-13,851
2015-11-14,875
2015-11-15,902
2015-11-16,944
2015-11-17,937
2015-11-18,918
2015-11-19,886
2015-11-20,883
2015-11-21,870
2015-11-22,862
2015-11-23,856
2015-11-24,889
2015-11-25,916
2015-11-26,951
2015-11-27,977
2015-11-28,1022
