date_obj,Greater%20demon%20mask price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,4830964
2016-07-09,4830964
2016-07-10,4830964
2016-07-11,4830964
2016-07-12,4830964
2016-07-13,4830964
2016-07-14,4592527
2016-07-15,4592527
2016-07-16,4592527
2016-07-17,4592527
2016-07-18,4592527
2016-07-23,4363907
2016-07-24,4363907
2016-07-25,4363907
2016-07-26,4363907
2016-07-27,4363907
2016-07-28,4363907
2016-07-29,4363907
2016-07-30,4148646
2016-07-31,4148646
2016-08-01,4148646
2016-08-02,4148646
2016-08-03,4148646
2016-08-04,4148646
2016-08-05,4148646
2016-08-06,4148646
2016-08-07,3942805
2016-08-08,3942805
2016-08-09,3942805
2016-08-10,3942805
2016-08-11,3942805
2016-08-12,3942805
2016-08-13,3942805
2016-08-14,3942805
2016-08-15,3942805
2016-08-16,3942805
2016-08-17,3942805
2016-08-18,3748501
2016-08-19,3748501
2016-08-20,3748501
2016-08-21,3748501
2016-08-22,3748501
2016-08-23,3748501
2016-08-24,3748501
2016-08-25,3748501
2016-08-26,3748501
2016-08-28,3561590
2016-08-31,3561590
2016-09-01,3561590
2016-09-02,3561590
2016-09-03,3561590
2016-09-04,3561590
2016-09-05,3387729
2016-09-06,3387729
2016-09-07,3387729
2016-09-08,3387729
2016-09-09,3387729
2016-09-10,3387729
2016-09-11,3387729
2016-09-12,3387729
2016-09-13,3387729
2016-09-14,3387729
2016-09-15,3387729
2016-09-16,3387729
2016-09-17,3219879
2016-09-18,3219879
2016-09-19,3219879
2016-09-20,3219879
2016-09-21,3219879
2016-09-22,3219879
2016-09-23,3219879
2016-09-24,3219879
2016-09-25,3219879
2016-09-26,3219879
2016-09-27,3060083
2016-09-28,3060083
2016-09-29,3060083
2016-09-30,3060083
2016-10-01,3060083
2016-10-02,3060083
2016-10-03,3060083
2016-10-04,3060083
2016-10-05,3060083
2016-10-06,2910010
2016-10-07,2910010
2016-10-08,2910010
2016-10-09,2910010
2016-10-10,2910010
2016-10-11,2910010
2016-10-12,2910010
2016-10-13,2910010
2016-10-14,2765237
2016-10-15,2765237
2016-10-16,2765237
2016-10-17,2765237
2016-10-18,2765237
2016-10-19,2765237
2016-10-20,2765237
2016-10-21,2765237
2016-10-22,2765237
2016-10-23,2629285
2016-10-24,2629285
2016-10-25,2629285
2016-10-26,2629285
2016-10-27,2629285
2016-10-28,2629285
2016-10-29,2629285
2016-10-30,2629285
2016-10-31,2629285
2016-11-01,2629285
2016-11-02,2629285
2016-11-03,2501274
2016-11-04,2501274
2016-11-05,2501274
2016-11-06,2501274
2016-11-07,2501274
2016-11-08,2501274
2016-11-09,2501274
2016-11-10,2379321
2016-11-11,2379321
2016-11-12,2379321
2016-11-13,2379321
2016-11-14,2379321
2016-11-15,2379321
2016-12-07,2151821
2016-12-08,2151821
2016-12-09,2047360
2016-12-10,2047360
2016-12-11,2047360
2016-12-12,2047360
2016-12-13,2047360
2016-12-14,2047360
2016-12-15,2047360
2016-12-16,2047360
2016-12-17,1947995
2016-12-18,1947995
2016-12-19,1947995
2016-12-20,1947995
2016-12-21,1947995
2016-12-22,1947995
2016-12-23,1947995
2016-12-24,1947995
2016-12-25,1947995
2016-12-26,1852794
2016-12-27,1852794
2016-12-28,1852794
2016-12-29,1852794
2016-12-30,1852794
2016-12-31,1852794
2017-01-01,1852794
2017-01-02,1852794
2017-01-03,1852794
2017-01-04,1762907
2017-01-05,1762907
2017-01-06,1762907
2017-01-07,1762907
2017-01-08,1762907
2017-01-09,1762907
2017-01-10,1762907
2017-01-11,1762907
2017-01-12,1762907
2017-01-13,1676786
2017-01-14,1676786
2017-01-15,1676786
2017-01-16,1676786
2017-01-17,1676786
2017-01-18,1676786
2017-01-19,1595554
2017-01-20,1595554
2017-01-21,1595554
2017-01-22,1595554
2017-01-23,1595554
2017-01-27,1595554
2017-01-28,1516206
2017-01-29,1516206
2017-01-30,1516206
2017-01-31,1516206
2017-02-01,1516206
2017-02-02,1516206
2017-02-03,1516206
2017-02-04,1516206
2017-02-05,1516206
2017-02-06,1442042
2017-02-07,1442042
2017-02-08,1442042
2017-02-09,1442042
2017-02-10,1442042
2017-02-11,1442042
2017-02-12,1442042
2017-02-13,1442042
2017-02-14,1372101
2017-02-15,1372101
2017-02-16,1372101
2017-02-18,1372101
2017-02-19,1372101
2017-02-20,1372101
2017-02-21,1372101
2017-02-22,1372101
2017-02-23,1372101
2017-02-24,1304682
2017-02-25,1304682
2017-02-26,1304682
2017-02-27,1304682
2017-02-28,1304682
2017-03-01,1304682
2017-03-02,1304682
2017-03-03,1241292
2017-03-04,1241292
2017-03-05,1241292
2017-03-06,1241292
2017-03-07,1241292
2017-03-08,1241292
2017-03-09,1181431
2017-03-10,1181431
2017-03-11,1181431
2017-03-12,1181431
2017-03-13,1181431
2017-03-14,1181431
2017-03-15,1123136
2017-03-16,1123136
2017-03-17,1123136
2017-03-18,1123136
2017-03-19,1123136
2017-03-20,1123136
2017-03-21,1068434
2017-03-22,1068434
2017-03-23,1068434
2017-03-24,1068434
2017-03-25,1068434
2017-03-26,1068434
2017-03-27,1068434
2017-03-28,1016928
2017-03-29,1016928
2017-03-30,1016928
2017-03-31,1016928
2017-04-01,1016928
2017-04-02,1016928
2017-04-03,967649
2017-04-04,967649
2017-04-12,109742
2017-04-13,109742
2017-04-14,109742
2017-04-15,109742
2017-04-16,109742
2017-04-17,109742
2017-04-18,109742
2017-04-19,104862
2017-04-20,104862
2017-04-21,104862
2017-04-22,104862
2017-04-23,104862
2017-04-24,104862
2017-04-25,104862
2017-04-26,104862
2017-04-27,104862
2017-04-28,99856
2017-04-29,99856
2017-04-30,99856
2017-05-01,99856
2017-05-02,99856
2017-05-03,99856
2017-05-04,99856
2017-05-05,99856
2017-05-06,99856
2017-05-07,95435
2017-05-08,95435
2017-05-09,95435
2017-05-10,95435
2017-05-11,95435
2017-05-12,95435
2017-05-13,95435
2017-05-14,95435
2017-05-15,91478
2017-05-16,91478
2017-05-17,91478
2017-05-18,91478
2017-05-19,91478
2017-05-20,91478
2017-05-21,91478
2017-05-22,91478
2017-05-23,91478
2017-05-24,87180
2017-05-25,87180
2017-05-26,87180
2017-05-27,87180
2017-05-28,87180
2017-05-29,87180
2017-05-30,87180
2017-05-31,87180
2017-06-01,87180
2017-06-02,82992
2017-06-03,82992
2017-06-04,82992
2017-06-05,82992
2017-06-06,82992
2017-06-07,82992
2017-06-08,82992
2017-06-09,82992
2017-06-10,78989
2017-06-11,78989
2017-06-12,78989
2017-06-13,78989
2017-06-14,78989
2017-06-15,78989
2017-06-16,78989
2017-06-17,78989
2017-06-18,76312
2017-06-19,76312
