date_obj,Green%20elegant%20legs price
2015-03-26,57364
2015-03-27,57364
2015-03-28,57364
2015-03-29,54910
2015-03-30,54910
2015-03-31,52495
2015-04-01,52495
2015-04-02,52495
2015-04-03,50018
2015-04-04,50018
2015-04-05,47940
2015-04-06,47940
2015-04-07,45674
2015-04-08,45674
2015-04-09,45674
2015-04-10,44206
2015-04-11,44206
2015-04-12,45175
2015-04-13,45175
2015-04-14,45175
2015-04-15,44391
2015-04-16,44391
2015-04-17,43980
2015-04-18,43980
2015-04-19,44109
2015-04-20,44109
2015-04-21,44109
2015-04-22,43888
2015-04-23,43888
2015-04-24,43418
2015-04-25,43418
2015-04-26,43418
2015-04-27,42535
2015-04-28,42535
2015-04-29,42535
2015-04-30,41662
2015-05-01,41662
2015-05-02,40638
2015-05-03,40638
2015-05-04,40638
2015-05-05,38775
2015-05-06,38775
2015-05-07,37603
2015-05-08,37603
2015-05-09,37603
2015-05-10,36322
2015-05-11,36322
2015-05-12,36322
2015-05-13,35250
2015-05-14,35250
2015-05-15,34681
2015-05-16,34681
2015-05-17,34427
2015-05-18,34427
2015-05-19,34427
2015-05-20,34075
2015-05-21,34075
2015-05-22,34075
2015-05-23,33571
2015-05-24,33571
2015-05-25,32570
2015-05-26,32570
2015-05-27,32570
2015-05-28,32570
2015-05-29,32260
2015-05-30,32260
2015-05-31,32176
2015-06-01,32176
2015-06-02,32176
2015-06-03,31688
2015-06-04,31688
2015-06-05,31688
2015-06-06,31880
2015-06-07,31880
2015-06-08,31880
2015-06-09,31333
2015-06-10,31333
2015-06-11,31333
2015-06-12,31333
2015-06-13,30913
2015-06-14,30913
2015-06-15,30913
2015-06-16,31128
2015-06-17,31128
2015-06-18,31128
2015-06-19,31128
2015-06-20,30913
2015-06-21,30913
2015-06-22,30913
2015-06-23,30980
2015-06-24,30980
2015-06-25,30980
2015-06-26,30765
2015-06-27,30765
2015-06-28,30765
2015-06-29,30495
2015-06-30,30495
2015-07-01,30495
2015-07-02,30495
2015-07-03,30151
2015-07-04,30151
2015-07-05,30151
