date_obj,Mystic%20smoke%20staff price
2015-03-26,6331930
2015-03-27,6331930
2015-03-28,6331930
2015-03-29,6331930
2015-03-30,6023610
2015-03-31,6023610
2015-04-01,6023610
2015-04-02,6023610
2015-04-03,5733391
2015-04-04,5733391
2015-04-05,5733391
2015-04-06,5458803
2015-04-07,5458803
2015-04-08,5458803
2015-04-09,5196948
2015-04-10,5196948
2015-04-11,5196948
2015-04-12,5052436
2015-04-13,5052436
2015-04-14,5247354
2015-04-15,5247354
2015-04-16,5395744
2015-04-17,5395744
2015-04-18,5395744
2015-04-19,5544298
2015-04-20,5544298
2015-04-21,5544298
2015-04-22,5736676
2015-04-23,5736676
2015-04-24,5876253
2015-04-25,5876253
2015-04-26,5876253
2015-04-27,5934458
2015-04-28,5934458
2015-04-29,5934458
2015-04-30,5980997
2015-05-01,5980997
2015-05-02,5980997
2015-05-03,5980997
2015-05-04,6019034
2015-05-05,6019034
2015-05-06,6019034
2015-05-07,6111894
2015-05-08,6111894
2015-05-09,6111894
2015-05-10,6111894
2015-05-11,6111894
2015-05-12,5943732
2015-05-13,5943732
2015-05-14,5943732
2015-05-15,5943732
2015-05-16,5943732
2015-05-17,5678105
2015-05-18,5678105
2015-05-19,5678105
2015-05-20,5678105
2015-05-21,5678105
2015-05-22,5419897
2015-05-23,5419897
2015-05-24,5419897
2015-05-25,5419897
2015-05-26,5148902
2015-05-27,5148902
2015-05-28,4900065
2015-05-29,4900065
2015-05-30,4655061
2015-05-31,4655061
2015-06-01,4422589
2015-06-02,4422589
2015-06-03,4274550
2015-06-04,4274550
2015-06-05,4161592
2015-06-06,4161592
2015-06-07,4115412
2015-06-08,4115412
2015-06-09,3993725
2015-06-10,4134004
2015-06-11,4134004
2015-06-12,4281703
2015-06-13,4444010
2015-06-14,4444010
2015-06-15,4615267
2015-06-16,4795247
2015-06-17,4795247
2015-06-18,4941565
2015-06-19,4941565
2015-06-20,5021678
2015-06-21,5220218
2015-06-22,5439563
2015-06-23,5439563
2015-06-24,5646778
2015-06-25,5646778
2015-06-26,5843937
2015-06-27,5843937
2015-06-28,5973380
2015-06-29,5973380
2015-06-30,6058834
2015-07-01,6058834
2015-07-02,6178117
2015-07-03,6178117
2015-07-04,6085313
2015-07-05,6085313
2015-07-06,6085313
2015-07-07,5999272
2015-07-08,5999272
2015-07-09,5999272
2015-07-10,6012761
2015-07-11,6012761
2015-07-12,6012761
2015-07-13,5956294
2015-07-14,5956294
2015-07-15,5784938
2015-07-16,5784938
2015-07-17,5835311
2015-07-18,5835311
2015-07-19,5877036
2015-07-20,5877036
2015-07-21,5906595
2015-07-22,5917657
2015-07-23,5917657
2015-07-24,5954522
2015-07-25,5954522
2015-07-26,5956406
2015-07-27,5956406
2015-07-28,6156597
2015-07-29,6156597
2015-07-30,6192799
2015-07-31,6192799
2015-08-01,6350864
2015-08-02,6350864
2015-08-03,6377970
2015-08-04,6377970
2015-08-05,6477174
2015-08-06,6477174
2015-08-07,6474118
2015-08-08,6474118
2015-08-09,6335951
2015-08-10,6335951
2015-08-11,6177729
2015-08-12,6177729
2015-08-13,6177729
2015-08-14,6069183
2015-08-15,6069183
2015-08-16,5792076
2015-08-17,5792076
2015-08-18,5541426
2015-08-19,5541426
2015-08-20,5412816
2015-08-21,5412816
2015-08-22,5442792
2015-08-23,5442792
2015-08-24,5397719
2015-08-25,5397719
2015-08-26,5570649
2015-08-27,5628133
2015-08-28,5628133
2015-08-29,5584864
2015-08-30,5584864
2015-08-31,5362915
2015-09-01,5362915
2015-09-02,5205054
2015-09-03,5205054
2015-09-04,5148482
2015-09-05,5148482
2015-09-06,5148482
2015-09-07,4985769
2015-09-08,4985769
2015-09-09,4795404
2015-09-10,4566730
2015-09-11,4338393
2015-09-12,4129214
2015-09-13,3934335
2015-09-14,3934335
2015-09-15,3737618
2015-09-16,3737618
2015-09-17,3550737
2015-09-18,3550737
2015-09-19,3377540
2015-09-20,3377540
2015-09-21,3214127
2015-09-22,3214127
2015-09-23,3053420
2015-09-24,3053420
2015-09-25,3053420
2015-09-27,2906705
2015-09-28,2766991
2015-09-29,2766991
2015-09-30,2637321
2015-10-05,2390780
2015-10-06,2275372
2015-10-07,2275372
2015-10-08,2197445
2015-10-09,2090283
2015-10-10,2090283
2015-10-11,1985768
2015-10-12,1985768
2015-10-13,1886479
2015-10-14,1886479
2015-10-15,1792155
2015-10-16,1792155
2015-10-17,1705741
2015-10-18,1705741
2015-10-19,1620453
2015-10-20,1620453
2015-10-22,1540426
2015-10-23,1543252
2015-10-24,1543252
2015-10-25,1528337
2015-10-26,1528337
2015-10-27,1524616
2015-10-29,1566384
2015-10-30,1566384
2015-10-31,1615108
2015-11-01,1615108
2015-11-02,1681419
2015-11-03,1681419
2015-11-04,1754345
2015-11-05,1832778
2015-11-06,1832778
2015-11-07,1902710
2015-11-08,1902710
2015-11-09,1943470
2015-11-10,1943470
2015-11-11,2015138
2015-11-12,2015138
2015-11-13,2103788
2015-11-14,2103788
2015-11-15,2182683
2015-11-16,2182683
2015-11-17,2266553
2015-11-18,2266553
2015-11-19,2352152
2015-11-20,2352152
2015-11-21,2427673
2015-11-22,2401265
2015-11-23,2401265
2015-11-24,2330786
2015-11-25,2330679
2015-11-26,2330679
2015-11-27,2291059
2015-11-28,2291059
2015-11-29,2216391
2015-11-30,2216391
2015-12-01,2195209
2015-12-02,2195209
2015-12-03,2245658
2015-12-04,2245658
2015-12-05,2331374
2015-12-06,2390277
2015-12-07,2390277
2015-12-08,2482825
2015-12-09,2516379
2015-12-10,2516379
2015-12-11,2559810
2015-12-12,2559810
2015-12-13,2571284
2015-12-14,2571284
2015-12-15,2564563
2015-12-16,2564563
2015-12-17,2550338
2015-12-18,2550338
2015-12-19,2505837
2015-12-20,2502529
2015-12-21,2502529
2015-12-22,2429070
2015-12-23,2429070
2015-12-24,2419263
2015-12-25,2419263
2015-12-26,2382125
2015-12-27,2333494
2015-12-28,2333494
2015-12-29,2375203
2015-12-30,2375203
2015-12-31,2418805
2016-01-01,2418805
2016-01-02,2476699
2016-01-03,2546569
2016-01-04,2546569
2016-01-05,2532164
2016-01-06,2532164
2016-01-07,2494764
2016-01-08,2530456
2016-01-09,2530456
2016-01-10,2573347
2016-01-11,2627654
2016-01-12,2690986
2016-01-13,2690986
2016-01-14,2794383
2016-01-15,2794383
2016-01-16,2903177
2016-01-17,2903177
2016-01-18,2994877
2016-01-19,2994877
2016-01-20,3038916
2016-01-21,3038916
2016-01-22,2965073
2016-01-23,2965073
2016-01-24,2858008
2016-01-25,2722152
2016-01-26,2722152
2016-01-27,2726402
2016-01-28,2726402
2016-01-29,2693971
2016-01-30,2693971
2016-01-31,2691550
2016-02-01,2679566
2016-02-02,2679566
2016-02-03,2669949
2016-02-04,2669949
2016-02-05,2691381
2016-02-06,2689319
2016-02-07,2689319
2016-02-08,2708427
2016-02-09,2708427
2016-02-10,2795985
2016-02-11,2795985
2016-02-12,2857516
2016-02-13,2944175
2016-02-14,2944175
2016-02-15,2926127
2016-02-16,2926127
2016-02-17,2944796
2016-02-18,2944796
2016-02-19,2920267
2016-02-20,2920267
2016-02-21,2892036
2016-02-22,2892036
2016-02-23,2884883
2016-02-24,2884883
2016-02-25,2871453
2016-02-26,2871453
2016-02-27,2865069
2016-02-28,2865069
2016-02-29,2841853
2016-03-01,2845660
2016-03-02,2845660
2016-03-03,2778679
2016-03-04,2778679
2016-03-05,2775836
2016-03-06,2811757
2016-03-07,2811757
2016-03-08,2799573
2016-03-09,2799573
2016-03-10,2773659
2016-03-11,2773659
2016-03-12,2781586
2016-03-13,2781586
2016-03-14,2822937
2016-03-15,2862960
2016-03-16,2912621
2016-03-17,2912621
2016-03-18,2895780
2016-03-19,2895780
2016-03-20,2938716
2016-03-21,2938716
2016-03-22,3012978
2016-03-23,3042491
2016-03-24,3042491
2016-03-25,3127745
2016-03-26,3127745
2016-03-27,3146651
2016-03-28,3138578
2016-03-29,3138578
2016-03-30,3099973
2016-03-31,3099973
2016-04-01,3036433
2016-04-02,3036433
2016-04-03,2985047
2016-04-04,2991024
2016-04-05,2991024
2016-04-06,3017600
2016-04-07,3017600
2016-04-08,3080523
2016-04-09,3139167
2016-04-10,3186935
2016-04-11,3186935
2016-04-12,3220680
2016-04-13,3220680
2016-04-14,3248440
2016-04-15,3247703
2016-04-16,3247703
2016-04-17,3273500
2016-04-18,3242333
2016-04-19,3269308
2016-04-20,3269308
2016-04-21,3279675
2016-04-22,3279675
2016-04-23,3314532
2016-04-24,3314532
2016-04-25,3314746
2016-04-26,3314746
2016-04-27,3350629
2016-04-28,3350629
2016-04-29,3311197
2016-04-30,3292566
2016-05-01,3292566
2016-05-02,3218671
2016-05-03,3076377
2016-05-04,3076377
2016-05-05,2957536
2016-05-06,2957536
2016-05-07,2810054
2016-05-08,2810054
2016-05-09,2669551
2016-05-10,2543284
2016-05-11,2543284
2016-05-12,2454235
2016-05-13,2542315
2016-05-14,2623723
2016-05-15,2676143
2016-05-16,2676143
2016-05-17,2716671
2016-05-18,2752556
2016-05-19,2752556
2016-05-22,2966095
2016-05-23,3016881
2016-05-24,2986457
2016-05-25,2986457
2016-05-26,2903589
2016-05-27,2827505
2016-05-28,2827505
2016-05-29,2780729
2016-05-30,2780729
2016-05-31,2705261
2016-06-01,2652331
2016-06-02,2716833
2016-06-03,2716833
2016-06-04,2730389
2016-06-05,2730389
2016-06-06,2787434
2016-06-07,2787434
2016-06-08,2857658
2016-06-09,2848913
2016-06-10,2894838
2016-06-11,2894838
2016-06-12,2860515
2016-06-13,2860515
2016-06-14,2915945
2016-06-15,2915945
2016-06-16,2886864
2016-06-17,2953952
2016-06-18,2953952
2016-06-19,2946146
2016-06-20,2989922
2016-06-21,3089684
2016-06-22,3140269
2016-06-23,3128157
2016-06-24,3128157
2016-06-25,3130780
