date_obj,Staff%20of%20bob%20the%20cat price
2019-04-11,50000
2019-04-11,52500
2019-04-12,55125
2019-04-13,57777
2019-04-14,60506
2019-04-15,140000
2019-04-16,140000
2019-04-17,138942
2019-04-18,134673
2019-04-19,134673
2019-04-20,129952
2019-04-21,129952
2019-04-22,131451
2019-04-23,131451
2019-04-24,128591
2019-04-25,128591
2019-04-26,122573
2019-04-27,122573
2019-04-28,118373
2019-04-29,118373
2019-04-30,112454
2019-05-01,112454
2019-05-02,108733
2019-05-03,108733
2019-05-04,104881
2019-05-05,104881
2019-05-06,104881
2019-05-07,102535
2019-05-08,102535
2019-05-09,102535
2019-05-10,100832
2019-05-11,100832
2019-05-12,99087
2019-05-13,99087
2019-05-14,97944
2019-05-15,97944
2019-05-16,97944
2019-05-17,97309
2019-05-18,97309
2019-05-19,96408
2019-05-20,96408
2019-05-21,96408
2019-05-22,96279
2019-05-23,96279
2019-05-24,96279
2019-05-25,96645
2019-05-26,96645
2019-05-27,96645
2019-05-28,96889
2019-05-29,96889
2019-05-30,100088
2019-05-31,100088
2019-06-01,100088
2019-06-02,101733
2019-06-03,101733
2019-06-04,101733
2019-06-05,105633
2019-06-06,105633
2019-06-07,105633
2019-06-08,110776
2019-06-09,110776
2019-06-10,110776
2019-06-11,115817
2019-06-12,115817
2019-06-13,120755
2019-06-14,120755
2019-06-15,120755
2019-06-16,126102
2019-06-17,126102
2019-06-18,126102
2019-06-19,132016
2019-06-20,132016
2019-06-21,138356
2019-06-22,138356
2019-06-23,138356
2019-06-24,140029
2019-06-25,140029
2019-06-26,140029
2019-06-27,133935
2019-06-28,133935
2019-06-29,133935
2019-06-30,128220
2019-07-01,128220
2019-07-02,128220
2019-07-03,122277
2019-07-04,122277
2019-07-05,122277
2019-07-06,116549
2019-07-07,116549
2019-07-08,116549
2019-07-09,113628
2019-07-10,113628
2019-07-11,113628
2019-07-12,110521
2019-07-13,110521
2019-07-14,110521
2019-07-15,108863
2019-07-16,108863
2019-07-17,113195
2019-07-18,113195
2019-07-19,113195
2019-07-20,113195
2019-07-21,117024
2019-07-22,117024
2019-07-23,117024
2019-07-24,117024
2019-07-25,113577
2019-07-26,113577
2019-07-27,113577
2019-07-28,113577
2019-07-29,111133
2019-07-30,111133
2019-07-31,111133
2019-08-01,111133
2019-08-02,107510
2019-08-03,107510
2019-08-04,107510
2019-08-05,104217
2019-08-06,104217
2019-08-07,104217
2019-08-08,104293
2019-08-09,104293
2019-08-10,104293
2019-08-11,104293
2019-08-12,107296
2019-08-13,107296
2019-08-14,107296
2019-08-15,107903
2019-08-16,107903
2019-08-17,107903
2019-08-18,108419
2019-08-19,108419
2019-08-20,108419
2019-08-21,108419
2019-08-22,109679
2019-08-23,109679
2019-08-24,109679
2019-08-24,109679
2019-08-25,109679
2019-08-25,109679
2019-08-26,113944
2019-08-26,113944
2019-08-27,113944
2019-08-27,113944
2019-08-28,113944
2019-08-29,114538
2019-08-30,114538
2019-08-31,114538
2019-09-01,114714
2019-09-02,114714
2019-09-03,114714
2019-09-04,113025
2019-09-05,113025
2019-09-06,113025
2019-09-07,113025
2019-09-08,109171
2019-09-09,109171
2019-09-10,109171
2019-09-11,109171
2019-09-12,106198
2019-09-13,106198
2019-09-14,106198
2019-09-15,106557
2019-09-16,106557
2019-09-17,106557
2019-09-18,110413
2019-09-19,110413
2019-09-20,110413
2019-09-21,110413
2019-09-22,115586
2019-09-23,115586
2019-09-24,115586
2019-09-25,115586
2019-09-26,117551
2019-09-27,117551
2019-09-28,117551
2019-09-29,117551
2019-09-30,119393
2019-10-01,119393
2019-10-02,119393
2019-10-03,119393
2019-10-04,122741
2019-10-05,122741
2019-10-06,122741
2019-10-07,122741
2019-10-08,123492
2019-10-09,123492
2019-10-10,123492
2019-10-11,123492
2019-10-12,121617
2019-10-13,121617
2019-10-14,121617
2019-10-15,118751
2019-10-16,118751
2019-10-17,118751
2019-10-18,118751
2019-10-19,114070
2019-10-20,114070
2019-10-21,114070
2019-10-22,114070
2019-10-23,112135
2019-10-24,112135
2019-10-25,112135
2019-10-26,112135
2019-10-27,110566
2019-10-28,110566
2019-10-29,110566
2019-10-30,110566
2019-10-31,109239
2019-11-01,109239
2019-11-02,109239
2019-11-03,109239
2019-11-04,108761
2019-11-05,108761
2019-11-06,108761
2019-11-07,108761
2019-11-08,108435
2019-11-09,108435
2019-11-10,108435
2019-11-11,108831
2019-11-12,108831
2019-11-13,108831
2019-11-14,108831
2019-11-15,108831
2019-11-16,108234
2019-11-17,108234
2019-11-18,108234
2019-11-19,108234
2019-11-20,108407
2019-11-21,108407
2019-11-22,108407
2019-11-23,108407
2019-11-24,108407
2019-11-25,107443
2019-11-26,107443
2019-11-27,107443
2019-11-28,107443
2019-11-29,108167
2019-11-30,108167
2019-12-01,108167
2019-12-02,108167
2019-12-03,111039
2019-12-04,111039
2019-12-05,111039
2019-12-06,111039
2019-12-07,110237
2019-12-08,110237
2019-12-09,110237
2019-12-10,110237
2019-12-11,110094
2019-12-12,110094
2019-12-13,110094
2019-12-14,110094
2019-12-15,108154
2019-12-16,108154
2019-12-17,108154
2019-12-18,108154
2019-12-19,108154
2019-12-20,109707
2019-12-21,109707
2019-12-22,109707
2019-12-23,109707
2019-12-24,108126
2019-12-25,108126
2019-12-26,108126
2019-12-27,108126
2019-12-28,110111
2019-12-29,110111
2019-12-30,110111
2019-12-31,110111
2020-01-01,110743
2020-01-02,110743
2020-01-03,110743
2020-01-04,110743
2020-01-05,108207
2020-01-06,108207
2020-01-07,108207
2020-01-08,108207
2020-01-09,106379
2020-01-10,106379
2020-01-11,106379
2020-01-12,106379
2020-01-13,106379
2020-01-14,104227
2020-01-15,104227
2020-01-16,104227
2020-01-17,103589
2020-01-18,103589
2020-01-19,103589
2020-01-20,103589
2020-01-21,103159
2020-01-22,103159
2020-01-23,103159
2020-01-24,100139
2020-01-25,100139
2020-01-26,100139
2020-01-27,97304
2020-01-28,97304
2020-01-29,97304
2020-01-30,97304
2020-01-31,97304
2020-02-01,95177
2020-02-02,95177
2020-02-03,95177
2020-02-04,95177
2020-02-05,94348
2020-02-06,94348
2020-02-07,94348
2020-02-08,92450
2020-02-09,92450
2020-02-10,92450
2020-02-11,91435
2020-02-12,91435
2020-02-13,91435
2020-02-14,89743
2020-02-15,89743
2020-02-16,89743
2020-02-17,89743
2020-02-18,87918
2020-02-19,87918
2020-02-20,87918
2020-02-21,88186
2020-02-22,88186
2020-02-23,88186
2020-02-24,88495
2020-02-25,88495
2020-02-26,88495
2020-02-27,88495
2020-02-28,89518
2020-02-29,89518
2020-03-01,89518
2020-03-02,89518
2020-03-03,89367
2020-03-04,89367
2020-03-05,89367
2020-03-06,89367
2020-03-07,86822
2020-03-08,86822
2020-03-09,86822
2020-03-10,85329
2020-03-11,85329
2020-03-12,85329
2020-03-13,85329
2020-03-14,84418
2020-03-15,84418
2020-03-16,84418
2020-03-17,84418
2020-03-18,85544
2020-03-19,85544
2020-03-20,85544
2020-03-21,85972
2020-03-22,85972
2020-03-23,85972
2020-03-24,85704
2020-03-25,85704
2020-03-26,85704
2020-03-27,83258
2020-03-28,83258
2020-03-29,79732
2020-03-30,79732
2020-03-31,79732
2020-04-01,81232
2020-04-02,81232
2020-04-03,81232
2020-04-04,81272
2020-04-05,81272
2020-04-06,81272
2020-04-07,81229
2020-04-08,81229
2020-04-09,81229
2020-04-10,81554
2020-04-11,81554
2020-04-12,83185
2020-04-13,83185
2020-04-14,83185
2020-04-15,83872
2020-04-16,83872
2020-04-17,83872
2020-04-18,86267
