date_obj,Fayrg%20bones price
2015-03-26,2343
2015-03-27,2343
2015-03-28,2343
2015-03-29,2343
2015-03-30,2343
2015-03-31,2343
2015-04-01,2343
2015-04-02,2343
2015-04-03,2343
2015-04-04,2343
2015-04-05,2343
2015-04-06,2343
2015-04-07,2343
2015-04-08,2343
2015-04-09,2343
2015-04-10,2343
2015-04-11,2343
2015-04-12,2343
2015-04-13,2343
2015-04-14,2418
2015-04-15,2418
2015-04-16,2418
2015-04-17,2418
2015-04-18,2418
2015-04-19,2418
2015-04-20,2418
2015-04-21,2418
2015-04-22,2418
2015-04-23,2418
2015-04-24,2418
2015-04-25,2418
2015-04-26,2418
2015-04-27,2418
2015-04-28,2418
2015-04-29,2418
2015-04-30,2418
2015-05-01,2418
2015-05-02,2512
2015-05-03,2512
2015-05-04,2512
2015-05-05,2512
2015-05-06,2512
2015-05-07,2512
2015-05-08,2512
2015-05-09,2512
2015-05-10,2512
2015-05-11,2512
2015-05-12,2512
2015-05-13,2512
2015-05-14,2512
2015-05-15,2512
2015-05-16,2512
2015-05-17,2512
2015-05-18,2512
2015-05-19,2512
2015-05-20,2512
2015-05-21,2512
2015-05-22,2604
2015-05-23,2604
2015-05-24,2604
2015-05-25,2604
2015-05-26,2604
2015-05-27,2604
2015-05-28,2604
2015-05-29,2604
2015-05-30,2604
2015-05-31,2604
2015-06-01,2604
2015-06-02,2604
2015-06-03,2678
2015-06-04,2678
2015-06-05,2678
2015-06-06,2678
2015-06-07,2678
2015-06-08,2678
2015-06-09,2678
2015-06-10,2678
2015-06-11,2678
2015-06-12,2678
2015-06-13,2678
2015-06-14,2678
2015-06-15,2678
2015-06-16,2678
2015-06-17,2678
2015-06-18,2767
2015-06-19,2767
2015-06-20,2767
2015-06-21,2767
2015-06-22,2767
2015-06-23,2767
2015-06-24,2767
2015-06-25,2767
2015-06-26,2767
2015-06-27,2767
2015-06-28,2767
2015-06-29,2767
2015-06-30,2767
2015-07-01,2767
2015-07-02,2767
2015-07-03,2767
2015-07-04,2767
2015-07-05,2767
2015-07-06,2854
2015-07-07,2854
2015-07-08,2854
2015-07-09,2854
2015-07-10,2854
2015-07-11,2854
2015-07-12,2854
2015-07-13,2854
2015-07-14,2854
2015-07-15,2854
2015-07-16,2854
2015-07-17,2854
2015-07-18,2854
2015-07-19,2854
2015-07-20,2854
2015-07-21,2854
2015-07-22,2854
2015-07-23,2854
2015-07-24,2854
2015-07-25,2854
2015-07-26,2934
2015-07-27,2934
2015-07-28,2934
2015-07-29,2934
2015-07-30,2934
2015-07-31,2934
2015-08-01,2934
2015-08-02,2934
2015-08-03,2934
2015-08-04,2934
2015-08-05,2934
2015-08-06,2934
2015-08-07,2934
2015-08-08,2934
2015-08-09,2934
2015-08-10,3013
2015-08-11,3013
2015-08-12,3013
2015-08-13,3013
2015-08-14,3013
2015-08-15,3013
2015-08-16,3013
2015-08-17,3013
2015-08-18,3013
2015-08-19,3013
2015-08-20,3013
2015-08-21,3013
2015-08-22,3013
2015-08-23,3013
2015-08-24,3013
2015-08-25,3123
2015-08-26,3123
2015-08-27,3123
2015-08-28,3123
2015-08-29,3123
2015-08-30,3123
2015-08-31,3123
2015-09-01,3123
2015-09-02,3123
2015-09-03,3123
2015-09-04,3123
2015-09-05,3123
2015-09-06,3123
2015-09-07,3207
2015-09-08,3207
2015-09-09,3207
2015-09-10,3207
2015-09-11,3207
2015-09-12,3207
2015-09-13,3207
2015-09-14,3207
2015-09-15,3207
2015-09-16,3207
2015-09-17,3207
2015-09-18,3207
2015-09-19,3207
2015-09-20,3207
2015-09-21,3207
2015-09-22,3348
2015-09-23,3348
2015-09-24,3348
2015-09-25,3348
2015-09-27,3348
2015-09-28,3348
2015-09-29,3348
2015-09-30,3348
2015-10-05,3348
2015-10-06,3348
2015-10-07,3348
2015-10-08,3348
2015-10-09,3348
2015-10-10,3348
2015-10-11,3441
2015-10-12,3441
2015-10-13,3441
2015-10-14,3441
2015-10-15,3441
2015-10-16,3441
2015-10-17,3441
2015-10-18,3441
2015-10-19,3441
2015-10-20,3441
2015-10-22,3441
2015-10-23,3441
2015-10-24,3441
2015-10-25,3441
2015-10-26,3441
2015-10-27,3441
2015-10-29,3441
2015-10-30,3560
2015-10-31,3560
2015-11-01,3560
2015-11-02,3560
2015-11-03,3560
2015-11-04,3560
2015-11-05,3560
2015-11-06,3560
2015-11-07,3560
2015-11-08,3560
2015-11-09,3560
2015-11-10,3560
2015-11-11,3560
2015-11-12,3560
2015-11-13,3560
2015-11-14,3560
2015-11-15,3560
2015-11-16,3560
2015-11-17,3560
2015-11-18,3644
2015-11-19,3644
2015-11-20,3644
2015-11-21,3644
2015-11-22,3644
2015-11-23,3644
2015-11-24,3644
2015-11-25,3644
2015-11-26,3644
2015-11-27,3644
2015-11-28,3644
2015-11-29,3644
2015-11-30,3644
2015-12-01,3644
2015-12-02,3644
2015-12-03,3773
2015-12-04,3773
2015-12-05,3773
2015-12-06,3773
2015-12-07,3773
2015-12-08,3773
2015-12-09,3773
2015-12-10,3773
2015-12-11,3773
2015-12-12,3773
2015-12-13,3773
2015-12-14,3773
2015-12-15,3773
2015-12-16,3773
2015-12-17,3905
2015-12-18,3905
2015-12-19,3905
2015-12-20,3905
2015-12-21,3905
2015-12-22,3905
2015-12-23,3905
2015-12-24,3905
2015-12-25,3905
2015-12-26,3905
