date_obj,Pot%20of%20flour price
2015-03-26,55
2015-03-27,55
2015-03-28,52
2015-03-29,51
2015-03-30,48
2015-03-31,48
2015-04-01,46
2015-04-02,44
2015-04-03,45
2015-04-04,44
2015-04-05,47
2015-04-06,50
2015-04-07,53
2015-04-08,56
2015-04-09,59
2015-04-10,62
2015-04-11,65
2015-04-12,66
2015-04-13,69
2015-04-14,72
2015-04-15,75
2015-04-16,78
2015-04-17,78
2015-04-18,82
2015-04-19,87
2015-04-20,92
2015-04-21,97
2015-04-22,102
2015-04-23,104
2015-04-24,106
2015-04-25,106
2015-04-26,112
2015-04-27,118
2015-04-28,122
2015-04-29,122
2015-04-30,127
2015-05-01,134
2015-05-02,134
2015-05-03,128
2015-05-04,121
2015-05-05,114
2015-05-06,108
2015-05-07,102
2015-05-08,96
2015-05-09,91
2015-05-10,86
2015-05-11,81
2015-05-12,76
2015-05-13,72
2015-05-14,68
2015-05-15,67
2015-05-16,69
2015-05-17,68
2015-05-18,66
2015-05-19,67
2015-05-20,67
2015-05-21,65
2015-05-22,69
2015-05-23,73
2015-05-24,77
2015-05-25,81
2015-05-26,81
2015-05-27,81
2015-05-28,85
2015-05-29,89
2015-05-30,90
2015-05-31,89
2015-06-01,87
2015-06-02,84
2015-06-03,81
2015-06-04,80
2015-06-05,80
2015-06-06,79
2015-06-07,75
2015-06-08,72
2015-06-09,69
2015-06-10,67
2015-06-11,67
2015-06-12,67
2015-06-13,65
2015-06-14,64
2015-06-15,62
2015-06-16,62
2015-06-17,63
2015-06-18,65
2015-06-19,67
2015-06-20,70
2015-06-21,73
2015-06-22,75
2015-06-23,77
2015-06-24,77
2015-06-25,78
2015-06-26,78
2015-06-27,77
2015-06-28,77
2015-06-29,79
2015-06-30,76
2015-07-01,79
2015-07-02,75
2015-07-03,75
2015-07-04,78
2015-07-05,79
2015-07-06,82
2015-07-07,85
2015-07-08,89
2015-07-09,94
2015-07-10,99
2015-07-11,98
2015-07-12,102
2015-07-13,107
2015-07-14,110
2015-07-15,105
2015-07-16,99
2015-07-17,95
2015-07-18,97
2015-07-19,95
2015-07-20,94
2015-07-21,89
2015-07-22,93
2015-07-23,88
2015-07-24,84
2015-07-25,82
2015-07-26,81
2015-07-27,81
2015-07-28,78
2015-07-29,74
2015-07-30,70
2015-07-31,66
2015-08-01,63
