date_obj,Black%202h%20sword price
2015-03-26,3394
2015-03-27,3394
2015-03-28,3230
2015-03-29,3075
2015-03-30,2932
2015-03-31,2793
2015-04-01,2793
2015-04-02,2657
2015-04-03,2532
2015-04-04,2418
2015-04-05,2418
2015-04-06,2303
2015-04-07,2195
2015-04-08,2195
2015-04-09,2090
2015-04-10,1993
2015-04-11,1900
2015-04-12,1900
2015-04-13,1809
2015-04-14,1809
2015-04-15,1726
2015-04-16,1647
2015-04-17,1570
2015-04-18,1498
2015-04-19,1429
2015-04-20,1429
2015-04-21,1357
2015-04-22,1357
2015-04-23,1289
2015-04-24,1289
2015-04-25,1226
2015-04-26,1226
2015-04-27,1168
2015-04-28,1143
2015-04-29,1143
2015-04-30,1111
2015-05-01,1111
2015-05-02,1077
2015-05-03,1077
2015-05-04,1050
2015-05-05,1050
2015-05-06,1022
2015-05-07,1022
2015-05-08,1023
2015-05-09,1023
2015-05-10,1021
2015-05-11,1021
2015-05-12,1003
2015-05-13,1003
2015-05-14,996
2015-05-15,996
2015-05-16,1023
2015-05-17,1032
2015-05-18,1032
2015-05-19,1022
2015-05-20,1022
2015-05-21,1022
2015-05-22,1024
2015-05-23,1024
2015-05-24,1007
2015-05-25,1007
2015-05-26,1031
2015-05-27,1031
2015-05-28,1075
2015-05-29,1075
2015-05-30,1082
2015-05-31,1082
2015-06-01,1131
2015-06-02,1131
2015-06-03,1139
2015-06-04,1139
2015-06-05,1124
2015-06-06,1101
2015-06-07,1101
2015-06-08,1086
2015-06-09,1131
2015-06-10,1091
2015-06-11,1091
2015-06-12,1094
2015-06-13,1080
2015-06-14,1080
2015-06-15,1068
2015-06-16,1062
2015-06-17,1062
2015-06-18,1049
2015-06-19,1049
2015-06-20,1020
2015-06-21,1020
2015-06-22,1019
2015-06-23,1019
2015-06-24,1017
2015-06-25,1017
2015-06-26,1008
2015-06-27,1008
2015-06-28,994
2015-06-29,994
2015-06-30,990
2015-07-01,993
2015-07-02,993
2015-07-03,1001
2015-07-04,1001
2015-07-05,991
2015-07-06,991
2015-07-07,975
2015-07-08,982
2015-07-09,982
2015-07-10,976
2015-07-11,976
2015-07-12,957
2015-07-13,945
2015-07-14,945
2015-07-15,949
2015-07-16,949
2015-07-17,955
2015-07-18,955
2015-07-19,977
2015-07-20,977
2015-07-21,964
2015-07-22,956
2015-07-23,956
2015-07-24,952
2015-07-25,952
2015-07-26,929
2015-07-27,929
2015-07-28,928
2015-07-29,924
2015-07-30,924
2015-07-31,960
2015-08-01,960
2015-08-02,973
2015-08-03,973
2015-08-04,1015
2015-08-05,1058
2015-08-06,1058
2015-08-07,1105
2015-08-08,1144
2015-08-09,1201
2015-08-10,1261
2015-08-11,1308
2015-08-12,1308
2015-08-13,1259
2015-08-14,1228
2015-08-15,1228
2015-08-16,1199
2015-08-17,1187
2015-08-18,1187
2015-08-19,1220
2015-08-20,1220
2015-08-21,1211
2015-08-22,1239
2015-08-23,1239
2015-08-24,1246
2015-08-25,1246
2015-08-26,1235
2015-08-27,1201
2015-08-28,1201
2015-08-29,1161
2015-08-30,1161
2015-08-31,1137
2015-09-01,1137
2015-09-02,1121
2015-09-03,1121
2015-09-04,1097
2015-09-05,1097
2015-09-06,1080
2015-09-07,1080
2015-09-08,1096
2015-09-09,1096
2015-09-10,1107
2015-09-11,1107
2015-09-12,1152
2015-09-13,1152
2015-09-14,1205
2015-09-15,1213
2015-09-16,1213
2015-09-17,1267
2015-09-18,1267
2015-09-19,1288
2015-09-20,1288
2015-09-21,1247
2015-09-22,1247
2015-09-23,1220
2015-09-24,1220
2015-09-25,1198
2015-09-27,1161
2015-09-28,1161
2015-09-29,1129
2015-09-30,1107
2015-10-05,1060
2015-10-06,1038
2015-10-07,1038
2015-10-08,1030
2015-10-09,1030
2015-10-10,1046
2015-10-11,1048
2015-10-12,1048
2015-10-13,1061
2015-10-14,1061
2015-10-15,1046
2015-10-16,1046
2015-10-17,1043
2015-10-18,1043
2015-10-19,1068
2015-10-20,1068
2015-10-22,1122
2015-10-23,1140
2015-10-24,1140
2015-10-25,1109
2015-10-26,1109
2015-10-27,1089
2015-10-28,1089
2015-10-29,1085
2015-10-30,1085
2015-10-31,1087
2015-11-01,1087
2015-11-02,1094
2015-11-03,1094
2015-11-04,1110
2015-11-05,1110
2015-11-06,1101
2015-11-07,1090
2015-11-08,1090
2015-11-09,1138
2015-11-10,1138
