date_obj,Adamant%20set%20(lg) price
2015-03-26,21092
2015-03-27,21092
2015-03-28,20975
2015-03-29,20833
2015-03-30,20728
2015-03-31,20620
2015-04-01,20676
2015-04-02,20417
2015-04-03,20312
2015-04-04,20230
2015-04-05,20047
2015-04-06,20023
2015-04-07,20038
2015-04-08,19930
2015-04-09,20108
2015-04-10,20296
2015-04-11,19986
2015-04-12,19837
2015-04-13,19711
2015-04-14,19517
2015-04-15,19746
2015-04-16,20457
2015-04-17,21090
2015-04-18,21597
2015-04-19,21791
2015-04-20,21878
2015-04-21,22096
2015-04-22,22089
2015-04-23,21942
2015-04-24,21035
2015-04-25,20671
2015-04-26,20806
2015-04-27,21234
2015-04-28,21343
2015-04-29,21343
2015-04-30,21374
2015-05-01,20980
2015-05-02,20490
2015-05-03,20257
2015-05-04,20512
2015-05-05,20782
2015-05-06,20310
2015-05-07,20417
2015-05-08,20597
2015-05-09,20472
2015-05-10,20219
2015-05-11,20219
2015-05-12,19896
2015-05-13,19889
2015-05-14,20087
2015-05-15,19986
2015-05-16,19712
2015-05-17,19509
2015-05-18,19490
2015-05-19,20071
2015-05-20,20071
2015-05-21,20422
2015-05-22,20806
2015-05-23,21190
2015-05-24,21081
2015-05-25,20451
2015-05-26,20049
2015-05-27,20044
2015-05-28,20408
2015-05-29,20543
2015-05-30,20895
2015-05-31,21446
2015-06-01,21833
2015-06-02,21993
2015-06-03,22134
2015-06-04,22069
2015-06-05,21650
2015-06-06,21567
2015-06-07,21378
2015-06-08,20985
2015-06-09,20885
2015-06-10,20706
2015-06-11,20546
2015-06-12,20917
2015-06-13,21169
2015-06-14,21464
2015-06-15,22227
2015-06-16,22755
2015-06-17,23234
2015-06-18,23132
2015-06-19,22364
2015-06-20,21908
2015-06-21,21149
2015-06-22,20385
2015-06-23,20202
2015-06-24,20286
2015-06-25,20389
2015-06-26,20291
2015-06-27,20126
2015-06-28,20259
2015-06-29,20027
2015-06-30,19985
2015-07-01,19579
2015-07-02,18925
2015-07-03,19186
2015-07-04,19746
