date_obj,Holy%20sandals price
2016-01-08,1379203
2016-01-09,1374735
2016-01-10,1374718
2016-01-11,1334754
2016-01-12,1297517
2016-01-13,1279237
2016-01-14,1266800
2016-01-15,1239145
2016-01-16,1237477
2016-01-17,1282762
2016-01-18,1276786
2016-01-19,1301103
2016-01-20,1309761
2016-01-21,1294525
2016-01-22,1255564
2016-01-23,1231874
2016-01-24,1221121
2016-01-25,1212175
2016-01-26,1203620
2016-01-27,1208731
2016-01-28,1214599
2016-01-29,1231944
2016-01-30,1239529
2016-01-31,1249334
2016-02-01,1273384
2016-02-02,1294380
2016-02-03,1324410
2016-02-04,1356331
2016-02-05,1355956
2016-02-06,1368208
2016-02-07,1341985
2016-02-08,1292475
2016-02-09,1272965
2016-02-10,1270785
2016-02-11,1271112
2016-02-12,1279892
2016-02-13,1285446
2016-02-14,1283662
2016-02-15,1278095
2016-02-16,1277575
2016-02-17,1276738
2016-02-18,1289257
2016-02-19,1323077
2016-02-20,1345205
2016-02-21,1342545
2016-02-22,1337336
2016-02-23,1343044
2016-02-24,1336523
2016-02-25,1328159
2016-02-26,1328043
2016-02-27,1311861
2016-02-28,1298724
2016-02-29,1269463
2016-03-01,1240814
2016-03-02,1222831
2016-03-03,1188445
2016-03-04,1184213
2016-03-05,1157733
2016-03-06,1155347
2016-03-07,1145886
2016-03-08,1149855
2016-03-09,1182463
2016-03-10,1178076
2016-03-11,1203311
2016-03-12,1206560
2016-03-13,1163691
2016-03-14,1135133
2016-03-15,1128162
2016-03-16,1133936
2016-03-17,1149385
2016-03-18,1151491
2016-03-19,1172483
2016-03-20,1196004
2016-03-22,1224748
2016-03-23,1265336
2016-03-24,1287886
2016-03-25,1310400
2016-03-26,1285744
2016-03-27,1296753
2016-03-28,1290947
2016-03-29,1250525
2016-03-30,1204437
2016-03-31,1149932
2016-04-01,1092435
2016-04-02,1037813
2016-04-03,989875
2016-04-04,974612
2016-04-05,991887
2016-04-06,1039277
2016-04-07,1058657
2016-04-08,1088324
2016-04-09,1103674
2016-04-10,1069865
2016-04-11,1037704
2016-04-12,1056701
2016-04-13,1057306
2016-04-14,1041419
2016-04-15,1054743
2016-04-16,1073630
2016-04-17,1059519
2016-04-18,1045793
2016-04-19,1038538
2016-04-20,1031260
2016-04-21,1031454
2016-04-22,1058934
2016-04-23,1100150
2016-04-24,1148186
2016-04-25,1181432
2016-04-26,1164187
2016-04-27,1134849
2016-04-28,1105276
2016-04-29,1072162
2016-04-30,1045279
2016-05-01,1050069
2016-05-02,1053457
2016-05-03,1055938
2016-05-04,1015630
2016-05-05,1019689
2016-05-06,1019935
2016-05-07,1024212
2016-05-08,1018606
2016-05-09,1003962
2016-05-10,987488
2016-05-11,978898
2016-05-12,976078
2016-05-13,977366
2016-05-14,966644
2016-05-15,954048
2016-05-16,936537
2016-05-17,947724
2016-05-18,952208
2016-05-19,934007
2016-05-22,990011
2016-05-23,987818
2016-05-24,1037055
2016-05-25,1082063
2016-05-26,1082409
2016-05-27,1063464
2016-05-28,1060601
2016-05-29,1027993
2016-05-30,1013626
2016-05-31,992302
2016-06-01,1005788
2016-06-02,1028949
2016-06-03,1010856
2016-06-04,1009649
2016-06-05,984935
2016-06-06,964588
2016-06-07,938532
2016-06-08,940918
2016-06-09,956979
2016-06-10,967434
2016-06-11,1012454
2016-06-12,1046287
2016-06-13,1053821
2016-06-14,1088300
2016-06-15,1131786
2016-06-16,1164139
2016-06-17,1193480
2016-06-18,1251850
2016-06-19,1314006
2016-06-20,1371859
2016-06-21,1437836
2016-06-22,1504504
2016-06-23,1564437
2016-06-24,1610609
2016-06-25,1642984
2016-06-26,1613869
2016-06-27,1551568
2016-06-28,1488994
2016-06-29,1434209
2016-06-30,1389626
2016-07-01,1331312
2016-07-02,1284807
2016-07-03,1277919
2016-07-04,1281162
2016-07-05,1243572
2016-07-06,1191707
2016-07-07,1132121
2016-07-08,1075532
2016-07-09,1024985
2016-07-10,980705
2016-07-11,931669
2016-07-12,885111
2016-07-13,870020
2016-07-14,882929
2016-07-15,912320
2016-07-16,877856
2016-07-17,834030
2016-07-18,792328
2016-07-23,682003
2016-07-24,697156
2016-07-25,727638
2016-07-26,697154
2016-07-27,692729
2016-07-28,725108
2016-07-29,761300
2016-07-30,773251
2016-07-31,758775
2016-08-01,734676
2016-08-02,716292
2016-08-03,713555
2016-08-04,713052
2016-08-05,711875
2016-08-06,687056
2016-08-07,657785
2016-08-08,639221
2016-08-09,630713
2016-08-10,629740
2016-08-11,640351
2016-08-12,626923
2016-08-13,628882
2016-08-14,627173
2016-08-15,639432
2016-08-16,634942
2016-08-17,634535
2016-08-18,641827
2016-08-19,663130
2016-08-20,667859
2016-08-21,646103
2016-08-22,617723
2016-08-23,605804
2016-08-24,592080
2016-08-25,579704
2016-08-26,557363
2016-08-28,559894
2016-08-31,617771
2016-09-01,605224
2016-09-02,609071
2016-09-03,608543
2016-09-04,585740
2016-09-05,593155
2016-09-06,619906
