date_obj,Bandos%20mitre price
2015-03-26,119928
2015-03-27,119928
2015-03-28,118954
2015-03-29,116291
2015-03-30,115345
2015-03-31,113751
2015-04-01,115197
2015-04-02,116902
2015-04-03,115959
2015-04-04,115506
2015-04-05,114946
2015-04-06,112633
2015-04-07,110344
2015-04-08,110010
2015-04-09,107508
2015-04-10,106305
2015-04-11,105713
2015-04-12,103389
2015-04-13,99863
2015-04-14,94869
2015-04-15,93444
2015-04-16,89901
2015-04-17,88803
2015-04-18,87239
2015-04-19,86167
2015-04-20,85008
2015-04-21,82108
2015-04-22,82365
2015-04-23,81682
2015-04-24,79638
2015-04-25,79396
2015-04-26,78464
2015-04-27,77604
2015-04-28,77338
2015-04-29,77338
2015-04-30,79465
2015-05-01,79935
2015-05-02,80168
2015-05-03,81985
2015-05-04,81990
2015-05-05,82399
2015-05-06,83923
2015-05-07,85687
2015-05-08,89561
2015-05-09,93184
2015-05-10,97597
2015-05-11,102215
2015-05-12,107280
2015-05-13,112580
2015-05-14,117733
2015-05-15,119997
2015-05-16,119806
2015-05-17,120430
2015-05-18,126452
2015-05-19,131583
2015-05-20,132552
2015-05-21,129990
2015-05-22,126922
2015-05-23,123664
2015-05-24,117938
2015-05-25,113907
2015-05-26,112366
2015-05-27,109232
2015-05-28,105909
2015-05-29,104036
2015-05-30,100835
2015-05-31,99229
2015-06-01,95485
2015-06-02,95485
2015-06-03,91584
2015-06-04,87572
2015-06-05,83509
2015-06-06,79371
2015-06-07,77149
2015-06-08,76423
2015-06-09,73744
2015-06-10,75744
2015-06-11,75744
2015-06-12,74871
2015-06-13,73807
2015-06-14,71258
2015-06-15,70493
2015-06-16,70994
2015-06-17,70739
2015-06-18,67836
2015-06-19,65859
2015-06-20,64463
2015-06-21,62267
2015-06-22,59934
2015-06-23,58694
2015-06-24,57266
2015-06-25,58492
2015-06-26,58327
2015-06-27,60234
2015-06-28,63149
2015-06-29,66307
2015-06-30,68907
2015-07-01,72353
2015-07-02,72353
2015-07-03,73089
2015-07-04,71689
2015-07-05,71107
2015-07-06,69710
2015-07-07,68984
2015-07-08,67698
2015-07-09,67698
2015-07-10,66647
2015-07-11,66975
2015-07-12,67906
2015-07-13,69259
2015-07-14,69765
2015-07-15,68815
2015-07-16,68841
2015-07-17,67169
2015-07-18,66286
2015-07-19,66444
2015-07-20,65083
2015-07-21,65124
2015-07-22,64249
2015-07-23,64249
2015-07-24,64902
2015-07-25,63901
2015-07-26,63424
2015-07-27,63758
2015-07-28,66354
2015-07-29,67723
2015-07-30,70821
2015-07-31,73203
2015-08-01,76009
2015-08-02,76934
2015-08-03,76700
2015-08-04,77131
2015-08-05,75200
2015-08-06,72460
2015-08-07,72460
2015-08-08,71175
2015-08-09,69381
2015-08-10,68301
2015-08-11,67968
2015-08-12,67968
2015-08-13,68437
2015-08-14,71337
2015-08-15,74668
2015-08-16,78120
2015-08-17,81642
2015-08-18,84714
2015-08-19,85473
2015-08-20,86294
2015-08-21,84412
2015-08-22,83841
2015-08-23,81338
2015-08-24,80927
2015-08-25,80927
2015-08-26,79454
2015-08-27,78606
2015-08-28,77366
2015-08-29,77218
2015-08-30,74493
2015-08-31,72717
2015-09-01,69554
2015-09-02,69554
2015-09-03,68426
2015-09-04,67595
2015-09-05,67595
2015-09-06,67262
2015-09-07,65440
2015-09-08,65930
2015-09-09,65478
2015-09-10,66958
2015-09-11,65925
2015-09-12,64673
2015-09-13,63935
2015-09-14,64734
2015-09-15,64190
2015-09-16,64190
2015-09-17,64077
2015-09-18,63326
2015-09-19,61222
2015-09-20,60721
2015-09-21,61255
2015-09-22,61096
2015-09-23,61376
2015-09-24,63302
2015-09-25,64505
2015-09-27,66003
2015-09-28,66247
2015-09-29,68582
2015-09-30,71470
2015-10-05,75770
2015-10-06,73972
2015-10-07,72476
2015-10-08,70216
2015-10-09,68418
2015-10-10,68418
2015-10-11,67454
2015-10-12,64564
2015-10-13,64564
2015-10-14,62924
2015-10-15,62478
2015-10-16,62944
2015-10-17,62944
2015-10-18,64012
2015-10-19,62566
2015-10-20,62086
2015-10-22,62568
2015-10-23,62705
2015-10-24,62410
2015-10-25,61342
2015-10-26,61511
2015-10-27,61511
2015-10-28,62394
2015-10-29,62988
2015-10-30,64254
2015-10-31,64419
2015-11-01,64419
2015-11-02,63550
2015-11-03,63550
2015-11-04,62686
2015-11-05,59814
2015-11-06,59814
2015-11-07,56823
2015-11-08,56823
2015-11-09,54378
2015-11-10,54378
2015-11-11,52293
2015-11-12,50186
2015-11-13,50186
2015-11-14,48289
2015-11-15,46171
2015-11-16,44880
2015-11-17,44567
2015-11-18,44594
2015-11-19,42914
2015-11-20,42373
2015-11-21,42373
2015-11-22,44122
2015-11-23,44122
2015-11-24,45320
2015-11-25,46610
2015-11-26,46610
2015-11-27,47860
2015-11-28,50084
2015-11-29,52253
2015-11-30,53866
2015-12-01,53892
2015-12-02,54840
2015-12-03,56426
2015-12-04,56426
2015-12-05,56491
2015-12-06,55894
