date_obj,Elven%20signet price
2019-07-24,1000000
2019-07-25,1000000
2019-07-26,1035429
2019-07-27,1081091
2019-07-28,1131460
2019-07-29,1186803
2019-07-30,1243092
2019-07-31,1303457
2019-08-01,1363467
2019-08-02,1430121
2019-08-03,1498216
2019-08-04,1568445
2019-08-05,1644100
2019-08-06,1719772
2019-08-07,1800892
2019-08-08,1800892
2019-08-09,1886858
2019-08-10,1977824
2019-08-11,1977824
2019-08-12,2070284
2019-08-13,2070284
2019-08-14,2169252
2019-08-15,2272879
2019-08-16,2383022
2019-08-17,2383022
2019-08-18,2499467
2019-08-19,2614724
2019-08-20,2614724
2019-08-21,2739671
2019-08-22,2871064
2019-08-23,2871064
2019-08-24,3010217
2019-08-24,3010217
2019-08-25,3010217
2019-08-25,3010217
2019-08-26,3157199
2019-08-26,3157199
2019-08-27,3157199
2019-08-27,3157199
2019-08-28,3306886
2019-08-29,3306886
2019-08-30,3467008
2019-08-31,3467008
2019-09-01,3631784
2019-09-02,3631784
2019-09-03,3631784
2019-09-04,3802330
2019-09-05,3802330
2019-09-06,3689762
2019-09-07,3689762
2019-09-08,3571265
2019-09-09,3571265
2019-09-10,3571265
2019-09-11,3734623
2019-09-12,3734623
2019-09-13,3734623
2019-09-14,3625703
2019-09-15,3625703
2019-09-16,3664472
2019-09-17,3664472
2019-09-18,3826856
2019-09-19,3826856
2019-09-20,3826856
2019-09-21,3986798
2019-09-22,3986798
2019-09-23,4170840
2019-09-24,4170840
2019-09-25,4362545
2019-09-26,4362545
2019-09-27,4545847
2019-09-28,4545847
2019-09-29,4577961
2019-09-30,4577961
2019-10-01,4637196
2019-10-02,4637196
2019-10-03,4637196
2019-10-04,4561423
2019-10-05,4561423
2019-10-06,4517346
2019-10-07,4517346
2019-10-08,4472307
2019-10-09,4472307
2019-10-10,4472307
2019-10-11,4347727
2019-10-12,4347727
2019-10-13,4269312
2019-10-14,4269312
2019-10-15,4136592
2019-10-16,4136592
2019-10-17,3986827
2019-10-18,3986827
2019-10-19,3787485
2019-10-20,3787485
2019-10-21,3614899
2019-10-22,3707070
2019-10-23,3837204
2019-10-24,3837204
2019-10-25,3870578
2019-10-26,3901314
2019-10-27,3901314
2019-10-28,4067223
2019-10-29,4255052
2019-10-30,4453614
2019-10-31,4658924
2019-11-01,4658924
2019-11-02,4868400
2019-11-03,5104724
2019-11-04,5333437
2019-11-05,5333437
2019-11-06,5526791
2019-11-07,5526791
2019-11-08,5720379
2019-11-09,5720379
2019-11-10,5917508
2019-11-11,6162942
2019-11-12,6162942
2019-11-13,6108732
2019-11-14,6108732
2019-11-15,5962958
2019-11-16,5839732
2019-11-17,5839732
2019-11-18,5721120
2019-11-19,5721120
2019-11-20,5627693
2019-11-21,5627693
2019-11-22,5375746
2019-11-23,5375746
2019-11-24,5106958
2019-11-25,4852259
2019-11-26,4684584
2019-11-27,4684584
2019-11-28,4536614
2019-11-29,4536614
2019-11-30,4334346
2019-12-01,4132017
2019-12-02,3939961
2019-12-03,3805524
2019-12-04,3620865
2019-12-05,3620865
2019-12-06,3439821
2019-12-07,3271763
2019-12-08,3271763
2019-12-09,3108174
2019-12-10,2952765
2019-12-11,2952765
2019-12-12,2805126
2019-12-13,2678910
2019-12-14,2678910
2019-12-15,2544964
2019-12-16,2544964
2019-12-17,2417715
2019-12-18,2417715
2019-12-19,2299828
2019-12-20,2195568
2019-12-21,2087586
2019-12-22,1987173
2019-12-23,1987173
2019-12-24,1887814
2019-12-25,1887814
2019-12-26,1793423
2019-12-27,1705464
2019-12-28,1705464
2019-12-29,1687464
2019-12-30,1687464
2019-12-31,1768193
2020-01-01,1768193
2020-01-02,1856330
2020-01-03,1856330
2020-01-04,1937375
2020-01-05,2030515
2020-01-06,2030515
2020-01-07,2131533
2020-01-08,2131533
2020-01-09,2238110
2020-01-10,2347452
2020-01-11,2456052
2020-01-12,2566920
2020-01-13,2566920
2020-01-14,2681483
2020-01-15,2815558
2020-01-16,2956336
2020-01-17,3094312
2020-01-18,3094312
2020-01-19,3249028
2020-01-20,3249028
2020-01-21,3406582
2020-01-22,3564819
2020-01-23,3676101
2020-01-24,3558878
2020-01-25,3558878
2020-01-26,3392503
2020-01-27,3222877
2020-01-28,3222877
2020-01-29,3061733
2020-01-30,3061733
2020-01-31,2915342
2020-02-01,2843111
2020-02-02,2842025
2020-02-03,2842025
2020-02-04,2874343
2020-02-05,2874343
2020-02-06,2781126
2020-02-07,2781126
2020-02-08,2642069
2020-02-09,2642069
2020-02-10,2513913
2020-02-11,2448553
2020-02-12,2473207
2020-02-13,2473207
2020-02-14,2362377
2020-02-15,2362377
2020-02-16,2244258
2020-02-17,2132045
2020-02-18,2033597
2020-02-19,2033597
2020-02-20,1939285
2020-02-21,1939285
2020-02-22,1851364
2020-02-23,1851364
2020-02-24,1759384
2020-02-25,1759384
2020-02-26,1671414
2020-02-27,1671414
2020-02-28,1588071
2020-02-29,1588071
2020-03-01,1510316
2020-03-02,1510316
2020-03-03,1435091
2020-03-04,1435091
2020-03-05,1379092
2020-03-06,1379092
2020-03-07,1349719
2020-03-08,1349719
2020-03-09,1303946
2020-03-10,1303946
2020-03-11,1251153
2020-03-12,1200583
2020-03-13,1200583
2020-03-14,1211132
2020-03-15,1211132
2020-03-16,1271689
2020-03-17,1271689
2020-03-18,1335274
2020-03-19,1335274
2020-03-20,1402038
2020-03-21,1402038
2020-03-22,1472140
2020-03-23,1472140
2020-03-24,1545747
2020-03-25,1616832
2020-03-26,1697674
2020-03-27,1674651
2020-03-28,1674651
2020-03-29,1591084
2020-03-30,1524498
2020-03-31,1597830
2020-04-01,1597830
2020-04-02,1650869
2020-04-03,1650869
2020-04-04,1698580
2020-04-05,1698580
2020-04-06,1735521
2020-04-07,1735521
2020-04-08,1815176
2020-04-09,1873221
2020-04-10,1873221
2020-04-11,1876631
