date_obj,Elven%20signet price
2020-04-12,1876631
2020-04-13,1809957
2020-04-14,1772215
2020-04-15,1701346
2020-04-16,1701346
2020-04-17,1621371
2020-04-18,1550375
2020-04-19,1550960
2020-04-20,1553543
2020-04-21,1567648
2020-04-22,1555131
2020-04-23,1555131
2020-04-24,1549044
2020-04-25,1549044
2020-04-26,1549446
2020-04-27,1561847
2020-04-28,1582312
2020-04-29,1582312
2020-04-30,1614834
2020-05-01,1614834
2020-05-02,1578441
2020-05-03,1499580
2020-05-04,1499580
2020-05-05,1433579
2020-05-06,1390967
2020-05-07,1371160
2020-05-08,1371160
2020-05-09,1384380
2020-05-10,1411458
2020-05-11,1411458
2020-05-12,1414801
2020-05-13,1432153
