date_obj,Grey%20wolf%20fur price
2015-03-26,102
2015-03-27,102
2015-03-28,102
2015-03-29,102
2015-03-30,102
2015-03-31,102
2015-04-01,102
2015-04-02,102
2015-04-03,96
2015-04-04,96
2015-04-05,96
2015-04-06,96
2015-04-07,96
2015-04-08,96
2015-04-09,96
2015-04-10,96
2015-04-11,96
2015-04-12,91
2015-04-13,91
2015-04-14,91
2015-04-15,91
2015-04-16,91
2015-04-17,91
2015-04-18,91
2015-04-19,91
2015-04-20,91
2015-04-21,91
2015-04-22,86
2015-04-23,86
2015-04-24,86
2015-04-25,86
2015-04-26,86
2015-04-27,86
2015-04-28,86
2015-04-29,86
2015-04-30,86
2015-05-01,86
2015-05-02,81
2015-05-03,81
2015-05-04,81
2015-05-05,81
2015-05-06,81
2015-05-07,81
2015-05-08,81
2015-05-09,81
2015-05-10,81
2015-05-11,81
2015-05-12,81
2015-05-13,81
2015-05-14,81
2015-05-15,76
2015-05-16,76
2015-05-17,76
2015-05-18,76
2015-05-19,76
2015-05-20,76
2015-05-21,76
2015-05-22,76
2015-05-23,76
2015-05-24,76
2015-05-25,76
2015-05-26,72
2015-05-27,72
2015-05-28,72
2015-05-29,72
2015-05-30,72
2015-05-31,72
2015-06-01,72
2015-06-02,72
2015-06-03,72
2015-06-04,72
2015-06-05,68
2015-06-06,68
2015-06-07,68
2015-06-08,68
2015-06-09,68
2015-06-10,68
2015-06-11,68
2015-06-12,68
2015-06-13,68
2015-06-14,68
2015-06-15,68
2015-06-16,64
2015-06-17,64
2015-06-18,64
2015-06-19,64
2015-06-20,64
2015-06-21,64
2015-06-22,64
2015-06-23,64
2015-06-24,64
2015-06-25,64
2015-06-26,64
2015-06-27,60
2015-06-28,60
2015-06-29,60
2015-06-30,60
2015-07-01,60
2015-07-02,60
2015-07-03,60
2015-07-04,60
2015-07-05,60
2015-07-06,60
2015-07-07,58
2015-07-08,58
2015-07-09,58
2015-07-10,58
2015-07-11,58
2015-07-12,58
2015-07-13,58
2015-07-14,58
2015-07-15,58
2015-07-16,58
2015-07-17,58
2015-07-18,58
2015-07-19,55
2015-07-20,55
2015-07-21,55
2015-07-22,55
2015-07-23,55
2015-07-24,55
2015-07-25,55
2015-07-26,55
2015-07-27,55
2015-07-28,55
2015-07-29,52
2015-07-30,52
2015-07-31,52
2015-08-01,52
2015-08-02,52
2015-08-03,52
2015-08-04,52
2015-08-05,52
2015-08-06,52
2015-08-07,52
2015-08-08,52
2015-08-09,50
2015-08-10,50
2015-08-11,50
2015-08-12,50
2015-08-13,50
2015-08-14,50
2015-08-15,50
2015-08-16,50
2015-08-17,50
2015-08-18,50
2015-08-19,50
2015-08-20,50
2015-08-21,50
