date_obj,Ruby price
2016-01-14,1027
2016-01-15,1060
2016-01-16,1079
2016-01-17,1068
2016-01-18,1052
2016-01-19,1052
2016-01-20,1073
2016-01-21,1082
2016-01-22,1048
2016-01-23,1033
2016-01-24,1035
2016-01-25,1053
2016-01-26,1055
2016-01-27,1047
2016-01-28,1047
2016-01-29,1034
2016-01-30,1034
2016-01-31,1009
2016-02-01,986
2016-02-02,982
2016-02-03,994
2016-02-04,999
2016-02-05,1007
2016-02-06,1006
2016-02-07,1008
2016-02-08,1026
2016-02-09,1039
2016-02-10,1040
2016-02-11,1068
2016-02-12,1052
2016-02-13,1048
2016-02-14,1048
2016-02-15,1031
2016-02-16,998
2016-02-17,1026
2016-02-18,1026
2016-02-19,1006
2016-02-20,1003
2016-02-21,1004
2016-02-22,1004
2016-02-23,1015
2016-02-24,1028
2016-02-25,1014
2016-02-26,1014
2016-02-27,1021
2016-02-28,1019
2016-02-29,1021
2016-03-01,1009
2016-03-02,1011
2016-03-03,994
2016-03-04,1006
2016-03-05,987
2016-03-06,982
2016-03-07,982
2016-03-08,996
2016-03-09,979
2016-03-10,952
2016-03-11,964
2016-03-12,975
2016-03-13,972
2016-03-14,974
2016-03-15,984
2016-03-16,985
2016-03-17,977
2016-03-18,986
2016-03-19,985
2016-03-20,994
2016-03-21,986
2016-03-22,984
2016-03-23,985
2016-03-24,986
2016-03-25,981
2016-03-26,981
2016-03-27,978
2016-03-28,972
2016-03-29,975
2016-03-30,975
2016-03-31,968
2016-04-01,967
2016-04-02,956
2016-04-03,933
2016-04-04,945
2016-04-05,963
2016-04-06,980
2016-04-07,987
2016-04-08,993
2016-04-09,989
2016-04-10,980
2016-04-11,980
2016-04-12,980
2016-04-13,988
2016-04-14,996
2016-04-15,994
2016-04-16,1013
2016-04-17,998
2016-04-18,994
2016-04-19,1011
2016-04-20,1041
2016-04-21,1041
2016-04-22,1041
2016-04-23,1013
2016-04-24,1006
2016-04-25,1013
2016-04-26,1017
2016-04-27,1019
2016-04-28,1023
2016-04-29,1055
2016-04-30,1080
2016-05-01,1067
2016-05-02,1076
2016-05-03,1099
2016-05-04,1143
2016-05-05,1157
2016-05-06,1157
2016-05-07,1195
2016-05-08,1218
2016-05-09,1204
2016-05-10,1162
2016-05-11,1165
2016-05-12,1143
2016-05-13,1112
2016-05-14,1146
2016-05-15,1167
2016-05-16,1138
2016-05-17,1175
2016-05-18,1188
2016-05-19,1162
2016-05-22,1167
2016-05-23,1167
2016-05-24,1167
2016-05-25,1170
2016-05-26,1179
2016-05-27,1168
2016-05-28,1168
2016-05-29,1177
2016-05-30,1177
2016-05-31,1168
2016-06-01,1160
2016-06-02,1152
2016-06-03,1132
2016-06-04,1146
2016-06-05,1155
2016-06-06,1151
2016-06-07,1151
2016-06-08,1162
2016-06-09,1179
2016-06-10,1183
2016-06-11,1172
2016-06-12,1188
2016-06-13,1237
2016-06-14,1225
2016-06-15,1208
2016-06-16,1164
2016-06-17,1162
2016-06-18,1157
2016-06-19,1168
2016-06-20,1193
2016-06-21,1229
2016-06-22,1239
2016-06-23,1248
2016-06-24,1262
2016-06-25,1281
2016-06-26,1309
2016-06-27,1331
2016-06-28,1331
2016-06-29,1320
2016-06-30,1300
2016-07-01,1286
2016-07-02,1288
2016-07-03,1254
2016-07-04,1239
2016-07-05,1268
2016-07-06,1261
2016-07-07,1279
2016-07-08,1282
2016-07-09,1277
2016-07-10,1272
2016-07-11,1285
2016-07-12,1302
2016-07-13,1289
2016-07-14,1291
2016-07-15,1257
2016-07-16,1251
2016-07-17,1250
2016-07-18,1279
2016-07-23,1320
2016-07-24,1285
2016-07-25,1257
2016-07-26,1236
2016-07-27,1255
2016-07-28,1267
2016-07-29,1308
2016-07-30,1301
2016-07-31,1301
2016-08-01,1281
2016-08-02,1260
2016-08-03,1263
2016-08-04,1247
2016-08-05,1247
2016-08-06,1227
2016-08-07,1181
2016-08-08,1181
2016-08-09,1158
2016-08-10,1135
2016-08-11,1132
2016-08-12,1164
2016-08-13,1197
2016-08-14,1177
2016-08-15,1164
2016-08-16,1143
2016-08-17,1134
2016-08-18,1148
2016-08-19,1147
2016-08-20,1159
2016-08-21,1150
2016-08-22,1139
2016-08-23,1163
2016-08-24,1156
2016-08-25,1151
2016-08-26,1151
2016-08-28,1123
2016-08-31,1105
2016-09-01,1077
2016-09-02,1077
2016-09-03,1100
2016-09-04,1105
2016-09-05,1089
2016-09-06,1124
2016-09-07,1110
2016-09-08,1110
2016-09-09,1095
2016-09-10,1087
2016-09-11,1087
2016-09-12,1093
2016-09-13,1128
2016-09-14,1128
2016-09-15,1123
2016-09-16,1123
2016-09-17,1092
2016-09-18,1066
2016-09-19,1080
2016-09-20,1080
2016-09-21,1080
2016-09-22,1098
2016-09-23,1127
2016-09-24,1127
2016-09-25,1147
2016-09-26,1147
2016-09-27,1187
2016-09-28,1200
2016-09-29,1200
2016-09-30,1169
2016-10-01,1129
2016-10-02,1129
2016-10-03,1108
2016-10-04,1116
2016-10-05,1124
2016-10-06,1111
2016-10-07,1111
2016-10-08,1120
2016-10-09,1120
2016-10-10,1121
2016-10-11,1135
2016-10-12,1148
2016-10-13,1149
2016-10-14,1151
2016-10-15,1175
2016-10-16,1192
2016-10-17,1185
2016-10-18,1207
2016-10-19,1254
2016-10-20,1305
2016-10-21,1333
2016-10-22,1333
2016-10-23,1280
2016-10-24,1233
2016-10-25,1233
2016-10-26,1251
2016-10-27,1285
2016-10-28,1285
2016-10-29,1262
2016-10-30,1265
2016-10-31,1292
2016-11-01,1292
2016-11-02,1321
2016-11-03,1321
2016-11-04,1346
2016-11-05,1346
2016-11-06,1314
2016-11-07,1271
2016-11-08,1224
2016-11-09,1269
2016-11-10,1254
2016-11-11,1266
2016-11-12,1251
2016-11-13,1264
2016-11-14,1283
2016-12-08,1221
2016-12-09,1255
2016-12-10,1259
2016-12-11,1268
2016-12-12,1253
2016-12-13,1244
2016-12-14,1278
2016-12-15,1278
2016-12-16,1274
2016-12-17,1302
2016-12-18,1304
2016-12-19,1306
2016-12-20,1300
2016-12-21,1293
2016-12-22,1266
2016-12-23,1251
2016-12-24,1249
2016-12-25,1239
2016-12-26,1233
2016-12-27,1286
2016-12-28,1292
2016-12-29,1274
2016-12-30,1285
2016-12-31,1259
2017-01-01,1239
2017-01-02,1233
2017-01-03,1232
2017-01-04,1245
2017-01-05,1307
2017-01-06,1373
2017-01-07,1439
2017-01-08,1511
2017-01-09,1580
2017-01-10,1581
2017-01-11,1505
2017-01-12,1429
2017-01-13,1371
2017-01-14,1356
2017-01-15,1289
2017-01-16,1238
2017-01-17,1252
2017-01-18,1268
2017-01-19,1267
2017-01-20,1246
2017-01-21,1242
2017-01-22,1240
2017-01-27,1235
2017-01-28,1223
2017-01-29,1228
2017-01-30,1221
2017-01-31,1233
2017-02-01,1235
2017-02-02,1255
2017-02-03,1243
2017-02-04,1225
2017-02-05,1230
2017-02-06,1252
2017-02-07,1235
2017-02-08,1251
2017-02-09,1251
2017-02-10,1236
2017-02-11,1226
2017-02-12,1218
2017-02-13,1207
2017-02-14,1207
2017-02-15,1244
2017-02-16,1247
2017-02-18,1242
2017-02-19,1216
2017-02-20,1210
2017-02-21,1205
2017-02-22,1195
2017-02-23,1184
2017-02-24,1175
2017-02-25,1152
2017-02-26,1140
2017-02-27,1149
2017-02-28,1147
2017-03-01,1172
2017-03-02,1205
2017-03-03,1214
2017-03-04,1202
2017-03-05,1205
2017-03-06,1214
2017-03-07,1232
2017-03-08,1220
2017-03-09,1217
2017-03-10,1207
2017-03-11,1183
2017-03-12,1181
2017-03-13,1189
2017-03-14,1180
2017-03-15,1191
2017-03-16,1186
2017-03-17,1181
2017-03-18,1182
2017-03-19,1186
2017-03-20,1187
2017-03-21,1180
2017-03-22,1175
2017-03-23,1175
2017-03-24,1164
2017-03-25,1164
2017-03-26,1159
2017-03-27,1165
2017-03-28,1176
2017-03-29,1202
2017-03-30,1193
2017-03-31,1205
2017-04-01,1187
2017-04-02,1190
2017-04-03,1185
2017-04-04,1197
2017-04-12,1141
2017-04-13,1132
2017-04-14,1101
2017-04-15,1115
2017-04-16,1108
2017-04-17,1113
2017-04-18,1102
2017-04-19,1120
2017-04-20,1118
2017-04-21,1114
2017-04-22,1104
2017-04-23,1112
2017-04-24,1116
2017-04-25,1132
2017-04-26,1132
2017-04-27,1158
2017-04-28,1167
2017-04-29,1163
2017-04-30,1149
2017-05-01,1129
2017-05-02,1127
2017-05-03,1129
2017-05-04,1135
2017-05-05,1132
2017-05-06,1144
2017-05-07,1160
2017-05-08,1171
2017-05-09,1184
2017-05-10,1190
2017-05-11,1203
2017-05-12,1192
2017-05-13,1185
2017-05-14,1178
2017-05-15,1171
2017-05-16,1162
2017-05-17,1163
2017-05-18,1150
2017-05-19,1148
2017-05-20,1151
2017-05-21,1151
2017-05-22,1156
2017-05-23,1157
2017-05-24,1161
2017-05-25,1193
2017-05-26,1197
2017-05-27,1186
2017-05-28,1187
2017-05-29,1184
2017-05-30,1168
2017-05-31,1158
2017-06-01,1135
2017-06-02,1112
2017-06-03,1097
