date_obj,Rune%20defender%20ornament%20kit price
2019-04-11,150000
2019-04-11,157500
2019-04-12,165375
2019-04-13,173644
2019-04-14,182327
2019-04-15,1000000
2019-04-16,1000000
2019-04-17,955810
2019-04-18,908019
2019-04-19,862618
2019-04-20,819487
2019-04-21,778667
2019-04-22,740902
2019-04-23,703856
2019-04-24,668663
2019-04-25,635229
2019-04-26,603467
2019-04-27,573293
2019-04-28,544628
2019-04-29,517396
2019-04-30,491526
2019-05-01,466949
2019-05-02,443601
2019-05-03,421420
2019-05-04,400349
2019-05-05,380331
2019-05-06,361314
2019-05-07,343248
2019-05-08,326085
2019-05-09,309780
2019-05-10,294291
2019-05-11,279576
2019-05-12,265597
2019-05-13,252317
2019-05-14,239701
2019-05-15,227715
2019-05-16,216329
2019-05-17,206298
2019-05-18,195983
2019-05-19,186183
2019-05-20,176873
2019-05-21,168432
2019-05-22,160010
2019-05-23,152053
2019-05-24,144450
2019-05-25,137227
2019-05-26,130365
2019-05-27,123846
2019-05-28,117653
2019-05-29,111770
2019-05-30,106181
2019-05-31,100871
2019-06-01,95827
2019-06-02,91035
2019-06-03,86520
2019-06-04,82194
2019-06-05,78220
2019-06-06,76043
2019-06-07,73938
2019-06-08,71417
2019-06-09,68718
2019-06-10,68718
2019-06-11,66876
2019-06-12,66376
2019-06-13,66774
2019-06-14,66323
2019-06-15,65352
2019-06-16,65178
2019-06-17,65129
2019-06-18,65768
2019-06-19,66961
2019-06-20,67529
2019-06-21,69698
2019-06-22,73183
2019-06-23,76843
2019-06-24,80686
2019-06-25,84721
2019-06-26,88958
2019-06-27,93406
2019-06-28,97904
2019-06-29,102728
2019-06-30,107805
2019-07-01,112237
2019-07-02,113542
2019-07-03,113859
2019-07-04,112865
2019-07-05,112616
2019-07-06,111094
2019-07-07,109755
2019-07-08,111966
2019-07-09,114874
2019-07-10,117610
2019-07-11,116983
2019-07-12,117126
2019-07-13,117126
2019-07-14,113542
2019-07-15,112331
2019-07-16,113863
2019-07-17,114971
2019-07-18,110409
2019-07-19,105552
2019-07-20,100274
2019-07-21,95611
2019-07-22,91429
2019-07-23,86954
2019-07-24,83287
2019-07-25,81575
2019-07-26,79686
2019-07-27,76112
2019-07-28,73366
2019-07-29,71481
2019-07-30,68479
2019-07-31,65963
2019-08-01,64323
2019-08-02,61693
2019-08-03,61076
2019-08-04,60021
2019-08-05,59094
2019-08-06,58206
2019-08-07,59097
2019-08-08,59097
2019-08-09,60079
2019-08-10,60117
2019-08-11,60117
2019-08-12,59418
2019-08-13,59794
2019-08-14,60019
2019-08-15,59672
2019-08-16,59496
2019-08-17,59496
2019-08-18,60746
2019-08-19,60151
2019-08-20,59410
2019-08-21,60850
2019-08-22,60453
2019-08-23,60023
2019-08-24,57759
2019-08-24,57759
2019-08-25,57759
2019-08-25,57759
2019-08-26,60065
2019-08-26,60065
2019-08-27,61765
2019-08-27,61765
2019-08-28,63720
2019-08-29,62693
2019-08-30,62946
2019-08-31,62946
2019-09-01,62456
2019-09-02,62456
2019-09-03,61714
2019-09-04,62515
2019-09-05,63634
2019-09-06,63634
2019-09-07,62905
2019-09-08,60782
2019-09-09,60782
2019-09-10,58168
2019-09-11,55656
2019-09-12,53246
2019-09-13,50907
2019-09-14,49120
2019-09-15,46916
2019-09-16,44750
2019-09-17,42769
2019-09-18,40630
2019-09-19,39902
2019-09-20,38779
2019-09-21,39035
2019-09-22,39327
2019-09-23,37863
2019-09-24,37863
2019-09-25,36161
2019-09-26,34803
2019-09-27,34812
2019-09-28,34564
2019-09-29,33193
2019-09-30,32929
2019-10-01,32608
2019-10-02,32608
2019-10-03,34047
2019-10-04,35195
2019-10-05,36484
2019-10-06,38193
2019-10-07,40068
2019-10-08,42072
2019-10-09,42072
2019-10-10,44166
2019-10-11,45177
2019-10-12,45976
2019-10-13,44149
2019-10-14,42105
2019-10-15,39999
2019-10-16,38435
2019-10-17,38435
2019-10-18,37479
2019-10-19,36218
2019-10-20,34843
2019-10-21,34296
2019-10-22,33259
2019-10-23,33216
2019-10-24,33598
2019-10-25,34522
2019-10-26,35769
2019-10-27,37263
2019-10-28,39107
2019-10-29,40668
2019-10-30,41509
2019-10-31,42827
2019-11-01,41032
2019-11-02,39506
2019-11-03,37867
2019-11-04,36318
2019-11-05,34679
2019-11-06,33153
2019-11-07,32208
2019-11-08,31439
2019-11-09,30275
2019-11-10,29348
2019-11-11,28656
2019-11-12,28542
2019-11-13,27566
2019-11-14,28001
2019-11-15,28101
2019-11-16,28287
2019-11-17,28287
2019-11-18,27946
2019-11-19,27946
2019-11-20,27533
2019-11-21,27533
2019-11-22,27249
2019-11-23,26838
2019-11-24,27561
2019-11-25,27686
2019-11-26,28695
2019-11-27,29712
2019-11-28,31065
2019-11-29,32619
2019-11-30,34006
2019-12-01,35671
2019-12-02,37183
2019-12-03,38645
2019-12-04,38757
2019-12-05,38757
2019-12-06,38837
2019-12-07,39053
2019-12-08,39338
2019-12-09,40023
2019-12-10,40395
2019-12-11,40337
2019-12-12,39732
2019-12-13,39729
2019-12-14,39569
2019-12-15,39745
2019-12-16,38752
2019-12-17,36814
2019-12-18,36131
2019-12-19,35593
2019-12-20,34463
2019-12-21,33341
2019-12-22,32670
2019-12-23,31486
2019-12-24,31767
2019-12-25,32610
2019-12-26,33446
2019-12-27,34686
2019-12-28,35331
2019-12-29,36565
2019-12-30,37011
2019-12-31,38059
2020-01-01,38272
2020-01-02,38362
2020-01-03,38377
2020-01-04,38559
2020-01-05,38781
2020-01-06,38852
2020-01-07,38788
2020-01-08,39477
2020-01-09,39606
2020-01-10,39613
2020-01-11,39742
2020-01-12,39835
2020-01-13,41268
2020-01-14,42509
2020-01-15,44156
2020-01-16,44124
2020-01-17,43983
2020-01-18,45061
2020-01-19,46623
2020-01-20,48618
2020-01-21,48081
2020-01-22,49953
2020-01-23,51004
2020-01-24,50958
2020-01-25,51032
2020-01-26,51391
2020-01-27,51725
2020-01-28,52567
2020-01-29,53117
2020-01-30,53921
2020-01-31,54435
2020-02-01,55108
2020-02-02,55013
2020-02-03,55341
2020-02-04,55749
2020-02-05,55426
2020-02-06,53795
2020-02-07,51105
2020-02-08,48630
2020-02-09,47101
2020-02-10,45828
2020-02-11,45400
2020-02-12,44193
2020-02-13,42594
2020-02-14,41420
2020-02-15,40253
2020-02-16,39998
2020-02-17,40298
2020-02-18,40904
2020-02-19,41178
2020-02-20,41087
2020-02-21,41087
2020-02-22,40505
2020-02-23,39739
2020-02-24,39793
2020-02-25,38563
2020-02-26,37817
2020-02-27,37815
2020-02-28,38181
2020-02-29,38181
2020-03-01,38191
2020-03-02,38754
2020-03-03,37945
2020-03-04,37576
2020-03-05,37839
2020-03-06,37417
2020-03-07,36645
2020-03-08,36331
2020-03-09,36696
2020-03-10,37492
2020-03-11,37827
2020-03-12,37711
2020-03-13,38329
2020-03-14,37928
2020-03-15,38004
2020-03-16,38097
2020-03-17,37938
2020-03-18,37633
2020-03-19,37383
2020-03-20,36279
2020-03-21,34698
2020-03-22,33867
2020-03-23,32748
2020-03-24,31663
2020-03-25,31039
2020-03-26,30579
2020-03-27,30135
2020-03-28,29735
2020-03-29,28827
2020-03-30,27924
2020-03-31,26758
2020-04-01,25839
2020-04-02,25075
2020-04-03,24537
2020-04-04,24301
2020-04-05,24274
2020-04-06,24011
2020-04-07,24023
2020-04-08,24026
2020-04-09,23945
2020-04-10,24086
2020-04-11,24469
2020-04-12,24813
2020-04-13,25100
2020-04-14,25033
2020-04-15,24962
2020-04-16,24869
2020-04-17,24930
2020-04-18,25258
2020-04-19,25324
2020-04-20,25680
2020-04-21,25533
2020-04-22,25623
2020-04-23,25598
2020-04-24,25035
2020-04-25,25029
2020-04-26,25392
2020-04-27,25224
2020-04-28,25524
2020-04-29,26558
2020-04-30,27440
2020-05-01,27828
2020-05-02,27545
2020-05-03,28014
2020-05-04,29005
2020-05-05,29934
2020-05-06,30765
2020-05-07,31032
2020-05-08,31151
2020-05-09,30687
2020-05-10,30394
2020-05-11,30299
2020-05-12,30219
2020-05-13,30439
