date_obj,Bryophyta's%20essence price
2018-05-02,7000
2018-05-03,7265
2018-05-04,7596
2018-05-05,7974
2018-05-06,8359
2018-05-07,8748
2018-05-08,9147
2018-05-09,9561
2018-05-10,10016
2018-05-11,10016
2018-05-12,10426
2018-05-13,10426
2018-05-14,10426
2018-05-15,10933
2018-05-16,10933
2018-05-17,10933
2018-05-18,11455
2018-05-19,11455
2018-05-20,11455
2018-05-21,11905
2018-05-22,11905
2018-05-23,11905
2018-05-24,11905
2018-05-25,12491
2018-05-26,12491
2018-05-27,12491
2018-05-28,12491
2018-05-29,13033
2018-05-30,13033
2018-05-31,13033
2018-06-01,13033
2018-06-02,13629
2018-06-03,13629
2018-06-04,13629
2018-06-05,13629
2018-06-06,13629
2018-06-07,14247
2018-06-08,14247
2018-06-09,14247
2018-06-10,14247
2018-06-11,14247
2018-06-12,14944
2018-06-13,14944
2018-06-14,14944
2018-06-15,14944
2018-06-16,15592
2018-06-17,15592
2018-06-18,15592
2018-06-19,15592
2018-06-20,15592
2018-06-21,16360
2018-06-22,16360
2018-06-23,16360
2018-06-24,16360
2018-06-25,16360
2018-06-26,16360
2018-06-27,17085
2018-06-28,17085
2018-06-29,17085
2018-06-30,17085
2018-07-01,17085
2018-07-02,17085
2018-07-03,17085
2018-07-04,17846
2018-07-05,17846
2018-07-06,17846
2018-07-07,17846
2018-07-08,17846
2018-07-09,17846
2018-07-10,18705
2018-07-11,18705
2018-07-12,18705
2018-07-13,18705
2018-07-14,18705
2018-07-15,18705
2018-07-16,19614
2018-07-17,19614
2018-07-18,19614
2018-07-19,19614
2018-07-20,19614
2018-07-21,20440
2018-07-22,20440
2018-07-23,20440
2018-07-24,20440
2018-07-25,20440
2018-07-26,21263
2018-07-27,21263
2018-07-28,21263
2018-07-29,21263
2018-07-30,21263
2018-07-31,22283
2018-08-01,22283
2018-08-02,22283
2018-08-03,22283
2018-08-04,22283
2018-08-05,22283
2018-08-06,23302
2018-08-07,23302
2018-08-08,23302
2018-08-09,23302
2018-08-10,23302
2018-08-11,23302
2018-08-12,24307
2018-08-14,24307
2018-08-16,24307
2018-08-17,25417
2018-08-18,25417
2018-08-19,25417
2018-08-20,25417
2018-08-21,25417
2018-08-22,25417
2018-08-23,25417
2018-08-24,26624
2018-08-25,26624
2018-08-26,26624
2018-08-27,26624
2018-08-28,26624
2018-08-29,26624
2018-08-30,27919
2018-08-31,27919
2018-09-01,27919
2018-09-02,27919
2018-09-03,27919
2018-09-04,29215
2018-09-05,29215
2018-09-06,29215
2018-09-07,29215
2018-09-08,29215
2018-09-09,30641
2018-09-10,30641
2018-09-11,30641
2018-09-12,30641
2018-09-13,30641
2018-09-14,30641
2018-09-15,32126
2018-09-16,32126
2018-09-17,32126
2018-09-18,32126
2018-09-19,32126
2018-09-20,32126
2018-09-21,32126
2018-09-22,33503
2018-09-23,33503
2018-09-24,33503
2018-09-25,33503
2018-09-26,33503
2018-09-27,33503
2018-09-28,35133
2018-09-29,35133
2018-09-30,35133
2018-10-02,35133
2018-10-03,35133
2018-10-04,36713
2018-10-05,36713
2018-10-06,36713
2018-10-07,36713
2018-10-08,36713
2018-10-09,36713
2018-10-10,38495
2018-10-11,38495
2018-10-12,38495
2018-10-13,38495
2018-10-14,38495
2018-10-15,38495
2018-10-16,40383
2018-10-17,40383
2018-10-18,40383
2018-10-19,40383
2018-10-20,40383
2018-10-21,40383
2018-10-22,42122
2018-10-23,42122
2018-10-24,42122
2018-10-25,42122
2018-10-26,42122
2018-10-27,42122
2018-10-28,42122
2018-10-29,42122
2018-10-30,43722
2018-10-31,43722
2018-11-01,43722
2018-11-03,43722
2018-11-04,43722
2018-11-05,45604
2018-11-06,45604
2018-11-07,45604
2018-11-08,45604
2018-11-09,45604
2018-11-10,45604
2018-11-11,47826
2018-11-12,47826
2018-11-13,47826
2018-11-15,47826
2018-11-16,50137
2018-11-17,50137
2018-11-18,50137
2018-11-19,50137
2018-11-20,50137
2018-11-21,50137
2018-11-22,52481
2018-11-23,52481
2018-11-24,52481
2018-11-25,52481
2018-11-26,52481
2018-11-27,54956
2018-11-28,54956
2018-11-29,54956
2018-12-01,57528
2018-12-02,57528
2018-12-03,57528
2018-12-04,57528
2018-12-05,60044
2018-12-07,60044
2018-12-09,62809
2018-12-10,62809
2018-12-11,62809
2018-12-12,62809
2018-12-13,65854
2018-12-14,65854
2018-12-15,65854
2018-12-16,65854
2018-12-17,69066
2018-12-18,69066
2018-12-19,69066
2018-12-20,69066
2018-12-21,72320
2018-12-22,72320
2018-12-23,72320
2018-12-24,72320
2018-12-25,75709
2018-12-26,75709
2018-12-27,75709
2018-12-28,79340
2018-12-29,79340
2018-12-30,79340
2018-12-31,82974
2019-01-01,82974
2019-01-02,82974
2019-01-03,86925
2019-01-04,86925
2019-01-05,86925
2019-01-06,91112
2019-01-08,91112
2019-01-10,95154
2019-01-11,95154
2019-01-12,95154
2019-01-13,95154
2019-01-14,95154
2019-01-15,99833
2019-01-16,99833
2019-01-17,99833
2019-01-18,99833
2019-01-19,104158
2019-01-20,104158
2019-01-21,104158
2019-01-22,104158
2019-01-23,104158
2019-01-24,108797
2019-01-25,108797
2019-01-26,108797
2019-01-27,108797
2019-01-28,108797
2019-01-29,108797
2019-01-30,113835
2019-01-31,113835
2019-02-01,113835
2019-02-02,113835
2019-02-03,113835
2019-02-04,113835
2019-02-05,119185
2019-02-06,119185
2019-02-07,119185
2019-02-08,119185
2019-02-09,119185
2019-02-10,119185
2019-02-11,119185
2019-02-12,124775
2019-02-13,124775
2019-02-14,124775
2019-02-15,124775
2019-02-16,124775
2019-02-17,124775
2019-02-18,124775
2019-02-19,130219
2019-02-20,130219
2019-02-21,130219
2019-02-22,130219
2019-02-23,130219
2019-02-24,130219
2019-02-25,136412
2019-02-26,136412
2019-02-27,136412
2019-02-28,136412
2019-03-01,136412
2019-03-02,136412
2019-03-03,136412
2019-03-04,136412
2019-03-05,136412
2019-03-06,142789
2019-03-07,142789
2019-03-08,142789
2019-03-09,142789
2019-03-10,142789
2019-03-11,142789
2019-03-12,149450
2019-03-13,149450
2019-03-14,149450
2019-03-15,149450
2019-03-16,149450
2019-03-17,149450
2019-03-18,149450
2019-03-19,156428
2019-03-20,156428
2019-03-21,156428
2019-03-22,156428
2019-03-23,156428
2019-03-24,156428
2019-03-25,156428
2019-03-26,163766
2019-03-27,163766
2019-03-28,163766
2019-03-29,163766
2019-03-30,163766
2019-03-31,163766
2019-04-01,163766
2019-04-02,163766
2019-04-03,171157
2019-04-04,171157
2019-04-05,171157
2019-04-06,171157
2019-04-07,171157
2019-04-08,171157
2019-04-09,171157
2019-04-10,171157
2019-04-11,179411
2019-04-12,179411
2019-04-13,179411
2019-04-14,179411
2019-04-15,179411
2019-04-16,179411
2019-04-17,179411
2019-04-18,179411
2019-04-19,187831
2019-04-20,187831
2019-04-21,187831
2019-04-22,187831
2019-04-23,187831
2019-04-24,187831
2019-04-25,187831
2019-04-26,196932
2019-04-27,196932
2019-04-28,196932
2019-04-29,196932
2019-04-30,196932
2019-05-01,196932
2019-05-02,196932
2019-05-03,196932
2019-05-04,205454
2019-05-05,205454
2019-05-06,205454
2019-05-07,205454
2019-05-08,205454
2019-05-09,205454
2019-05-10,205454
2019-05-11,205454
2019-05-12,205454
2019-05-13,215322
2019-05-14,215322
2019-05-15,215322
2019-05-16,215322
2019-05-17,215322
2019-05-18,215322
2019-05-19,215322
2019-05-20,215322
2019-05-21,215322
2019-05-22,215322
2019-05-23,225416
2019-05-24,225416
2019-05-25,225416
2019-05-26,225416
2019-05-27,225416
2019-05-28,225416
2019-05-29,225416
2019-05-30,225416
2019-05-31,225416
2019-06-01,225416
2019-06-02,235913
2019-06-03,235913
2019-06-04,235913
2019-06-05,235913
2019-06-06,235913
2019-06-07,235913
2019-06-08,235913
2019-06-09,235913
2019-06-10,235913
2019-06-11,235913
2019-06-12,235913
2019-06-13,247464
2019-06-14,247464
2019-06-15,247464
2019-06-16,247464
2019-06-17,247464
2019-06-18,247464
2019-06-19,247464
2019-06-20,247464
2019-06-21,247464
2019-06-22,258779
2019-06-23,258779
2019-06-24,258779
2019-06-25,258779
2019-06-26,258779
2019-06-27,258779
2019-06-28,258779
2019-06-29,258779
2019-06-30,271022
2019-07-01,271022
2019-07-02,271022
2019-07-03,271022
2019-07-04,271022
2019-07-05,271022
2019-07-06,271022
2019-07-07,271022
2019-07-08,271022
2019-07-09,271022
2019-07-10,271022
2019-07-11,284085
2019-07-12,284085
2019-07-13,284085
2019-07-14,284085
2019-07-15,284085
2019-07-16,284085
2019-07-17,284085
2019-07-18,284085
2019-07-19,284085
2019-07-20,284085
