date_obj,Verac's%20flail price
2016-02-15,176652
2016-02-16,176652
2016-02-17,174634
2016-02-18,174634
2016-02-19,166324
2016-02-20,159242
2016-02-21,159983
2016-02-22,159983
2016-02-23,164081
2016-02-24,164081
2016-02-25,157405
2016-02-26,157405
2016-02-27,153831
2016-02-28,154981
2016-02-29,156317
2016-03-01,157452
2016-03-02,157452
2016-03-03,158995
2016-03-04,157919
2016-03-05,156502
2016-03-06,157563
2016-03-07,157563
2016-03-08,153341
2016-03-09,152704
2016-03-10,158784
2016-03-11,163308
2016-03-12,159362
2016-03-13,159362
2016-03-14,154853
2016-03-15,150683
2016-03-16,148263
2016-03-17,146445
2016-03-18,141510
2016-03-19,142771
2016-03-20,144489
2016-03-21,144489
2016-03-22,144780
2016-03-23,148311
2016-03-24,147710
2016-03-25,146510
2016-03-26,143689
2016-03-27,143689
2016-03-28,140754
2016-03-29,133917
2016-03-30,133917
2016-03-31,127268
2016-04-01,127268
2016-04-02,121078
2016-04-03,119432
2016-04-04,124221
2016-04-05,124221
2016-04-06,129206
2016-04-07,129206
2016-04-08,135030
2016-04-09,141648
2016-04-10,148731
2016-04-11,148731
2016-04-12,156168
2016-04-13,163121
2016-04-14,171111
2016-04-15,179667
2016-04-16,186467
2016-04-17,184045
2016-04-18,174842
2016-04-19,166099
2016-04-20,158142
2016-04-21,154956
2016-04-22,154956
2016-04-23,151460
2016-04-24,150710
2016-04-25,150537
2016-04-26,146278
2016-04-27,143927
2016-04-28,143952
2016-04-29,143952
2016-04-30,145374
2016-05-01,146483
2016-05-02,143931
2016-05-03,145775
2016-05-04,139932
2016-05-05,137977
2016-05-06,137977
2016-05-07,133938
2016-05-08,133938
2016-05-09,131528
2016-05-10,126622
2016-05-11,126622
2016-05-12,121558
2016-05-13,118947
2016-05-14,119154
2016-05-15,118276
2016-05-16,118574
2016-05-17,115199
2016-05-18,113118
2016-05-19,113118
2016-05-22,121281
2016-05-23,117134
2016-05-24,116156
2016-05-25,114194
2016-05-26,114199
2016-05-27,112997
2016-05-28,112997
2016-05-29,112974
2016-05-30,112974
2016-05-31,111004
2016-06-01,109004
2016-06-02,110124
2016-06-03,113804
2016-06-04,117642
2016-06-05,117642
2016-06-06,119684
2016-06-07,119684
2016-06-08,116707
2016-06-09,116245
2016-06-10,115893
2016-06-11,114401
2016-06-12,112230
2016-06-13,112230
2016-06-14,109561
2016-06-15,109282
2016-06-16,109282
2016-06-17,110170
2016-06-18,110170
2016-06-19,115080
2016-06-20,120692
2016-06-21,126727
2016-06-22,132900
2016-06-23,139423
2016-06-24,145797
2016-06-25,153076
2016-06-26,153076
2016-06-27,160730
2016-06-28,168767
2016-06-29,177166
2016-06-30,185647
2016-07-01,194930
2016-07-02,204563
2016-07-03,214792
2016-07-04,225532
2016-07-05,236809
2016-07-06,247872
2016-07-07,246595
2016-07-08,234932
2016-07-09,223185
