date_obj,Gold%20necklace price
2015-03-26,977
2015-03-27,977
2015-03-28,929
2015-03-29,884
2015-03-30,841
2015-03-31,799
2015-04-01,799
2015-04-02,761
2015-04-03,722
2015-04-04,686
2015-04-05,686
2015-04-06,652
2015-04-07,619
2015-04-08,619
2015-04-09,589
2015-04-10,560
2015-04-11,532
2015-04-12,505
2015-04-13,482
2015-04-14,482
2015-04-15,458
2015-04-16,458
2015-04-17,436
2015-04-18,415
2015-04-19,397
2015-04-20,397
2015-04-21,377
2015-04-22,377
2015-04-23,358
2015-04-24,358
2015-04-25,340
2015-04-26,340
2015-04-27,323
2015-04-28,309
2015-04-29,309
2015-04-30,293
2015-05-01,293
2015-05-02,279
2015-05-03,279
2015-05-04,266
2015-05-05,266
2015-05-06,260
2015-05-07,260
2015-05-08,249
2015-05-09,249
2015-05-10,236
2015-05-11,236
2015-05-12,224
2015-05-13,224
2015-05-14,216
2015-05-15,216
2015-05-16,206
2015-05-17,196
2015-05-18,196
2015-05-19,188
2015-05-20,188
2015-05-21,188
2015-05-22,183
2015-05-23,183
2015-05-24,181
2015-05-25,181
2015-05-26,182
2015-05-27,182
2015-05-28,177
2015-05-29,177
2015-05-30,175
2015-05-31,175
2015-06-01,173
2015-06-02,173
2015-06-03,167
2015-06-04,167
2015-06-05,171
2015-06-06,171
2015-06-07,175
2015-06-08,175
2015-06-09,176
2015-06-10,176
2015-06-11,180
2015-06-12,180
2015-06-13,181
2015-06-14,181
2015-06-15,183
2015-06-16,183
2015-06-17,188
2015-06-18,188
2015-06-19,186
2015-06-20,186
2015-06-21,180
2015-06-22,180
2015-06-23,176
2015-06-24,176
2015-06-25,180
2015-06-26,180
2015-06-27,187
2015-06-28,187
2015-06-29,186
2015-06-30,186
2015-07-01,181
2015-07-02,181
2015-07-03,181
2015-07-04,181
2015-07-05,189
2015-07-06,189
2015-07-07,190
2015-07-08,190
2015-07-09,190
2015-07-10,190
2015-07-11,188
2015-07-12,188
2015-07-13,190
2015-07-14,190
2015-07-15,186
2015-07-16,186
2015-07-17,192
2015-07-18,192
2015-07-19,192
2015-07-20,192
2015-07-21,187
2015-07-22,187
2015-07-23,182
2015-07-24,182
2015-07-25,182
2015-07-26,182
2015-07-27,182
2015-07-28,182
2015-07-29,189
2015-07-30,189
2015-07-31,189
2015-08-01,191
2015-08-02,191
2015-08-03,195
2015-08-04,195
2015-08-05,189
2015-08-06,189
2015-08-07,189
2015-08-08,189
