date_obj,Dark%20infinity%20colour%20kit price
2015-03-26,211223
2015-03-27,211223
2015-03-28,201317
2015-03-29,201317
2015-03-30,191830
2015-03-31,191830
2015-04-01,182594
2015-04-02,182594
2015-04-03,174039
2015-04-04,174039
2015-04-05,174039
2015-04-06,165337
2015-04-07,165337
2015-04-08,157271
2015-04-09,157271
2015-04-10,149788
2015-04-11,149788
2015-04-12,143268
2015-04-13,143268
2015-04-14,143268
2015-04-15,136118
2015-04-16,136118
2015-04-17,129672
2015-04-18,129672
2015-04-19,123510
2015-04-20,123510
2015-04-21,123510
2015-04-22,118278
2015-04-23,118278
2015-04-24,118278
2015-04-25,112512
2015-04-26,112512
2015-04-27,106886
2015-04-28,106886
2015-04-29,102383
2015-04-30,102383
2015-05-01,97263
2015-05-02,97263
2015-05-03,92399
2015-05-04,92399
2015-05-05,87779
2015-05-06,87779
2015-05-07,83535
2015-05-08,83535
2015-05-09,79630
2015-05-10,79630
2015-05-11,75648
2015-05-12,72167
2015-05-13,72167
2015-05-14,69009
2015-05-15,69009
2015-05-16,69009
2015-05-17,65716
2015-05-18,62766
2015-05-19,62766
2015-05-20,60711
2015-05-21,60711
2015-05-22,60556
2015-05-23,60556
2015-05-24,59015
2015-05-25,60053
2015-05-26,60271
2015-05-27,60271
2015-05-28,61079
2015-05-29,61079
2015-05-30,63632
2015-05-31,63632
2015-06-01,66410
2015-06-02,66410
2015-06-03,66410
2015-06-04,68971
2015-06-05,68971
2015-06-06,72402
2015-06-07,72402
2015-06-08,75852
2015-06-09,75852
2015-06-10,76607
2015-06-11,76607
2015-06-12,76607
2015-06-13,73929
2015-06-14,73929
2015-06-15,71061
2015-06-16,71061
2015-06-17,68308
2015-06-18,68308
2015-06-19,65482
2015-06-20,65482
2015-06-21,63517
2015-06-22,63517
2015-06-23,61825
2015-06-24,61805
2015-06-25,61805
2015-06-26,60033
2015-06-27,60033
2015-06-28,57031
2015-06-29,57031
2015-06-30,54326
2015-07-01,54326
2015-07-02,52459
2015-07-03,52459
2015-07-04,50224
2015-07-05,50224
2015-07-06,49674
2015-07-07,49674
2015-07-08,51016
2015-07-09,51016
2015-07-10,53416
2015-07-11,53416
2015-07-12,56087
2015-07-13,56087
2015-07-14,58892
2015-07-15,58892
2015-07-16,61834
2015-07-17,64752
2015-07-18,64752
2015-07-19,67368
2015-07-20,67368
2015-07-21,70734
2015-07-22,74271
2015-07-23,74271
2015-07-24,77985
2015-07-25,77985
2015-07-26,81885
2015-07-27,85882
2015-07-28,85882
2015-07-29,90150
2015-07-30,90150
2015-07-31,94658
2015-08-01,94658
2015-08-02,99391
2015-08-03,99391
2015-08-04,104361
2015-08-05,109580
2015-08-06,109580
2015-08-07,115059
2015-08-08,120636
2015-08-09,126600
2015-08-10,126600
2015-08-11,132702
2015-08-12,132702
2015-08-13,135818
2015-08-14,142609
2015-08-15,142609
2015-08-16,149740
2015-08-17,156681
2015-08-18,156681
2015-08-19,164516
2015-08-20,164516
2015-08-21,171981
2015-08-22,178685
2015-08-23,178685
2015-08-24,182356
2015-08-25,182356
2015-08-26,182003
2015-08-27,174265
2015-08-28,167679
2015-08-29,159462
2015-08-30,159462
2015-08-31,152577
2015-09-01,148982
2015-09-02,148982
2015-09-03,143220
2015-09-04,136343
2015-09-05,136343
2015-09-06,130058
2015-09-07,130058
2015-09-08,128566
2015-09-09,128566
2015-09-10,125306
2015-09-11,124356
2015-09-12,123870
2015-09-13,123057
2015-09-14,122077
2015-09-15,121516
2015-09-16,121516
2015-09-17,118591
2015-09-18,118591
2015-09-19,116673
2015-09-20,116673
2015-09-21,117223
2015-09-22,117222
2015-09-23,118445
2015-09-24,118445
2015-09-25,120503
2015-09-27,122549
2015-09-28,123168
2015-09-29,123168
2015-09-30,125006
2015-10-05,127117
2015-10-06,126949
2015-10-07,126949
2015-10-08,131198
2015-10-09,131898
2015-10-10,131898
2015-10-11,131978
2015-10-12,132238
2015-10-13,132238
2015-10-14,133101
2015-10-15,132897
2015-10-16,132642
2015-10-17,132642
2015-10-18,131572
2015-10-19,131016
2015-10-20,131016
2015-10-22,131503
2015-10-23,131714
2015-10-24,131714
2015-10-25,130698
2015-10-26,130084
2015-10-27,130084
2015-10-29,130258
2015-10-30,128825
2015-10-31,129862
2015-11-01,129862
2015-11-02,130528
2015-11-03,130528
2015-11-04,133005
2015-11-05,133005
2015-11-06,132797
2015-11-07,132911
2015-11-08,132911
2015-11-09,132014
2015-11-10,132014
2015-11-11,132265
2015-11-12,132265
2015-11-13,133209
2015-11-14,133209
