date_obj,Elven%20skirt%20(yellow) price
2019-07-24,5000
2019-07-25,4960
2019-07-26,4960
2019-07-27,4942
2019-07-28,4942
2019-07-29,4942
2019-07-30,4891
2019-07-31,4891
2019-08-01,4891
2019-08-02,5077
2019-08-03,5077
2019-08-04,5077
2019-08-05,5181
2019-08-06,5181
2019-08-07,5181
2019-08-08,5181
2019-08-09,5181
2019-08-10,5202
2019-08-11,5202
2019-08-12,5202
2019-08-13,5202
2019-08-14,4996
2019-08-15,4996
2019-08-16,4996
2019-08-17,4996
2019-08-18,5028
2019-08-19,5028
2019-08-20,5028
2019-08-21,5028
2019-08-22,5028
2019-08-23,5028
2019-08-24,4969
2019-08-24,4969
2019-08-25,4969
2019-08-25,4969
2019-08-26,4969
2019-08-26,4969
2019-08-27,4969
2019-08-27,4969
2019-08-28,4969
2019-08-29,4969
2019-08-30,5150
2019-08-31,5150
2019-09-01,5150
2019-09-02,5150
2019-09-03,5150
2019-09-04,5150
2019-09-05,5296
2019-09-06,5296
2019-09-07,5296
2019-09-08,5296
2019-09-09,5296
2019-09-10,5296
2019-09-11,5296
2019-09-12,5388
2019-09-13,5388
2019-09-14,5388
2019-09-15,5388
2019-09-16,5388
2019-09-17,5388
2019-09-18,5388
2019-09-19,5594
2019-09-20,5594
2019-09-21,5594
2019-09-22,5594
2019-09-23,5594
2019-09-24,5594
2019-09-25,5733
2019-09-26,5733
2019-09-27,5733
2019-09-28,5733
2019-09-29,5733
2019-09-30,5733
2019-10-01,5733
2019-10-02,6004
2019-10-03,6004
2019-10-04,6004
2019-10-05,6004
2019-10-06,6004
2019-10-07,6004
2019-10-08,6004
2019-10-09,6004
2019-10-10,6139
2019-10-11,6139
2019-10-12,6139
2019-10-13,6139
2019-10-14,6139
2019-10-15,6139
2019-10-16,6139
2019-10-17,6139
2019-10-18,6140
2019-10-19,6140
2019-10-20,6140
2019-10-21,6140
2019-10-22,6140
2019-10-23,6140
2019-10-24,6140
2019-10-25,6140
2019-10-26,6290
2019-10-27,6290
2019-10-28,6290
2019-10-29,6290
2019-10-30,6290
2019-10-31,6290
2019-11-01,6290
2019-11-02,6290
2019-11-03,6290
2019-11-04,6240
2019-11-05,6240
2019-11-06,6240
2019-11-07,6240
2019-11-08,6240
2019-11-09,6240
2019-11-10,6240
2019-11-11,6240
2019-11-12,6251
2019-11-13,6251
2019-11-14,6251
2019-11-15,6251
2019-11-16,6251
2019-11-17,6251
2019-11-18,6251
2019-11-19,6251
2019-11-20,6251
2019-11-21,6251
2019-11-22,6243
2019-11-23,6243
2019-11-24,6243
2019-11-25,6243
2019-11-26,6243
2019-11-27,6243
2019-11-28,6243
2019-11-29,6243
2019-11-30,6243
2019-12-01,6188
2019-12-02,6188
2019-12-03,6188
2019-12-04,6188
2019-12-05,6188
2019-12-06,6188
2019-12-07,6188
2019-12-08,6188
2019-12-09,6188
2019-12-10,6302
2019-12-11,6302
2019-12-12,6302
2019-12-13,6302
2019-12-14,6302
2019-12-15,6302
2019-12-16,6302
