date_obj,Ensouled%20goblin%20head price
2016-01-08,560
2016-01-09,588
2016-01-10,578
2016-01-11,549
2016-01-12,522
2016-01-13,496
2016-01-14,483
2016-01-15,460
2016-01-16,443
2016-01-17,460
2016-01-18,460
2016-01-19,460
2016-01-20,460
2016-01-21,460
2016-01-22,460
2016-01-23,448
2016-01-24,426
2016-01-25,404
2016-01-26,384
2016-01-27,369
2016-01-28,355
2016-01-29,337
2016-01-30,323
2016-01-31,308
2016-02-01,295
2016-02-02,285
2016-02-03,273
2016-02-04,263
2016-02-05,251
2016-02-06,238
2016-02-07,242
2016-02-08,231
2016-02-09,227
2016-02-10,219
2016-02-11,209
2016-02-12,204
2016-02-13,199
2016-02-14,190
2016-02-15,180
2016-02-16,177
2016-02-17,186
2016-02-18,183
2016-02-19,177
2016-02-20,186
2016-02-21,193
2016-02-22,193
2016-02-23,192
2016-02-24,192
2016-02-25,192
2016-02-26,192
2016-02-27,189
2016-02-28,183
2016-02-29,175
2016-03-01,168
2016-03-02,166
2016-03-03,161
2016-03-04,167
2016-03-05,169
2016-03-06,171
2016-03-07,171
2016-03-08,171
2016-03-09,171
2016-03-10,173
2016-03-11,172
2016-03-12,171
2016-03-13,171
2016-03-14,171
2016-03-15,171
2016-03-16,172
2016-03-17,173
2016-03-18,181
2016-03-19,182
2016-03-20,183
2016-03-21,182
2016-03-22,182
2016-03-23,182
2016-03-24,182
2016-03-25,182
2016-03-26,183
2016-03-27,175
2016-03-28,176
2016-03-29,175
2016-03-30,175
2016-03-31,175
2016-04-01,175
2016-04-02,175
2016-04-03,175
2016-04-04,175
2016-04-05,175
2016-04-06,175
2016-04-07,175
2016-04-08,176
2016-04-09,175
2016-04-10,176
2016-04-11,176
2016-04-12,175
2016-04-13,181
2016-04-14,172
2016-04-15,165
2016-04-16,156
2016-04-17,149
2016-04-18,144
2016-04-19,137
2016-04-20,131
2016-04-21,128
2016-04-22,122
2016-04-23,116
2016-04-24,116
2016-04-25,116
2016-04-26,110
2016-04-27,105
2016-04-28,100
2016-04-29,96
2016-04-30,91
2016-05-01,87
2016-05-02,83
2016-05-03,83
2016-05-04,79
2016-05-05,76
2016-05-06,73
2016-05-07,74
2016-05-08,76
2016-05-09,76
2016-05-10,73
2016-05-11,70
2016-05-12,68
2016-05-13,65
2016-05-14,61
2016-05-15,61
2016-05-16,62
2016-05-17,63
2016-05-18,63
2016-05-19,63
2016-05-22,66
2016-05-23,70
2016-05-24,71
2016-05-25,72
2016-05-26,72
2016-05-27,72
2016-05-28,72
2016-05-29,72
2016-05-30,72
2016-05-31,73
2016-06-01,73
2016-06-02,70
2016-06-03,70
2016-06-04,74
2016-06-05,78
2016-06-06,82
2016-06-07,82
2016-06-08,87
2016-06-09,84
2016-06-10,80
2016-06-11,79
2016-06-12,80
2016-06-13,80
2016-06-14,78
2016-06-15,75
2016-06-16,72
2016-06-17,71
2016-06-18,71
2016-06-19,68
2016-06-20,65
2016-06-21,61
2016-06-22,60
2016-06-23,57
2016-06-24,56
2016-06-25,55
2016-06-26,53
2016-06-27,51
2016-06-28,49
2016-06-29,50
2016-06-30,51
2016-07-01,51
2016-07-02,53
2016-07-03,51
2016-07-04,48
2016-07-05,47
2016-07-06,45
2016-07-07,44
2016-07-08,44
2016-07-09,44
2016-07-10,45
2016-07-11,44
2016-07-12,44
2016-07-13,44
2016-07-14,44
2016-07-15,47
2016-07-16,50
2016-07-17,52
2016-07-18,54
2016-07-23,52
2016-07-24,53
2016-07-25,55
2016-07-26,55
2016-07-27,56
2016-07-28,55
2016-07-29,55
2016-07-30,56
2016-07-31,56
2016-08-01,59
2016-08-02,61
2016-08-03,59
2016-08-04,60
2016-08-05,60
2016-08-06,59
2016-08-07,58
2016-08-08,58
2016-08-09,56
2016-08-10,57
2016-08-11,57
2016-08-12,59
2016-08-13,62
2016-08-14,66
2016-08-15,70
2016-08-16,74
2016-08-17,74
2016-08-18,71
2016-08-19,68
2016-08-20,71
2016-08-21,71
2016-08-22,70
2016-08-23,67
2016-08-24,66
2016-08-25,66
2016-08-26,70
2016-08-28,67
2016-08-31,64
2016-09-01,65
2016-09-02,65
2016-09-03,65
2016-09-04,66
2016-09-05,67
2016-09-06,67
2016-09-07,70
2016-09-08,70
2016-09-09,67
2016-09-10,69
2016-09-11,69
2016-09-12,70
2016-09-13,70
2016-09-14,70
2016-09-15,66
2016-09-16,66
2016-09-17,66
2016-09-18,66
2016-09-19,65
2016-09-20,65
2016-09-21,65
2016-09-22,66
2016-09-23,66
2016-09-24,66
2016-09-25,66
2016-09-26,66
2016-09-27,70
2016-09-28,74
2016-09-29,74
2016-09-30,70
2016-10-01,70
2016-10-02,70
2016-10-03,69
2016-10-04,66
2016-10-05,65
2016-10-06,66
2016-10-07,66
2016-10-08,65
2016-10-09,65
2016-10-10,65
2016-10-11,68
2016-10-12,68
2016-10-13,70
2016-10-14,67
2016-10-15,66
2016-10-16,66
2016-10-17,70
2016-10-18,70
2016-10-19,74
2016-10-20,74
2016-10-21,78
2016-10-22,78
2016-10-23,82
2016-10-24,87
2016-10-25,87
2016-10-26,92
2016-10-27,92
2016-10-28,97
2016-10-29,100
2016-10-30,102
2016-10-31,97
2016-11-01,97
2016-11-02,94
2016-11-03,94
2016-11-04,90
2016-11-05,90
2016-11-06,94
2016-11-07,90
2016-11-08,85
2016-11-09,81
2016-11-10,77
2016-11-11,77
2016-11-12,78
2016-11-13,78
2016-11-14,75
2016-11-15,76
2016-12-07,78
2016-12-08,82
2016-12-09,87
2016-12-10,87
2016-12-11,92
2016-12-12,97
2016-12-13,100
2016-12-14,101
2016-12-15,101
2016-12-16,101
2016-12-17,101
2016-12-18,101
2016-12-19,100
2016-12-20,100
2016-12-21,100
2016-12-22,100
2016-12-23,102
2016-12-24,102
2016-12-25,108
2016-12-26,114
2016-12-27,120
2016-12-28,126
2016-12-29,133
2016-12-30,140
2016-12-31,147
2017-01-01,155
2017-01-02,163
2017-01-03,172
2017-01-04,168
2017-01-05,176
2017-01-06,185
2017-01-07,195
2017-01-08,203
2017-01-09,203
2017-01-10,203
2017-01-11,204
2017-01-12,213
2017-01-13,214
2017-01-14,213
2017-01-15,213
2017-01-16,220
2017-01-17,225
2017-01-18,225
2017-01-19,225
2017-01-20,225
2017-01-21,225
2017-01-22,225
2017-01-23,225
2017-01-27,231
2017-01-28,226
2017-01-29,222
2017-01-30,212
2017-01-31,203
2017-02-01,193
2017-02-02,185
2017-02-03,176
2017-02-04,168
2017-02-05,160
2017-02-06,153
2017-02-07,146
2017-02-08,139
2017-02-09,132
2017-02-10,126
2017-02-11,124
2017-02-12,122
2017-02-13,115
2017-02-14,109
2017-02-15,108
2017-02-16,107
2017-02-18,104
2017-02-19,110
2017-02-20,109
2017-02-21,104
2017-02-22,100
2017-02-23,95
2017-02-24,95
2017-02-25,91
2017-02-26,92
2017-02-27,88
2017-02-28,86
2017-03-01,83
2017-03-02,79
2017-03-03,76
2017-03-04,74
2017-03-05,72
2017-03-06,68
2017-03-07,65
2017-03-08,65
2017-03-09,62
2017-03-10,58
2017-03-11,60
2017-03-12,58
2017-03-13,56
2017-03-14,55
2017-03-15,58
2017-03-16,59
2017-03-17,60
2017-03-18,63
2017-03-19,67
2017-03-20,71
2017-03-21,75
2017-03-22,78
2017-03-23,80
2017-03-24,82
2017-03-25,82
2017-03-26,82
2017-03-27,78
2017-03-28,76
2017-03-29,75
2017-03-30,75
2017-03-31,77
2017-04-01,75
2017-04-02,75
2017-04-03,73
2017-04-04,72
2017-04-12,61
2017-04-13,60
2017-04-14,60
2017-04-15,58
2017-04-16,55
2017-04-17,52
2017-04-18,52
2017-04-19,52
2017-04-20,50
2017-04-21,49
2017-04-22,49
2017-04-23,50
2017-04-24,53
2017-04-25,56
2017-04-26,56
2017-04-27,58
2017-04-28,56
