date_obj,Adamant%20trimmed%20set%20(sk) price
2015-03-26,55000
2015-03-27,55000
2015-03-28,55000
2015-03-29,55000
2015-03-30,55000
2015-03-31,55000
2015-04-01,55000
2015-04-02,55000
2015-04-03,55000
2015-04-04,55000
2015-04-05,55000
2015-04-06,55000
2015-04-07,55000
2015-04-08,55000
2015-04-09,55000
2015-04-10,55000
2015-04-11,55000
2015-04-12,55000
2015-04-13,55000
2015-04-14,55000
2015-04-15,55000
2015-04-16,55000
2015-04-17,55000
2015-04-18,55000
2015-04-19,55000
2015-04-20,55000
2015-04-21,56294
2015-04-22,56294
2015-04-23,56294
2015-04-24,56294
2015-04-25,56294
2015-04-26,56294
2015-04-27,56294
2015-04-28,56294
2015-04-29,56294
2015-04-30,56294
2015-05-01,56294
2015-05-02,56294
2015-05-03,56294
2015-05-04,56294
2015-05-05,56294
2015-05-06,56294
2015-05-07,56294
2015-05-08,56294
2015-05-09,56294
2015-05-10,56294
2015-05-11,56294
2015-05-12,56294
2015-05-13,56294
2015-05-14,56294
2015-05-15,56294
2015-05-16,56294
2015-05-17,56294
2015-05-18,56294
2015-05-19,56294
2015-05-20,56294
2015-05-21,56294
2015-05-22,56294
2015-05-23,56294
2015-05-24,56294
2015-05-25,56294
2015-05-26,56294
2015-05-27,56294
2015-05-28,56294
2015-05-29,56294
2015-05-30,56294
2015-05-31,56294
2015-06-01,56294
2015-06-02,56294
2015-06-03,56294
2015-06-04,56294
2015-06-05,56294
2015-06-06,56294
2015-06-07,56294
2015-06-08,56294
2015-06-09,56294
2015-06-10,56294
2015-06-11,56294
2015-06-12,57595
2015-06-13,57595
2015-06-14,57595
2015-06-15,57595
2015-06-16,57595
2015-06-17,57595
2015-06-18,57595
2015-06-19,57595
2015-06-20,57595
2015-06-21,57595
2015-06-22,57595
2015-06-23,57595
2015-06-24,57595
2015-06-25,57595
2015-06-26,57595
2015-06-27,57595
2015-06-28,57595
2015-06-29,57595
2015-06-30,57595
2015-07-01,57595
2015-07-02,57595
2015-07-03,57595
2015-07-04,57595
2015-07-05,57595
2015-07-06,57595
2015-07-07,57595
2015-07-08,57595
2015-07-09,57595
2015-07-10,57595
2015-07-11,57595
2015-07-12,57595
2015-07-13,57595
2015-07-14,57595
2015-07-15,57595
2015-07-16,57595
2015-07-17,57595
2015-07-18,57595
2015-07-19,57595
2015-07-20,57595
2015-07-21,57595
2015-07-22,57595
2015-07-23,57595
2015-07-24,57595
2015-07-25,57595
2015-07-26,57595
2015-07-27,57595
2015-07-28,57595
2015-07-29,57595
2015-07-30,57231
2015-07-31,57231
2015-08-01,57231
2015-08-02,57231
2015-08-03,57231
2015-08-04,57231
2015-08-05,57231
2015-08-06,57231
2015-08-07,57231
2015-08-08,57231
2015-08-09,57231
2015-08-10,57231
2015-08-11,57231
2015-08-12,57231
2015-08-13,57231
2015-08-14,57231
2015-08-15,57231
2015-08-16,57231
2015-08-17,57231
2015-08-18,57231
2015-08-19,57231
2015-08-20,57231
2015-08-21,57231
2015-08-22,57231
2015-08-23,57231
2015-08-24,57231
2015-08-25,57231
2015-08-26,57231
2015-08-27,57231
2015-08-28,57231
2015-08-29,57231
2015-08-30,57231
2015-08-31,57231
2015-09-01,57231
2015-09-02,57231
2015-09-03,57231
2015-09-04,57231
2015-09-05,57231
2015-09-06,57231
2015-09-07,57231
2015-09-08,57231
2015-09-09,57231
2015-09-10,57231
2015-09-11,57231
2015-09-12,57231
2015-09-13,57231
2015-09-14,57231
2015-09-15,57231
2015-09-16,57231
2015-09-17,54787
2015-09-18,54787
2015-09-19,54787
2015-09-20,54787
2015-09-21,54787
2015-09-22,54787
2015-09-23,54787
2015-09-24,54787
2015-09-25,54787
2015-09-27,54787
2015-09-28,54787
2015-09-29,54787
2015-09-30,54787
2015-10-05,54787
2015-10-06,54787
2015-10-07,54787
2015-10-08,54787
2015-10-09,54787
2015-10-10,54787
2015-10-11,54787
2015-10-12,54787
2015-10-13,54787
2015-10-14,54787
2015-10-15,54787
2015-10-16,54787
2015-10-17,54787
2015-10-18,54787
2015-10-19,54787
2015-10-20,54787
2015-10-22,54787
2015-10-23,54787
2015-10-24,54787
2015-10-25,54787
2015-10-26,54787
2015-10-27,54787
2015-10-28,54787
2015-10-29,54787
2015-10-30,54787
2015-10-31,54787
2015-11-01,54787
