date_obj,Guthix%20crozier price
2015-03-26,31022
2015-03-27,31022
2015-03-28,29713
2015-03-29,28259
2015-03-30,27250
2015-03-31,26537
2015-04-01,25966
2015-04-02,24857
2015-04-03,24131
2015-04-04,23372
2015-04-05,22484
2015-04-06,21511
2015-04-07,20475
2015-04-08,19707
2015-04-09,18721
2015-04-10,17894
2015-04-11,17086
2015-04-12,16454
2015-04-13,15837
2015-04-14,15454
2015-04-15,14802
2015-04-16,14137
2015-04-17,13913
2015-04-18,13853
2015-04-19,13600
2015-04-20,13488
2015-04-21,12918
2015-04-22,12553
2015-04-23,12281
2015-04-24,11847
2015-04-25,11340
2015-04-26,11433
2015-04-27,11397
2015-04-28,11448
2015-04-29,11448
2015-04-30,11716
2015-05-01,12183
2015-05-02,12599
2015-05-03,13189
2015-05-04,13849
2015-05-05,14395
2015-05-06,14688
2015-05-07,15245
2015-05-08,15926
2015-05-09,16447
2015-05-10,16678
2015-05-11,16318
2015-05-12,15957
2015-05-13,15437
2015-05-14,14796
2015-05-15,14325
2015-05-16,13795
2015-05-17,13369
2015-05-18,13329
2015-05-19,13960
2015-05-20,13960
2015-05-21,14453
2015-05-22,15091
2015-05-23,15834
2015-05-24,16263
2015-05-25,16330
2015-05-26,16108
2015-05-27,15948
2015-05-28,15514
2015-05-29,15119
2015-05-30,14873
2015-05-31,14212
2015-06-01,13605
2015-06-02,13605
2015-06-03,13175
2015-06-04,12721
2015-06-05,12293
2015-06-06,11711
2015-06-07,11397
2015-06-08,11397
2015-06-09,11021
2015-06-10,10889
2015-06-11,10889
2015-06-12,10548
2015-06-13,10194
2015-06-14,10005
2015-06-15,10005
2015-06-16,9628
2015-06-17,9517
2015-06-18,9413
2015-06-19,9586
2015-06-20,9755
2015-06-21,9981
2015-06-22,10027
2015-06-23,10210
2015-06-24,10286
2015-06-25,10286
2015-06-26,10392
2015-06-27,10392
2015-06-28,10517
2015-06-29,10518
2015-06-30,10610
2015-07-01,10739
2015-07-02,10739
2015-07-03,10626
2015-07-04,10808
2015-07-05,10808
2015-07-06,10840
2015-07-07,10992
2015-07-08,10824
2015-07-09,10824
2015-07-10,10982
2015-07-11,10982
2015-07-12,10905
2015-07-13,10731
2015-07-14,10729
2015-07-15,10672
2015-07-16,10672
2015-07-17,10838
2015-07-18,10838
2015-07-19,11150
2015-07-20,11371
2015-07-21,11679
2015-07-22,11927
2015-07-23,11927
2015-07-24,12340
2015-07-25,12340
2015-07-26,12656
2015-07-27,12840
2015-07-28,12840
2015-07-29,13293
2015-07-30,13293
2015-07-31,13140
2015-08-01,13140
2015-08-02,12687
2015-08-03,12687
2015-08-04,12162
2015-08-05,12015
2015-08-06,12015
2015-08-07,11676
2015-08-08,11331
2015-08-09,11176
2015-08-10,10741
2015-08-11,10555
2015-08-12,10555
2015-08-13,10138
2015-08-14,9824
2015-08-15,9824
2015-08-16,9625
2015-08-17,9305
2015-08-18,8974
2015-08-19,8525
2015-08-20,8117
2015-08-21,7711
2015-08-22,7629
2015-08-23,7629
2015-08-24,7543
2015-08-25,7543
2015-08-26,7659
2015-08-27,7475
2015-08-28,7475
2015-08-29,7121
2015-08-30,6795
2015-08-31,6455
2015-09-01,6347
2015-09-02,6347
2015-09-03,6173
2015-09-04,6133
2015-09-05,6133
2015-09-06,6307
2015-09-07,6389
2015-09-08,6306
2015-09-09,6176
2015-09-10,6331
2015-09-11,6534
2015-09-12,6649
2015-09-13,6770
2015-09-14,6981
2015-09-15,7052
2015-09-16,7052
2015-09-17,7227
2015-09-18,7227
2015-09-19,7268
2015-09-20,7308
2015-09-21,7308
