date_obj,Cannon%20stand price
2015-03-26,171956
2015-03-27,171956
2015-03-28,171956
2015-03-29,171956
2015-03-30,174750
2015-03-31,174750
2015-04-01,174750
2015-04-02,174750
2015-04-03,174750
2015-04-04,179848
2015-04-05,179848
2015-04-06,179848
2015-04-07,179848
2015-04-08,179848
2015-04-09,182184
2015-04-10,182184
2015-04-11,182184
2015-04-12,182184
2015-04-13,182184
2015-04-14,176874
2015-04-15,176874
2015-04-16,176874
2015-04-17,176874
2015-04-18,176874
2015-04-19,174961
2015-04-20,174961
2015-04-21,174961
2015-04-22,174961
2015-04-23,174961
2015-04-24,174961
2015-04-25,172432
2015-04-26,172432
2015-04-27,172432
2015-04-28,172432
2015-04-29,172432
2015-04-30,177556
2015-05-01,177556
2015-05-02,177556
2015-05-03,177556
2015-05-04,177556
2015-05-05,179586
2015-05-06,179586
2015-05-07,179586
2015-05-08,179586
2015-05-09,179586
2015-05-10,185951
2015-05-11,185951
2015-05-12,185951
2015-05-13,185951
2015-05-14,185951
2015-05-15,185951
2015-05-16,181227
2015-05-17,181227
2015-05-18,181227
2015-05-19,181227
2015-05-20,181227
2015-05-21,183527
2015-05-22,183527
2015-05-23,183527
2015-05-24,183527
2015-05-25,183527
2015-05-26,182236
2015-05-27,182236
2015-05-28,182236
2015-05-29,182236
2015-05-30,178652
2015-05-31,178652
2015-06-01,178652
2015-06-02,178652
2015-06-03,178652
2015-06-04,178255
2015-06-05,178255
2015-06-06,178255
2015-06-07,178255
2015-06-08,175687
2015-06-09,175687
2015-06-10,175687
2015-06-11,175687
2015-06-12,175687
2015-06-13,177833
2015-06-14,177833
2015-06-15,177833
2015-06-16,177833
2015-06-17,177973
2015-06-18,177973
2015-06-19,177973
2015-06-20,177973
2015-06-21,176054
2015-06-22,176054
2015-06-23,176054
2015-06-24,176054
2015-06-25,178187
2015-06-26,178187
2015-06-27,178187
2015-06-28,178187
2015-06-29,179827
2015-06-30,179827
2015-07-01,179827
2015-07-02,179827
2015-07-03,178305
2015-07-04,178305
2015-07-05,178305
2015-07-06,178305
2015-07-07,178305
2015-07-08,180178
2015-07-09,180178
2015-07-10,180178
2015-07-11,180178
2015-07-12,180178
2015-07-13,181661
2015-07-14,181661
2015-07-15,181661
2015-07-16,181661
2015-07-17,184628
