date_obj,Guthan's%20armour%20set price
2015-03-26,15042149
2015-03-27,15042149
2015-03-28,15090839
2015-03-29,15021063
2015-03-30,15283341
2015-03-31,15386361
2015-04-01,15532423
2015-04-02,15610460
2015-04-03,15751054
2015-04-04,15880435
2015-04-05,15865348
2015-04-06,15883442
2015-04-07,15756535
2015-04-08,15556866
2015-04-09,15249186
2015-04-10,14938976
2015-04-11,14939327
2015-04-12,14947727
2015-04-13,14891535
2015-04-14,14912514
2015-04-15,14904533
2015-04-16,14809210
2015-04-17,14759701
2015-04-18,14746040
2015-04-19,14798700
2015-04-20,14933504
2015-04-21,14959340
2015-04-22,14927315
2015-04-23,14935646
2015-04-24,15074110
2015-04-25,15084087
2015-04-26,15364608
2015-04-27,15927018
2015-04-28,15978988
2015-04-29,15978988
2015-04-30,15847810
2015-05-01,15823427
2015-05-02,16110163
2015-05-03,16257314
2015-05-04,16396869
2015-05-05,16309439
2015-05-06,16168661
2015-05-07,16234488
2015-05-08,16241817
2015-05-09,16246156
2015-05-10,15968799
2015-05-11,15558768
2015-05-12,15619188
2015-05-13,15511548
2015-05-14,15317555
2015-05-15,15134510
2015-05-16,15007625
2015-05-17,14853933
2015-05-18,14706254
2015-05-19,14544728
2015-05-20,14203976
2015-05-21,13564371
2015-05-22,12914500
2015-05-23,13305255
2015-05-24,13847370
2015-05-25,14066861
2015-05-26,14331092
2015-05-27,14576509
2015-05-28,14655522
2015-05-29,14590004
2015-05-30,14544211
2015-05-31,14274196
2015-06-01,14075598
2015-06-02,13639773
2015-06-03,13289450
2015-06-04,13184619
2015-06-05,13172626
2015-06-06,13415753
2015-06-07,13751332
2015-06-08,14065639
2015-06-09,14478119
2015-06-10,14409371
2015-06-11,14152734
2015-06-12,13973189
2015-06-13,13981784
2015-06-14,13970468
2015-06-15,13892915
2015-06-16,14008709
2015-06-17,13945036
2015-06-18,13987760
2015-06-19,14264902
2015-06-20,14220885
2015-06-21,14304646
2015-06-22,14254090
2015-06-23,14431025
2015-06-24,14480668
2015-06-25,14592109
2015-06-26,14753653
2015-06-27,14657576
2015-06-28,14668236
2015-06-29,14688422
2015-06-30,14827176
2015-07-01,14947594
2015-07-02,14957407
2015-07-03,14930995
2015-07-04,14645967
2015-07-05,14571658
2015-07-06,14353422
2015-07-07,14258514
2015-07-08,14218579
2015-07-09,14182483
2015-07-10,14099334
2015-07-11,14004900
2015-07-12,13836846
2015-07-13,13526083
2015-07-14,13503769
2015-07-15,13831812
2015-07-16,14012178
2015-07-17,14258515
2015-07-18,14263899
2015-07-19,14124859
2015-07-20,14044584
2015-07-21,13893428
2015-07-22,13891579
2015-07-23,13847208
2015-07-24,13971353
2015-07-25,14128468
2015-07-26,14220887
2015-07-27,14450799
2015-07-28,14601653
2015-07-29,14709928
2015-07-30,14738863
2015-07-31,14792780
2015-08-01,14814464
2015-08-02,14902324
2015-08-03,15074388
2015-08-04,15405476
2015-08-05,15430070
2015-08-06,15328966
2015-08-07,15281975
2015-08-08,15296890
2015-08-09,15251384
2015-08-10,15134474
2015-08-11,15196425
2015-08-12,15213031
2015-08-13,15097899
2015-08-14,14985802
2015-08-15,14767994
2015-08-16,14656848
2015-08-17,14418039
2015-08-18,14232182
2015-08-19,14434377
2015-08-20,14621763
2015-08-21,14822038
2015-08-22,14923061
2015-08-23,15096325
2015-08-24,15102500
2015-08-25,15242043
2015-08-26,15449697
2015-08-27,15084948
2015-08-28,14986922
2015-08-29,14910195
2015-08-30,14899556
2015-08-31,14966191
2015-09-01,14969761
2015-09-02,14888317
2015-09-03,14893516
2015-09-04,14853819
2015-09-05,14858686
2015-09-06,14780138
2015-09-07,14825745
2015-09-08,14764804
2015-09-09,14727000
2015-09-10,14011609
2015-09-11,13311028
2015-09-12,12645476
2015-09-13,12013202
2015-09-14,11412541
2015-09-15,10841913
2015-09-16,10299817
2015-09-17,9784826
2015-09-18,9295584
2015-09-19,8830804
2015-09-20,8408902
2015-09-21,8166498
2015-09-22,7781386
2015-09-23,7634878
2015-09-24,7450752
2015-09-25,7258975
2015-09-27,6779244
2015-09-28,6794986
2015-09-29,7120662
2015-09-30,7393690
2015-10-05,7580641
2015-10-06,7409069
2015-10-07,7205301
2015-10-08,7045252
2015-10-09,7016415
2015-10-10,6999781
2015-10-11,6949217
2015-10-12,6915031
2015-10-13,7088223
2015-10-14,7076827
2015-10-15,7086688
2015-10-16,7096895
2015-10-17,7279059
2015-10-18,7356661
2015-10-19,7302212
2015-10-20,7200577
2015-10-22,7134505
2015-10-23,7279900
2015-10-24,7354463
2015-10-25,7526451
2015-10-26,7573817
2015-10-27,7656787
2015-10-29,7706431
2015-10-30,7627798
2015-10-31,7555570
2015-11-01,7472392
2015-11-02,7341542
2015-11-03,7225417
2015-11-04,7074357
2015-11-05,6842406
2015-11-06,6859667
2015-11-07,6872193
2015-11-08,6838530
2015-11-09,6869242
2015-11-10,6893804
2015-11-11,6980513
2015-11-12,6954313
2015-11-13,6945006
2015-11-14,7074879
2015-11-15,7117087
2015-11-16,6992114
2015-11-17,7000737
2015-11-18,6998446
2015-11-19,7034706
2015-11-20,7057765
2015-11-21,7057765
2015-11-22,7095645
2015-11-23,7095645
2015-11-24,7183552
2015-11-25,7302799
2015-11-26,7450541
2015-11-27,7544287
2015-11-28,7638599
2015-11-29,7729897
2015-11-30,7657714
2015-12-01,7635254
2015-12-02,7610287
2015-12-03,7618318
2015-12-04,7716652
2015-12-05,7868030
2015-12-06,8135222
2015-12-07,8390283
2015-12-08,8595530
2015-12-09,8641866
2015-12-10,8544463
2015-12-11,8593159
2015-12-12,8590522
2015-12-13,8569929
2015-12-14,8595560
2015-12-15,8644896
2015-12-16,8696326
2015-12-17,8851620
2015-12-18,8930974
2015-12-19,9146926
2015-12-20,9590668
2015-12-21,9628400
2015-12-22,9690921
2015-12-23,9614349
2015-12-24,9558387
2015-12-25,9460718
2015-12-26,9385955
2015-12-27,9259400
2015-12-28,9189650
2015-12-29,9069418
2015-12-31,8708835
2016-01-01,8701156
2016-01-02,8931234
2016-01-03,9271276
2016-01-04,9502865
2016-01-05,9609639
2016-01-06,9653229
2016-01-07,9792261
2016-01-08,10072096
2016-01-09,10011636
2016-01-10,10054200
2016-01-11,9976757
2016-01-12,9884938
2016-01-13,9949568
2016-01-14,9892920
2016-01-15,9864596
2016-01-16,9871857
2016-01-17,9867488
2016-01-18,9822646
2016-01-19,9785179
2016-01-20,9714543
2016-01-21,9565378
2016-01-22,9507997
2016-01-23,9712503
2016-01-24,9837771
2016-01-25,9820009
2016-01-26,9848815
2016-01-27,9879326
2016-01-28,9942095
2016-01-29,9916238
2016-01-30,9979958
2016-01-31,10027742
2016-02-01,10026036
2016-02-02,9974189
2016-02-03,9882163
2016-02-04,9785636
2016-02-05,9708707
2016-02-06,9682679
2016-02-07,9717348
2016-02-08,9789741
2016-02-09,9828368
2016-02-10,9865176
2016-02-11,9830709
2016-02-12,9852718
2016-02-13,10092385
2016-02-14,10018786
2016-02-15,10045328
2016-02-16,10024809
2016-02-17,10015008
2016-02-18,9974435
2016-02-19,9919702
2016-02-20,9859159
2016-02-21,9872182
2016-02-22,9896309
2016-02-23,9846714
2016-02-24,9819205
2016-02-25,9786699
2016-02-26,9785697
2016-02-27,9818280
2016-02-28,9804698
2016-02-29,9798146
2016-03-01,9821747
2016-03-02,9856739
2016-03-03,9846579
2016-03-04,9850484
2016-03-05,9851309
2016-03-06,9833501
2016-03-07,9803184
2016-03-08,9755820
2016-03-09,9703395
2016-03-10,9681257
2016-03-11,9692900
2016-03-12,9706034
2016-03-13,9743897
2016-03-14,9711722
2016-03-15,9678139
2016-03-16,9632871
2016-03-17,9604105
2016-03-18,9506730
2016-03-19,9399463
2016-03-20,9383028
2016-03-21,9318186
2016-03-22,9259409
2016-03-23,9211193
2016-03-24,9084145
2016-03-25,9071250
2016-03-26,9028875
2016-03-27,8994643
2016-03-28,8889933
2016-03-29,8608722
2016-03-30,8457781
2016-03-31,8089385
2016-04-01,7804667
2016-04-02,7978752
2016-04-03,8153545
2016-04-04,8229671
2016-04-05,8213898
2016-04-06,8303229
2016-04-07,8369745
2016-04-08,8422096
2016-04-09,8538771
2016-04-10,8658269
2016-04-11,8766241
2016-04-12,8753438
2016-04-13,8775857
2016-04-14,8598656
2016-04-15,8640122
2016-04-16,8648793
2016-04-17,8614840
2016-04-18,8535179
2016-04-19,8516291
2016-04-20,8492846
2016-04-21,8416347
2016-04-22,8491827
2016-04-23,8474000
2016-04-24,8473484
2016-04-25,8428672
2016-04-26,8338926
2016-04-27,8276546
2016-04-28,8217543
2016-04-29,8181412
2016-04-30,8188588
2016-05-01,8199200
2016-05-02,8211133
2016-05-03,8227434
2016-05-04,8417679
2016-05-05,8519726
2016-05-06,8528536
2016-05-07,8626446
2016-05-08,8594867
2016-05-09,8615118
2016-05-10,8675069
2016-05-11,8849357
2016-05-12,8740980
2016-05-13,8712025
2016-05-14,8679873
2016-05-15,8606137
2016-05-16,8559150
2016-05-17,8484065
2016-05-18,8332820
2016-05-19,8249592
2016-05-22,8173548
2016-05-23,8051655
2016-05-24,7933009
2016-05-25,7788128
2016-05-26,7768087
2016-05-27,7919295
2016-05-28,8007023
2016-05-29,7961276
2016-05-30,7945198
2016-05-31,7886064
2016-06-01,7824792
2016-06-02,7818597
2016-06-03,7779541
2016-06-04,7761733
2016-06-05,7732030
2016-06-06,7732573
2016-06-07,7696644
2016-06-08,7656392
2016-06-09,7762434
2016-06-10,7662859
2016-06-11,7679297
2016-06-12,7600038
2016-06-13,7598681
2016-06-14,7566175
