date_obj,Volatile%20orb price
2020-02-05,50000000
2020-02-06,51602324
2020-02-07,53827987
2020-02-08,56308499
2020-02-09,300000000
2020-02-10,313956522
2020-02-11,313956522
2020-02-12,328956621
2020-02-13,328956621
2020-02-14,344239591
2020-02-15,344239591
2020-02-16,359970793
2020-02-17,359970793
2020-02-18,377015193
2020-02-19,377015193
2020-02-20,395715832
2020-02-21,395715832
2020-02-22,395715832
2020-02-23,414666411
2020-02-24,414666411
2020-02-25,433703014
2020-02-26,433703014
2020-02-27,433703014
2020-02-28,454275655
2020-02-29,454275655
2020-03-01,476685999
2020-03-02,476685999
2020-03-03,499656673
2020-03-04,499656673
2020-03-05,499656673
2020-03-06,523290255
2020-03-07,523290255
2020-03-08,523290255
2020-03-09,548591175
2020-03-10,548591175
2020-03-11,548591175
2020-03-12,549164480
2020-03-13,549164480
2020-03-14,549164480
2020-03-15,549164480
2020-03-16,553512516
2020-03-17,553512516
2020-03-18,579415753
2020-03-19,579415753
2020-03-20,605471691
2020-03-21,605471691
2020-03-22,605471691
2020-03-23,579814363
2020-03-24,579814363
2020-03-25,579814363
2020-03-26,550859906
2020-03-27,550859906
2020-03-28,523316910
2020-03-29,497939359
2020-03-30,497939359
2020-03-31,473554854
2020-04-01,473554854
2020-04-02,449877111
2020-04-03,449877111
2020-04-04,427383255
2020-04-05,406182353
2020-04-06,385873235
2020-04-07,385873235
2020-04-08,366579573
2020-04-09,366579573
2020-04-10,366579573
2020-04-11,348277920
2020-04-12,348277920
2020-04-13,330864024
2020-04-14,330864024
2020-04-15,314320822
2020-04-16,314320822
2020-04-17,298604780
2020-04-18,298604780
2020-04-19,283674541
2020-04-20,283674541
2020-04-21,269567070
2020-04-22,264319293
2020-04-23,264319293
2020-04-24,276084188
2020-04-25,276084188
2020-04-26,281686628
2020-04-27,283822010
2020-04-28,287916028
2020-04-29,287916028
2020-04-30,296297605
2020-05-01,296297605
2020-05-02,299955983
2020-05-03,299955983
2020-05-04,296056927
2020-05-05,296056927
2020-05-06,304377454
2020-05-07,304377454
2020-05-08,318892849
2020-05-09,318892849
2020-05-10,320157456
2020-05-11,320157456
2020-05-12,320157456
2020-05-13,306904399
