date_obj,Red%20elegant%20skirt price
2015-03-26,23130
2015-03-27,23130
2015-03-28,23130
2015-03-29,22048
2015-03-30,22048
2015-03-31,21050
2015-04-01,21050
2015-04-02,21050
2015-04-03,20052
2015-04-04,20052
2015-04-05,20052
2015-04-06,20052
2015-04-07,19142
2015-04-08,19142
2015-04-09,19142
2015-04-10,18263
2015-04-11,18263
2015-04-12,18263
2015-04-13,17405
2015-04-14,17405
2015-04-15,16578
2015-04-16,16578
2015-04-17,15803
2015-04-18,15803
2015-04-19,15803
2015-04-20,15104
2015-04-21,15104
2015-04-22,15104
2015-04-23,14390
2015-04-24,14390
2015-04-25,14390
2015-04-26,14390
2015-04-27,13701
2015-04-28,13701
2015-04-29,13701
2015-04-30,13701
2015-05-01,13064
2015-05-02,13064
2015-05-03,13064
2015-05-04,13064
2015-05-05,12441
2015-05-06,12441
2015-05-07,12441
2015-05-08,12441
2015-05-09,11860
2015-05-10,11860
2015-05-11,11860
2015-05-12,11860
2015-05-13,11316
2015-05-14,11316
2015-05-15,11316
2015-05-16,11316
2015-05-17,10774
2015-05-18,10774
2015-05-19,10774
2015-05-20,10774
2015-05-21,10774
2015-05-22,10306
2015-05-23,10306
2015-05-24,10306
2015-05-25,10306
2015-05-26,9823
2015-05-27,9823
2015-05-28,9823
2015-05-29,9823
2015-05-30,9379
2015-05-31,9379
2015-06-01,9379
2015-06-02,9379
2015-06-03,9379
2015-06-04,8944
2015-06-05,8944
2015-06-06,8944
2015-06-07,8944
2015-06-08,8944
2015-06-09,8944
2015-06-10,8555
2015-06-11,8555
2015-06-12,8555
2015-06-13,8555
2015-06-14,8555
2015-06-15,8555
2015-06-16,8165
2015-06-17,8165
2015-06-18,8165
2015-06-19,8165
2015-06-20,8165
2015-06-21,8165
2015-06-22,7776
2015-06-23,7776
2015-06-24,7776
2015-06-25,7776
2015-06-26,7776
2015-06-27,7776
2015-06-28,7410
2015-06-29,7410
2015-06-30,7410
2015-07-01,7410
2015-07-02,7410
2015-07-03,7087
2015-07-04,7087
2015-07-05,7087
2015-07-06,7087
2015-07-07,6763
2015-07-08,6763
2015-07-09,6763
2015-07-10,6763
2015-07-11,6763
2015-07-12,6763
2015-07-13,6470
2015-07-14,6470
2015-07-15,6470
2015-07-16,6470
2015-07-17,6470
2015-07-18,6470
2015-07-19,6214
2015-07-20,6214
2015-07-21,6214
2015-07-22,6214
2015-07-23,6214
2015-07-24,5943
2015-07-25,5943
2015-07-26,5943
2015-07-27,5943
2015-07-28,5943
2015-07-29,5943
2015-07-30,5670
2015-07-31,5670
2015-08-01,5670
2015-08-02,5670
2015-08-03,5670
2015-08-04,5670
2015-08-05,5444
2015-08-06,5444
2015-08-07,5444
2015-08-08,5444
2015-08-09,5444
2015-08-10,5264
2015-08-11,5264
2015-08-12,5264
2015-08-13,5264
2015-08-14,5264
2015-08-15,5056
2015-08-16,5056
2015-08-17,5056
2015-08-18,5056
2015-08-19,5056
2015-08-20,5056
2015-08-21,5056
2015-08-22,4848
2015-08-23,4848
2015-08-24,4848
2015-08-25,4848
2015-08-26,4848
2015-08-27,4848
2015-08-28,4848
2015-08-29,4717
2015-08-30,4717
2015-08-31,4717
2015-09-01,4717
2015-09-02,4717
2015-09-03,4717
2015-09-04,4639
2015-09-05,4639
2015-09-06,4639
2015-09-07,4639
2015-09-08,4639
2015-09-09,4639
2015-09-10,4639
2015-09-11,4639
2015-09-12,4451
2015-09-13,4451
2015-09-14,4451
2015-09-15,4451
2015-09-16,4451
2015-09-17,4451
2015-09-18,4451
2015-09-19,4382
2015-09-20,4382
2015-09-21,4382
2015-09-22,4382
2015-09-23,4382
2015-09-24,4382
2015-09-25,4436
2015-09-27,4436
2015-09-28,4436
2015-09-29,4436
2015-09-30,4436
2015-10-05,4331
2015-10-06,4331
2015-10-07,4331
2015-10-08,4331
2015-10-09,4123
2015-10-10,4123
2015-10-11,4123
2015-10-12,4123
2015-10-13,4123
2015-10-14,4123
2015-10-15,4123
2015-10-16,3933
2015-10-17,3933
2015-10-18,3933
2015-10-19,3933
2015-10-20,3933
2015-10-22,3933
2015-10-23,3760
2015-10-24,3760
2015-10-25,3760
2015-10-26,3760
2015-10-27,3760
2015-10-29,3760
2015-10-30,3592
2015-10-31,3592
2015-11-01,3592
2015-11-02,3592
2015-11-03,3592
2015-11-04,3592
2015-11-05,3616
2015-11-06,3616
2015-11-07,3616
2015-11-08,3616
2015-11-09,3616
2015-11-10,3616
2015-11-11,3616
2015-11-12,3616
2015-11-13,3616
2015-11-14,3616
2015-11-15,3612
2015-11-16,3612
2015-11-17,3612
2015-11-18,3612
2015-11-19,3612
2015-11-20,3612
2015-11-21,3612
2015-11-22,3612
2015-11-23,3612
2015-11-24,3585
2015-11-25,3585
2015-11-26,3585
2015-11-27,3585
2015-11-28,3585
2015-11-29,3585
2015-11-30,3585
2015-12-01,3585
2015-12-02,3516
2015-12-03,3516
2015-12-04,3516
2015-12-05,3516
2015-12-06,3516
2015-12-07,3516
2015-12-08,3516
2015-12-09,3624
2015-12-10,3624
2015-12-11,3624
2015-12-12,3624
2015-12-13,3624
2015-12-14,3624
2015-12-15,3624
2015-12-16,3763
2015-12-17,3763
2015-12-18,3763
2015-12-19,3763
2015-12-20,3763
2015-12-21,3763
2015-12-22,3763
2015-12-23,3763
2015-12-24,3920
2015-12-25,3920
2015-12-26,3920
2015-12-27,3920
2015-12-28,3920
2015-12-29,3920
2015-12-30,3920
2015-12-31,3895
2016-01-01,3895
2016-01-02,3895
2016-01-03,3895
2016-01-04,3895
2016-01-05,3895
2016-01-06,3862
2016-01-07,3862
2016-01-08,3862
2016-01-09,3862
2016-01-10,3862
2016-01-11,3862
2016-01-12,3862
2016-01-13,3835
2016-01-14,3835
2016-01-15,3835
2016-01-16,3835
2016-01-17,3835
2016-01-18,3835
2016-01-19,3757
2016-01-20,3757
2016-01-21,3757
2016-01-22,3757
2016-01-23,3757
2016-01-24,3757
2016-01-25,3757
2016-01-26,3742
2016-01-27,3742
2016-01-28,3742
2016-01-29,3742
2016-01-30,3742
2016-01-31,3742
2016-02-01,3742
2016-02-02,3742
2016-02-03,3689
2016-02-04,3689
2016-02-05,3689
2016-02-06,3689
2016-02-07,3689
2016-02-08,3689
2016-02-09,3689
2016-02-10,3689
2016-02-11,3689
2016-02-12,3626
2016-02-13,3626
2016-02-14,3626
2016-02-15,3626
2016-02-16,3626
2016-02-17,3626
2016-02-18,3626
2016-02-19,3523
2016-02-20,3523
2016-02-21,3523
2016-02-22,3523
2016-02-23,3523
2016-02-24,3523
2016-02-25,3481
2016-02-26,3481
2016-02-27,3481
2016-02-28,3481
2016-02-29,3481
2016-03-01,3481
2016-03-02,3481
2016-03-03,3451
2016-03-04,3451
2016-03-05,3451
2016-03-06,3451
2016-03-07,3451
2016-03-08,3451
2016-03-09,3451
2016-03-10,3337
2016-03-11,3337
2016-03-12,3337
2016-03-13,3337
2016-03-14,3337
2016-03-15,3337
2016-03-16,3337
2016-03-17,3327
2016-03-18,3327
2016-03-19,3327
2016-03-20,3327
2016-03-21,3327
2016-03-22,3327
2016-03-23,3327
2016-03-24,3327
2016-03-25,3208
2016-03-26,3208
2016-03-27,3208
2016-03-28,3208
2016-03-29,3208
2016-03-30,3208
2016-03-31,3208
2016-04-01,3052
2016-04-02,3052
2016-04-03,3052
2016-04-04,3052
2016-04-05,3052
2016-04-06,3052
2016-04-07,3052
2016-04-08,2932
2016-04-09,2932
2016-04-10,2932
2016-04-11,2932
2016-04-12,2932
2016-04-13,2932
2016-04-14,2871
2016-04-15,2871
2016-04-16,2871
2016-04-17,2871
2016-04-18,2871
2016-04-19,2756
2016-04-20,2756
2016-04-21,2756
2016-04-22,2756
2016-04-23,2756
2016-04-24,2756
2016-04-25,2756
2016-04-26,2756
2016-04-27,2650
2016-04-28,2650
2016-04-29,2650
2016-04-30,2650
2016-05-01,2650
2016-05-02,2650
2016-05-03,2650
2016-05-04,2550
2016-05-05,2550
2016-05-06,2550
2016-05-07,2550
2016-05-08,2550
2016-05-09,2550
2016-05-10,2550
2016-05-11,2550
2016-05-12,2550
2016-05-13,2534
2016-05-14,2534
2016-05-15,2534
2016-05-16,2534
2016-05-17,2534
2016-05-18,2534
2016-05-19,2534
2016-05-22,2495
2016-05-23,2495
2016-05-24,2495
2016-05-25,2495
2016-05-26,2495
2016-05-27,2447
2016-05-28,2447
2016-05-29,2447
2016-05-30,2447
2016-05-31,2447
2016-06-01,2447
2016-06-02,2447
2016-06-03,2452
2016-06-04,2452
2016-06-05,2452
2016-06-06,2452
2016-06-07,2452
2016-06-08,2452
2016-06-09,2452
2016-06-10,2409
2016-06-11,2409
2016-06-12,2409
2016-06-13,2409
2016-06-14,2409
2016-06-15,2409
2016-06-16,2409
2016-06-17,2400
2016-06-18,2400
2016-06-19,2400
2016-06-20,2400
2016-06-21,2400
2016-06-22,2400
2016-06-23,2400
2016-06-24,2400
2016-06-25,2364
2016-06-26,2364
2016-06-27,2364
2016-06-28,2364
2016-06-29,2364
2016-06-30,2364
2016-07-01,2339
2016-07-02,2339
2016-07-03,2339
2016-07-04,2339
2016-07-05,2339
2016-07-06,2305
2016-07-07,2305
2016-07-08,2305
2016-07-09,2213
2016-07-10,2213
2016-07-11,2213
2016-07-12,2213
2016-07-13,2213
2016-07-14,2131
2016-07-15,2131
2016-07-16,2131
2016-07-17,2131
2016-07-18,2044
2016-07-23,2044
2016-07-24,2008
2016-07-25,2008
2016-07-26,2008
2016-07-27,2008
2016-07-28,2008
2016-07-29,2008
2016-07-30,2028
2016-07-31,2028
2016-08-01,2028
2016-08-02,2028
2016-08-03,2028
2016-08-04,2028
2016-08-05,2028
2016-08-06,2028
2016-08-07,2029
2016-08-08,2029
2016-08-09,2029
2016-08-10,2029
2016-08-11,2029
2016-08-12,2029
2016-08-13,2029
2016-08-14,1983
2016-08-15,1983
2016-08-16,1983
2016-08-17,1983
2016-08-18,1983
2016-08-19,1983
2016-08-20,1983
2016-08-21,1983
2016-08-22,1955
2016-08-23,1955
2016-08-24,1955
2016-08-25,1955
2016-08-26,1955
2016-08-28,1955
2016-08-31,1908
2016-09-01,1908
2016-09-02,1908
2016-09-03,1908
2016-09-04,1908
2016-09-05,1908
2016-09-06,1908
2016-09-07,1908
2016-09-08,1908
2016-09-09,1856
2016-09-10,1856
2016-09-11,1856
2016-09-12,1856
2016-09-13,1856
2016-09-14,1856
2016-09-15,1856
2016-09-16,1856
2016-09-17,1856
2016-09-18,1822
2016-09-19,1822
2016-09-20,1822
2016-09-21,1822
2016-09-22,1822
2016-09-23,1822
2016-09-24,1822
2016-09-25,1795
2016-09-26,1795
2016-09-27,1795
2016-09-28,1795
2016-09-29,1795
2016-09-30,1795
2016-10-01,1795
2016-10-02,1795
2016-10-03,1795
2016-10-04,1795
2016-10-05,1749
2016-10-06,1749
2016-10-07,1749
2016-10-08,1749
2016-10-09,1749
2016-10-10,1749
2016-10-11,1749
2016-10-12,1749
2016-10-13,1718
2016-10-14,1718
2016-10-15,1718
2016-10-16,1718
2016-10-17,1718
2016-10-18,1718
2016-10-19,1718
2016-10-20,1718
2016-10-21,1695
2016-10-22,1695
2016-10-23,1695
2016-10-24,1695
2016-10-25,1695
2016-10-26,1695
2016-10-27,1695
2016-10-28,1695
2016-10-29,1695
2016-10-30,1695
2016-10-31,1648
2016-11-01,1648
2016-11-02,1648
2016-11-03,1648
2016-11-04,1648
2016-11-05,1648
2016-11-06,1648
2016-11-07,1648
2016-11-08,1648
2016-11-09,1648
2016-11-10,1648
2016-11-11,1648
2016-11-12,1648
2016-11-13,1648
2016-11-14,1648
2016-12-08,1613
2016-12-09,1613
2016-12-10,1613
2016-12-11,1613
2016-12-12,1613
2016-12-13,1589
2016-12-14,1589
2016-12-15,1589
2016-12-16,1589
2016-12-17,1589
2016-12-18,1589
2016-12-19,1589
2016-12-20,1589
2016-12-21,1580
2016-12-22,1580
2016-12-23,1580
2016-12-24,1580
2016-12-25,1580
2016-12-26,1580
2016-12-27,1580
2016-12-28,1592
2016-12-29,1592
2016-12-30,1592
2016-12-31,1592
2017-01-01,1592
2017-01-02,1592
2017-01-03,1592
2017-01-04,1549
2017-01-05,1549
2017-01-06,1549
2017-01-07,1549
2017-01-08,1549
2017-01-09,1549
2017-01-10,1549
2017-01-11,1550
2017-01-12,1550
2017-01-13,1550
2017-01-14,1550
