date_obj,Gold%20headband price
2015-03-26,112479
2015-03-27,112479
2015-03-28,108748
2015-03-29,105960
2015-03-30,103612
2015-03-31,100594
2015-04-01,99983
2015-04-02,97485
2015-04-03,95610
2015-04-04,94427
2015-04-05,93692
2015-04-06,91837
2015-04-07,89659
2015-04-08,86752
2015-04-09,87016
2015-04-10,87112
2015-04-11,84726
2015-04-12,82539
2015-04-13,80043
2015-04-14,79828
2015-04-15,77391
2015-04-16,77437
2015-04-17,75725
2015-04-18,76214
2015-04-19,75175
2015-04-20,75175
2015-04-21,74533
2015-04-22,73424
2015-04-23,71567
2015-04-24,71127
2015-04-25,70684
2015-04-26,69788
2015-04-27,69669
2015-04-28,69338
2015-04-29,69338
2015-04-30,68270
2015-05-01,66496
2015-05-02,65579
2015-05-03,64954
2015-05-04,63620
2015-05-05,64011
2015-05-06,61569
2015-05-07,59551
2015-05-08,57283
2015-05-09,57019
2015-05-10,57165
2015-05-11,57957
2015-05-12,58488
2015-05-13,59522
2015-05-14,59838
2015-05-15,61074
2015-05-16,62748
2015-05-17,63548
2015-05-18,65313
2015-05-19,66706
2015-05-20,67749
2015-05-21,67749
2015-05-22,67174
2015-05-23,66491
2015-05-24,65414
2015-05-25,64314
2015-05-26,61400
2015-05-27,58892
2015-05-28,56486
2015-05-29,55429
2015-05-30,54243
2015-05-31,52926
2015-06-01,50621
2015-06-02,50621
2015-06-03,49876
2015-06-04,49876
2015-06-05,48893
2015-06-06,46961
2015-06-07,46640
2015-06-08,46640
2015-06-09,45207
2015-06-10,45308
2015-06-11,45308
2015-06-12,44455
2015-06-13,44133
2015-06-14,44133
2015-06-15,42795
2015-06-16,42626
2015-06-17,42626
2015-06-18,42001
2015-06-19,42001
2015-06-20,41016
2015-06-21,41016
2015-06-22,40002
2015-06-23,40002
2015-06-24,39407
2015-06-25,39407
2015-06-26,38499
2015-06-27,38499
2015-06-28,37585
2015-06-29,37585
2015-06-30,37147
2015-07-01,37147
2015-07-02,37001
2015-07-03,36335
2015-07-04,36335
2015-07-05,35968
2015-07-06,35968
2015-07-07,35060
2015-07-08,34018
2015-07-09,34018
2015-07-10,33069
2015-07-11,33069
2015-07-12,32018
2015-07-13,30818
2015-07-14,30945
2015-07-15,31004
2015-07-16,31004
2015-07-17,29972
2015-07-18,29972
2015-07-19,29251
2015-07-20,29454
2015-07-21,29681
2015-07-22,29342
2015-07-23,29342
2015-07-24,28563
2015-07-25,28563
2015-07-26,28150
2015-07-27,28063
2015-07-28,28063
2015-07-29,27439
2015-07-30,27439
2015-07-31,27685
2015-08-01,27685
2015-08-02,27438
2015-08-03,27438
2015-08-04,27463
2015-08-05,27252
2015-08-06,27252
2015-08-07,27959
2015-08-08,27033
2015-08-09,26995
2015-08-10,26954
2015-08-11,26741
2015-08-12,26741
2015-08-13,26766
2015-08-14,26493
2015-08-15,26493
2015-08-16,26079
2015-08-17,26048
2015-08-18,26048
2015-08-19,25817
2015-08-20,25817
2015-08-21,25548
2015-08-22,25548
2015-08-23,24762
2015-08-24,24168
2015-08-25,24168
2015-08-26,23442
2015-08-27,23339
2015-08-28,23339
2015-08-29,22855
2015-08-30,22855
2015-08-31,21927
2015-09-01,21806
2015-09-02,21806
2015-09-03,21759
2015-09-04,21892
2015-09-05,21892
2015-09-06,22205
2015-09-07,22205
