date_obj,Flamtaer%20hammer price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,10000
2015-03-09,10000
2015-03-10,10000
2015-03-11,10000
2015-03-12,10000
2015-03-13,10000
2015-03-14,10000
2015-03-15,10000
2015-03-16,10000
2015-03-17,10000
2015-03-18,10000
2015-03-19,10000
2015-03-20,10000
2015-03-21,9719
2015-03-22,9719
2015-03-23,9719
2015-03-24,9719
2015-03-25,9719
2015-03-26,9719
2015-03-27,9719
2015-03-28,9719
2015-03-29,9719
2015-03-30,9719
2015-03-31,9719
2015-04-01,9719
2015-04-02,9719
2015-04-03,9719
2015-04-04,9719
2015-04-05,9719
2015-04-06,9719
2015-04-07,9719
2015-04-08,9719
2015-04-09,9719
2015-04-10,9719
2015-04-11,9719
2015-04-12,9420
2015-04-13,9420
2015-04-14,9420
2015-04-15,9420
2015-04-16,9420
2015-04-17,9420
2015-04-18,9420
2015-04-19,9420
2015-04-20,9420
2015-04-21,9420
2015-04-22,9420
2015-04-23,9420
2015-04-24,9420
2015-04-25,9420
2015-04-26,9420
2015-04-27,9420
2015-04-28,9420
2015-04-29,9420
2015-04-30,9420
2015-05-01,9420
2015-05-02,9211
2015-05-03,9211
2015-05-04,9211
2015-05-05,9211
2015-05-06,9211
2015-05-07,9211
2015-05-08,9211
2015-05-09,9211
2015-05-10,9211
2015-05-11,9211
2015-05-12,9211
2015-05-13,9211
2015-05-14,9211
2015-05-15,9211
2015-05-16,9211
2015-05-17,9211
2015-05-18,9211
2015-05-19,9211
2015-05-20,9211
2015-05-21,9211
2015-05-22,9211
2015-05-23,8913
2015-05-24,8913
2015-05-25,8913
2015-05-26,8913
2015-05-27,8913
2015-05-28,8913
2015-05-29,8913
2015-05-30,8913
2015-05-31,8913
2015-06-01,8913
2015-06-02,8913
2015-06-03,8913
2015-06-04,8913
2015-06-05,8613
2015-06-06,8613
2015-06-07,8613
2015-06-08,8613
2015-06-09,8613
2015-06-10,8613
2015-06-11,8613
2015-06-12,8613
2015-06-13,8613
2015-06-14,8613
2015-06-15,8613
2015-06-16,8613
2015-06-17,8613
2015-06-18,8613
2015-06-19,8613
2015-06-20,8368
2015-06-21,8368
2015-06-22,8368
2015-06-23,8368
2015-06-24,8368
2015-06-25,8368
2015-06-26,8368
2015-06-27,8368
2015-06-28,8368
2015-06-29,8368
2015-06-30,8368
2015-07-01,8368
2015-07-02,8368
2015-07-03,8368
2015-07-04,8368
2015-07-05,8129
2015-07-06,8129
2015-07-07,8129
2015-07-08,8129
2015-07-09,8129
2015-07-10,8129
2015-07-11,8129
2015-07-12,8129
2015-07-13,8129
2015-07-14,8129
2015-07-15,8129
2015-07-16,8129
2015-07-17,8129
2015-07-18,8129
2015-07-19,8129
2015-07-20,7913
2015-07-21,7913
2015-07-22,7913
2015-07-23,7913
2015-07-24,7913
2015-07-25,7913
2015-07-26,7913
2015-07-27,7913
2015-07-28,7913
2015-07-29,7913
2015-07-30,7913
2015-07-31,7913
2015-08-01,7913
2015-08-02,7913
2015-08-03,7594
2015-08-04,7594
2015-08-05,7594
2015-08-06,7594
2015-08-07,7594
2015-08-08,7594
2015-08-09,7594
2015-08-10,7594
2015-08-11,7594
2015-08-12,7594
2015-08-13,7594
2015-08-14,7594
2015-08-15,7594
2015-08-16,7594
2015-08-17,7230
2015-08-18,7230
2015-08-19,7230
2015-08-20,7230
2015-08-21,7230
2015-08-22,7230
2015-08-23,7230
2015-08-24,7230
2015-08-25,7230
2015-08-26,7230
2015-08-27,7230
2015-08-28,7230
2015-08-29,7230
2015-08-30,6906
2015-08-31,6906
2015-09-02,6906
2015-09-07,6906
2015-09-08,6906
2015-09-10,6906
2015-09-14,6906
2015-09-16,6651
2015-09-22,6651
2015-09-23,6651
2015-09-24,6651
2015-09-25,6651
2015-09-27,6651
2015-09-28,6651
2015-09-29,6651
2015-09-30,6651
2015-10-05,6425
2015-10-06,6425
2015-10-07,6425
2015-10-08,6425
2015-10-09,6425
2015-10-10,6425
2015-10-11,6425
2015-10-12,6425
2015-10-13,6425
2015-10-14,6425
2015-10-15,6425
2015-10-16,6425
2015-10-17,6302
2015-10-18,6302
2015-10-19,6302
2015-10-20,6302
2015-10-22,6302
2015-10-23,6302
2015-10-24,6302
2015-10-25,6302
2015-10-26,6302
2015-10-27,6302
2015-10-29,6302
2015-10-30,6302
2015-10-31,6302
2015-11-01,6302
2015-11-02,6302
2015-11-03,6060
2015-11-04,6060
2015-11-05,6060
2015-11-06,6060
2015-11-07,6060
2015-11-08,6060
