date_obj,Giant%20boot price
2019-04-11,250000
2019-04-11,261511
2019-04-12,274587
2019-04-13,287985
2019-04-14,302385
2019-04-15,3500000
2019-04-16,3500000
2019-04-17,3335096
2019-04-18,3169742
2019-04-19,3016259
2019-04-20,2865446
2019-04-21,2865446
2019-04-22,2722173
2019-04-23,2593768
2019-04-24,2467282
2019-04-25,2347312
2019-04-26,2240269
2019-04-27,2134248
2019-04-28,2027535
2019-04-29,1938055
2019-04-30,1841152
2019-05-01,1841152
2019-05-02,1749094
2019-05-03,1661639
2019-05-04,1661639
2019-05-05,1578557
2019-05-06,1501928
2019-05-07,1430203
2019-05-08,1430203
2019-05-09,1364640
2019-05-10,1297830
2019-05-11,1297830
2019-05-12,1232938
2019-05-13,1173773
2019-05-14,1117386
2019-05-15,1062893
2019-05-16,1011568
2019-05-17,965639
2019-05-18,920055
2019-05-19,876725
2019-05-20,836335
2019-05-21,796608
2019-05-22,758666
2019-05-23,720732
2019-05-24,720732
2019-05-25,684695
2019-05-26,684695
2019-05-27,650460
2019-05-28,619372
2019-05-29,591721
2019-05-30,566141
2019-05-31,566141
2019-06-01,537833
2019-06-02,537833
2019-06-03,512299
2019-06-04,489016
2019-06-05,489016
2019-06-06,464565
2019-06-07,464565
2019-06-08,442228
2019-06-09,442228
2019-06-10,421113
2019-06-11,414008
2019-06-12,414008
2019-06-13,398814
2019-06-14,398814
2019-06-15,379116
2019-06-16,360606
2019-06-17,360606
2019-06-18,343506
2019-06-19,343506
2019-06-20,326806
2019-06-21,326806
2019-06-22,311580
2019-06-23,301694
2019-06-24,301694
2019-06-25,293624
2019-06-26,293624
2019-06-27,297228
2019-06-28,297228
2019-06-29,310067
2019-06-30,321804
2019-07-01,321804
2019-07-02,318295
2019-07-03,318295
2019-07-04,313470
2019-07-05,313470
2019-07-06,304914
2019-07-07,304914
2019-07-08,309321
2019-07-09,317953
2019-07-10,317953
2019-07-11,330233
2019-07-12,335849
2019-07-13,335849
2019-07-14,343583
2019-07-15,343583
2019-07-16,353000
2019-07-17,353000
2019-07-18,358834
2019-07-19,358834
2019-07-20,358834
2019-07-21,357622
2019-07-22,357622
2019-07-23,357622
2019-07-24,347558
2019-07-25,347558
2019-07-26,347558
2019-07-27,331460
2019-07-28,331460
2019-07-29,317768
2019-07-30,317768
2019-07-31,301879
2019-08-01,301879
2019-08-02,301879
2019-08-03,289280
2019-08-04,289280
2019-08-05,286485
2019-08-06,286485
2019-08-07,293599
2019-08-08,293599
2019-08-09,293599
2019-08-10,305213
2019-08-11,305213
2019-08-12,308685
2019-08-13,308685
2019-08-14,308685
2019-08-15,323818
2019-08-16,323818
2019-08-17,338909
2019-08-18,338909
2019-08-19,351619
2019-08-20,351619
2019-08-21,351619
2019-08-22,341866
2019-08-23,341866
2019-08-24,327047
2019-08-24,327047
2019-08-25,327047
2019-08-25,327047
2019-08-26,311609
2019-08-26,311609
2019-08-27,311609
2019-08-27,311609
2019-08-28,296431
2019-08-29,296431
2019-08-30,282622
2019-08-31,282622
2019-09-01,268490
2019-09-02,268490
2019-09-03,255065
2019-09-04,255065
2019-09-05,242811
2019-09-06,242811
2019-09-07,231621
2019-09-08,231621
2019-09-09,221230
2019-09-10,221230
2019-09-11,210705
2019-09-12,210705
2019-09-13,200923
2019-09-14,192987
2019-09-15,192987
2019-09-16,183337
2019-09-17,183337
2019-09-18,174170
2019-09-19,174170
2019-09-20,165948
2019-09-21,165948
2019-09-22,158541
2019-09-23,151700
2019-09-24,151700
2019-09-25,146615
2019-09-26,146615
2019-09-27,141328
2019-09-28,141328
2019-09-29,141328
2019-09-30,135028
2019-10-01,135028
2019-10-02,129639
2019-10-03,129639
2019-10-04,123915
2019-10-05,123915
2019-10-06,123766
2019-10-07,123766
2019-10-08,129352
2019-10-09,129352
2019-10-10,134748
2019-10-11,134748
2019-10-12,134748
2019-10-13,141486
2019-10-14,141486
2019-10-15,148378
2019-10-16,148378
2019-10-17,148378
2019-10-18,155150
2019-10-19,155150
2019-10-20,162201
2019-10-21,162201
2019-10-22,162201
2019-10-23,170312
2019-10-24,170312
2019-10-25,170312
2019-10-26,178770
2019-10-27,178770
2019-10-28,187548
2019-10-29,187548
2019-10-30,187548
2019-10-31,196170
2019-11-01,196170
2019-11-02,196170
2019-11-03,205979
2019-11-04,205979
2019-11-05,205979
2019-11-06,215693
2019-11-07,215693
2019-11-08,215693
2019-11-09,226243
2019-11-10,226243
2019-11-11,237135
2019-11-12,237135
2019-11-13,237135
2019-11-14,248520
2019-11-15,248520
2019-11-16,260400
2019-11-17,260400
2019-11-18,260400
2019-11-19,272762
2019-11-20,272762
2019-11-21,272762
2019-11-22,285677
2019-11-23,285677
2019-11-24,285677
2019-11-25,299540
2019-11-26,299540
2019-11-27,299540
2019-11-28,299540
2019-11-29,313735
2019-11-30,313735
2019-12-01,313735
2019-12-02,327840
2019-12-03,327840
2019-12-04,327840
2019-12-05,327840
2019-12-06,339022
2019-12-07,339022
2019-12-08,339022
2019-12-09,352897
2019-12-10,352897
2019-12-11,352897
2019-12-12,343510
2019-12-13,343510
2019-12-14,343510
2019-12-15,328589
2019-12-16,328589
2019-12-17,328589
2019-12-18,328589
2019-12-19,313024
2019-12-20,313024
2019-12-21,313024
2019-12-22,297774
2019-12-23,297774
2019-12-24,297774
2019-12-25,283609
2019-12-26,283609
2019-12-27,283609
2019-12-28,269428
2019-12-29,269428
2019-12-30,269428
2019-12-31,257582
2020-01-01,257582
2020-01-02,245888
2020-01-03,245888
2020-01-04,245888
2020-01-05,235650
2020-01-06,235650
2020-01-07,224848
2020-01-08,224848
2020-01-09,214395
2020-01-10,214395
2020-01-11,203675
2020-01-12,203675
2020-01-13,203675
2020-01-14,193683
2020-01-15,193683
2020-01-16,186456
2020-01-17,186456
2020-01-18,177914
2020-01-19,170454
2020-01-20,170454
2020-01-21,162368
2020-01-22,162368
2020-01-23,155236
2020-01-24,155236
2020-01-25,148917
2020-01-26,148917
2020-01-27,141471
2020-01-28,141471
2020-01-29,135327
2020-01-30,135327
2020-01-31,130934
2020-02-01,130934
2020-02-02,124909
2020-02-03,124909
2020-02-04,119654
2020-02-05,119654
2020-02-06,114463
2020-02-07,114463
2020-02-08,108739
2020-02-09,108739
2020-02-10,103611
2020-02-11,103611
2020-02-12,99932
2020-02-13,99932
2020-02-14,96470
2020-02-15,96470
2020-02-16,92436
2020-02-17,92436
2020-02-18,87957
2020-02-19,87957
2020-02-20,84627
