date_obj,Diamond%20bolts%20(e) price
2015-03-26,490
2015-03-27,495
2015-03-28,493
2015-03-29,491
2015-03-30,481
2015-03-31,483
2015-04-01,470
2015-04-02,459
2015-04-03,459
2015-04-04,480
2015-04-05,487
2015-04-06,490
2015-04-07,485
2015-04-08,481
2015-04-09,480
2015-04-10,479
2015-04-11,482
2015-04-12,478
2015-04-13,480
2015-04-14,480
2015-04-15,485
2015-04-16,493
2015-04-17,487
2015-04-18,485
2015-04-19,484
2015-04-20,485
2015-04-21,484
2015-04-22,484
2015-04-23,488
2015-04-24,498
2015-04-25,487
2015-04-26,482
2015-04-27,476
2015-04-28,472
2015-04-29,478
2015-04-30,474
2015-05-01,479
2015-05-02,479
2015-05-03,477
2015-05-04,476
2015-05-05,466
2015-05-06,462
2015-05-07,462
2015-05-08,475
2015-05-09,481
2015-05-10,481
2015-05-11,491
2015-05-12,488
2015-05-13,481
2015-05-14,478
2015-05-15,487
2015-05-16,483
2015-05-17,490
2015-05-18,494
2015-05-19,489
2015-05-20,479
2015-05-21,474
2015-05-22,473
2015-05-23,477
2015-05-24,484
2015-05-25,487
2015-05-26,480
2015-05-27,476
2015-05-28,482
2015-05-29,480
2015-05-30,488
2015-05-31,496
2015-06-01,483
2015-06-02,467
2015-06-03,468
2015-06-04,473
2015-06-05,483
2015-06-06,483
2015-06-07,486
2015-06-08,486
2015-06-09,481
2015-06-10,487
2015-06-11,489
2015-06-12,487
2015-06-13,488
2015-06-14,485
2015-06-15,471
2015-06-16,471
2015-06-17,468
2015-06-18,459
2015-06-19,445
2015-06-20,438
2015-06-21,453
2015-06-22,454
2015-06-23,452
2015-06-24,461
2015-06-25,460
2015-06-26,460
2015-06-27,472
2015-06-28,467
2015-06-29,462
2015-06-30,455
2015-07-01,445
2015-07-02,443
2015-07-03,446
2015-07-04,451
2015-07-05,455
2015-07-06,455
2015-07-07,460
2015-07-08,457
2015-07-09,455
2015-07-10,452
2015-07-11,465
2015-07-12,477
2015-07-13,475
2015-07-14,479
2015-07-15,470
2015-07-16,475
2015-07-17,466
2015-07-18,457
2015-07-19,448
2015-07-20,441
2015-07-21,438
2015-07-22,434
2015-07-23,432
2015-07-24,440
2015-07-25,448
2015-07-26,466
2015-07-27,473
2015-07-28,478
2015-07-29,477
2015-07-30,477
2015-07-31,470
2015-08-01,473
2015-08-02,468
2015-08-03,462
2015-08-04,452
2015-08-05,450
2015-08-06,449
2015-08-07,456
2015-08-08,463
2015-08-09,462
2015-08-10,467
2015-08-11,486
2015-08-12,479
2015-08-13,475
2015-08-14,483
2015-08-15,477
2015-08-16,487
2015-08-17,509
2015-08-18,535
2015-08-19,557
2015-08-20,542
2015-08-21,564
2015-08-22,544
2015-08-23,525
2015-08-24,506
2015-08-25,503
2015-08-26,490
2015-08-27,473
2015-08-28,470
2015-08-29,461
2015-08-30,480
2015-08-31,473
2015-09-01,451
2015-09-02,435
2015-09-03,444
2015-09-04,448
2015-09-05,448
2015-09-06,463
2015-09-07,459
2015-09-08,452
2015-09-09,445
2015-09-10,454
2015-09-11,457
2015-09-12,453
2015-09-13,455
2015-09-14,453
2015-09-15,453
2015-09-16,454
2015-09-17,459
2015-09-18,460
2015-09-19,468
2015-09-20,461
2015-09-21,458
2015-09-22,455
2015-09-23,455
2015-09-24,450
2015-09-25,446
2015-09-27,462
2015-09-28,472
2015-09-29,475
2015-09-30,478
2015-10-05,450
2015-10-06,444
2015-10-07,433
2015-10-08,425
2015-10-09,438
2015-10-10,447
2015-10-11,434
2015-10-12,418
2015-10-13,420
2015-10-14,421
2015-10-15,421
2015-10-16,426
2015-10-17,430
2015-10-18,416
2015-10-19,427
2015-10-20,448
2015-10-22,426
2015-10-23,418
2015-10-24,423
2015-10-25,437
2015-10-26,431
2015-10-27,429
2015-10-29,429
2015-10-30,434
2015-10-31,436
2015-11-01,424
2015-11-02,414
2015-11-03,415
2015-11-04,409
2015-11-05,416
2015-11-06,418
2015-11-07,411
2015-11-08,411
2015-11-09,406
2015-11-10,405
2015-11-11,400
2015-11-12,406
2015-11-13,405
2015-11-14,411
2015-11-15,419
2015-11-16,410
2015-11-17,397
2015-11-18,403
2015-11-19,407
2015-11-20,418
2015-11-21,415
2015-11-22,420
2015-11-23,413
2015-11-24,416
2015-11-25,427
2015-11-26,422
2015-11-27,432
2015-11-28,431
2015-11-29,435
2015-11-30,441
2015-12-01,443
2015-12-02,423
2015-12-03,424
2015-12-04,427
2015-12-05,422
2015-12-06,416
2015-12-07,423
2015-12-08,429
2015-12-09,437
2015-12-10,431
2015-12-11,437
2015-12-12,453
2015-12-13,463
2015-12-14,470
2015-12-15,456
2015-12-16,443
2015-12-17,438
2015-12-18,439
2015-12-19,432
2015-12-20,436
2015-12-21,444
2015-12-22,446
2015-12-23,457
2015-12-24,450
2015-12-25,433
2015-12-26,421
2015-12-27,434
2015-12-28,448
2015-12-29,454
2015-12-30,461
2015-12-31,450
2016-01-01,459
2016-01-02,466
2016-01-03,480
2016-01-04,483
2016-01-05,483
2016-01-06,476
2016-01-07,462
2016-01-08,454
2016-01-09,460
2016-01-10,445
2016-01-11,448
2016-01-12,449
2016-01-13,447
2016-01-14,442
2016-01-15,437
2016-01-16,444
2016-01-17,458
2016-01-18,456
2016-01-19,450
2016-01-20,444
2016-01-21,432
2016-01-22,429
2016-01-23,422
2016-01-24,429
2016-01-25,416
2016-01-26,409
2016-01-27,408
2016-01-28,421
2016-01-29,420
2016-01-30,431
2016-01-31,433
2016-02-01,421
2016-02-02,423
2016-02-03,437
2016-02-04,430
2016-02-05,424
2016-02-06,435
2016-02-07,439
2016-02-08,452
2016-02-09,460
2016-02-10,461
2016-02-11,462
2016-02-12,448
2016-02-13,447
2016-02-14,443
2016-02-15,436
2016-02-16,438
2016-02-17,439
2016-02-18,422
2016-02-19,421
2016-02-20,416
2016-02-21,427
2016-02-22,430
2016-02-23,435
2016-02-24,433
2016-02-25,430
2016-02-26,431
2016-02-27,438
2016-02-28,456
2016-02-29,449
2016-03-01,461
2016-03-02,475
2016-03-03,455
