date_obj,Bone%20club price
2015-03-26,23800
2015-03-27,23800
2015-03-28,23800
2015-03-29,23800
2015-03-30,23800
2015-03-31,23800
2015-04-01,23800
2015-04-02,23800
2015-04-03,23800
2015-04-04,23800
2015-04-05,23800
2015-04-06,23800
2015-04-07,23800
2015-04-08,23800
2015-04-09,23800
2015-04-10,23800
2015-04-11,23800
2015-04-12,23800
2015-04-13,23800
2015-04-14,22636
2015-04-15,22636
2015-04-16,22636
2015-04-17,22636
2015-04-18,22636
2015-04-19,22636
2015-04-20,22636
2015-04-21,22636
2015-04-22,22636
2015-04-23,22636
2015-04-24,22636
2015-04-25,22636
2015-04-26,22636
2015-04-27,22636
2015-04-28,22636
2015-04-29,22636
2015-04-30,22636
2015-05-01,22636
2015-05-02,22636
2015-05-03,22636
2015-05-04,22636
2015-05-05,22636
2015-05-06,22636
2015-05-07,22636
2015-05-08,22636
2015-05-09,21514
2015-05-10,21514
2015-05-11,21514
2015-05-12,21514
2015-05-13,21514
2015-05-14,21514
2015-05-15,21514
2015-05-16,21514
2015-05-17,21514
2015-05-18,21514
2015-05-19,21514
2015-05-20,21514
2015-05-21,21514
2015-05-22,21514
2015-05-23,21514
2015-05-24,21514
2015-05-25,21514
2015-05-26,21514
2015-05-27,21514
2015-05-28,20462
2015-05-29,20462
2015-05-30,20462
2015-05-31,20462
2015-06-01,20462
2015-06-02,20462
2015-06-03,20462
2015-06-04,20462
2015-06-05,20462
2015-06-06,20462
2015-06-07,20462
2015-06-08,20462
2015-06-09,20462
2015-06-10,20462
2015-06-11,20462
2015-06-12,20462
2015-06-13,20462
2015-06-14,20462
2015-06-15,19455
2015-06-16,19455
2015-06-17,19455
2015-06-18,19455
2015-06-19,19455
2015-06-20,19455
2015-06-21,19455
2015-06-22,19455
2015-06-23,19455
2015-06-24,19455
2015-06-25,19455
2015-06-26,19455
2015-06-27,19455
2015-06-28,19455
2015-06-29,19455
2015-06-30,18509
2015-07-01,18509
2015-07-02,18509
2015-07-03,18509
2015-07-04,18509
2015-07-05,18509
2015-07-06,18509
2015-07-07,18509
2015-07-08,18509
2015-07-09,18509
2015-07-10,18509
2015-07-11,18509
2015-07-12,18509
2015-07-13,18509
2015-07-14,18509
2015-07-15,18509
2015-07-16,17620
2015-07-17,17620
2015-07-18,17620
2015-07-19,17620
2015-07-20,17620
2015-07-21,17620
2015-07-22,17620
2015-07-23,17620
2015-07-24,17620
2015-07-25,17620
2015-07-26,17620
2015-07-27,17620
2015-07-28,17620
2015-07-29,17620
2015-07-30,17620
2015-07-31,17620
2015-08-01,16765
2015-08-02,16765
2015-08-03,16765
2015-08-04,16765
2015-08-05,16765
2015-08-06,16765
2015-08-07,16765
2015-08-08,16765
2015-08-09,16765
2015-08-10,16765
2015-08-11,16765
2015-08-12,16765
2015-08-13,16765
2015-08-14,15971
2015-08-15,15971
2015-08-16,15971
2015-08-17,15971
2015-08-18,15971
2015-08-19,15971
2015-08-20,15971
2015-08-21,15971
2015-08-22,15971
2015-08-23,15971
2015-08-24,15971
2015-08-25,15971
2015-08-26,15971
2015-08-27,15971
2015-08-28,15971
2015-08-29,15971
2015-08-30,15201
2015-08-31,15201
2015-09-01,15201
2015-09-02,15201
2015-09-03,15201
2015-09-04,15201
2015-09-05,15201
2015-09-06,15201
2015-09-07,15201
2015-09-08,15201
2015-09-09,15201
2015-09-10,15201
2015-09-11,15201
2015-09-12,15201
2015-09-13,15201
2015-09-14,15201
2015-09-15,15201
2015-09-16,15201
2015-09-17,15201
2015-09-18,14492
2015-09-19,14492
2015-09-20,14492
2015-09-21,14492
2015-09-22,14492
2015-09-23,14492
2015-09-24,14492
2015-09-25,14492
2015-09-27,14492
2015-09-28,14492
2015-09-29,14492
2015-09-30,14492
2015-10-05,13795
2015-10-06,13795
2015-10-07,13795
2015-10-08,13795
2015-10-09,13795
2015-10-10,13795
2015-10-11,13795
2015-10-12,13795
2015-10-13,13795
2015-10-14,13795
2015-10-15,13795
2015-10-16,13795
2015-10-17,13795
2015-10-18,13795
2015-10-19,13144
2015-10-20,13144
2015-10-22,13144
2015-10-23,13144
2015-10-24,13144
2015-10-25,13144
2015-10-26,13144
2015-10-27,13144
2015-10-29,13144
2015-10-30,13144
2015-10-31,13144
2015-11-01,13144
2015-11-02,13144
2015-11-03,13144
2015-11-04,13144
2015-11-05,12499
2015-11-06,12499
2015-11-07,12499
2015-11-08,12499
2015-11-09,12499
2015-11-10,12499
2015-11-11,12499
2015-11-12,12499
2015-11-13,12499
2015-11-14,12499
2015-11-15,12499
2015-11-16,12499
2015-11-17,12499
2015-11-18,12499
2015-11-19,12499
2015-11-20,12499
2015-11-21,12499
2015-11-22,12499
2015-11-23,12499
2015-11-24,12499
2015-11-25,11909
2015-11-26,11909
2015-11-27,11909
2015-11-28,11909
2015-11-29,11909
2015-11-30,11909
2015-12-01,11909
2015-12-02,11909
2015-12-03,11909
2015-12-04,11909
2015-12-05,11909
2015-12-06,11909
2015-12-07,11909
2015-12-08,11909
2015-12-09,11909
2015-12-10,11909
2015-12-11,11338
2015-12-12,11338
2015-12-13,11338
2015-12-14,11338
2015-12-15,11338
2015-12-16,11338
2015-12-17,11338
2015-12-18,11338
2015-12-19,11338
2015-12-20,11338
2015-12-21,11338
2015-12-22,11338
2015-12-23,11338
2015-12-24,11338
2015-12-25,11338
2015-12-26,10796
