date_obj,Cake price
2015-03-26,120
2015-03-27,120
2015-03-28,123
2015-03-29,122
2015-03-30,122
2015-03-31,120
2015-04-01,120
2015-04-02,121
2015-04-03,118
2015-04-04,121
2015-04-05,121
2015-04-06,122
2015-04-07,122
2015-04-08,122
2015-04-09,122
2015-04-10,121
2015-04-11,125
2015-04-12,125
2015-04-13,128
2015-04-14,128
2015-04-15,129
2015-04-16,129
2015-04-17,133
2015-04-18,135
2015-04-19,135
2015-04-20,134
2015-04-21,131
2015-04-22,131
2015-04-23,127
2015-04-24,127
2015-04-25,124
2015-04-26,124
2015-04-27,120
2015-04-28,119
2015-04-29,119
2015-04-30,118
2015-05-01,121
2015-05-02,121
2015-05-03,122
2015-05-04,122
2015-05-05,123
2015-05-06,123
2015-05-07,124
2015-05-08,124
2015-05-09,126
2015-05-10,126
2015-05-11,127
2015-05-12,127
2015-05-13,127
2015-05-14,126
2015-05-15,126
2015-05-16,128
2015-05-17,127
2015-05-18,127
2015-05-19,126
2015-05-20,126
2015-05-21,126
2015-05-22,126
2015-05-23,126
2015-05-24,128
2015-05-25,128
2015-05-26,128
2015-05-27,128
2015-05-28,125
2015-05-29,124
2015-05-30,123
2015-05-31,123
2015-06-01,124
2015-06-02,124
2015-06-03,121
2015-06-04,121
2015-06-05,123
2015-06-06,121
2015-06-07,122
2015-06-08,122
2015-06-09,125
2015-06-10,128
2015-06-11,128
2015-06-12,130
2015-06-13,132
2015-06-14,132
2015-06-15,132
2015-06-16,136
2015-06-17,136
2015-06-18,136
2015-06-19,136
2015-06-20,139
2015-06-21,139
2015-06-22,142
2015-06-23,142
2015-06-24,143
2015-06-25,143
2015-06-26,143
2015-06-27,143
2015-06-28,141
2015-06-29,141
2015-06-30,141
2015-07-01,144
2015-07-02,144
2015-07-03,148
2015-07-04,151
2015-07-05,151
2015-07-06,155
2015-07-07,156
2015-07-08,160
2015-07-09,160
2015-07-10,163
2015-07-11,163
2015-07-12,168
2015-07-13,166
2015-07-14,169
2015-07-15,174
2015-07-16,174
