date_obj,Tribal%20top%20(blue) price
2015-11-30,11750
2015-12-01,11750
2015-12-02,11750
2015-12-03,11188
2015-12-04,11188
2015-12-05,11188
2015-12-06,11188
2015-12-07,11188
2015-12-08,11188
2015-12-09,11188
2015-12-10,11188
2015-12-11,11188
2015-12-12,10663
2015-12-13,10663
2015-12-14,10663
2015-12-15,10663
2015-12-16,10663
2015-12-17,10663
2015-12-18,10663
2015-12-19,10663
2015-12-20,10663
2015-12-21,10663
2015-12-22,10663
2015-12-23,10375
2015-12-24,10375
2015-12-25,10375
2015-12-26,10375
2015-12-27,10375
2015-12-28,10375
2015-12-29,10375
2015-12-30,10375
2015-12-31,10375
2016-01-01,10375
2016-01-02,10375
2016-01-03,10067
2016-01-04,10067
2016-01-05,10067
2016-01-06,10067
2016-01-07,10067
2016-01-08,10067
2016-01-09,10067
2016-01-10,10067
2016-01-11,10067
2016-01-12,10067
2016-01-13,10067
2016-01-14,10067
2016-01-15,9843
2016-01-16,9843
2016-01-17,9843
2016-01-18,9843
2016-01-19,9843
2016-01-20,9843
2016-01-21,9843
2016-01-22,9843
2016-01-23,9843
2016-01-24,9843
2016-01-25,9843
2016-01-26,9828
2016-01-27,9828
2016-01-28,9828
2016-01-29,9828
2016-01-30,9828
2016-01-31,9828
2016-02-01,9828
2016-02-02,9828
2016-02-03,9828
2016-02-04,9828
2016-02-05,9828
2016-02-06,9857
2016-02-07,9857
2016-02-08,9857
2016-02-09,9857
2016-02-10,9857
2016-02-11,9857
2016-02-12,9857
2016-02-13,9857
2016-02-14,9857
2016-02-15,9857
2016-02-16,9857
2016-02-17,9857
2016-02-18,9857
2016-02-19,10041
2016-02-20,10041
2016-02-21,10041
2016-02-22,10041
2016-02-23,10041
2016-02-24,10041
2016-02-25,10041
2016-02-26,10041
2016-02-27,10041
2016-02-28,10041
2016-02-29,10041
2016-03-01,10117
2016-03-02,10117
2016-03-03,10117
2016-03-04,10117
2016-03-05,10117
2016-03-06,10117
2016-03-07,10117
2016-03-08,10117
2016-03-09,10117
2016-03-10,10117
2016-03-11,9906
2016-03-12,9906
2016-03-13,9906
2016-03-14,9906
2016-03-15,9906
2016-03-16,9906
2016-03-17,9906
2016-03-18,9906
2016-03-19,9906
2016-03-20,9612
2016-03-21,9612
2016-03-22,9612
2016-03-23,9612
2016-03-24,9612
2016-03-25,9612
2016-03-26,9612
2016-03-27,9612
2016-03-28,9612
2016-03-29,9612
2016-03-30,9612
2016-03-31,9612
2016-04-01,9612
2016-04-02,9500
2016-04-03,9500
2016-04-04,9500
2016-04-05,9500
2016-04-06,9500
2016-04-07,9500
2016-04-08,9500
2016-04-09,9500
2016-04-10,9500
2016-04-11,9500
2016-04-12,9500
2016-04-13,9495
2016-04-14,9495
2016-04-15,9495
2016-04-16,9495
2016-04-17,9495
2016-04-18,9495
2016-04-19,9495
2016-04-20,9495
2016-04-21,9495
2016-04-22,9495
2016-04-23,9495
2016-04-24,9495
2016-04-25,9325
2016-04-26,9325
2016-04-27,9325
