date_obj,Sulliuscep%20cap price
2017-09-07,3138
2017-09-08,3138
2017-09-09,3138
2017-09-10,3138
2017-09-11,3138
2017-09-12,3138
2017-09-13,3165
2017-09-14,3165
2017-09-15,3165
2017-09-16,3165
2017-09-17,3165
2017-09-19,3165
2017-09-20,3074
2017-09-21,3074
2017-09-22,3074
2017-09-23,3074
2017-09-24,3074
2017-09-25,3074
2017-09-26,3151
2017-09-27,3151
2017-09-28,3151
2017-09-29,3151
2017-09-30,3151
2017-10-01,3151
2017-10-02,3151
2017-10-03,3186
2017-10-04,3186
2017-10-05,3186
2017-10-06,3186
2017-10-07,3186
2017-10-08,3186
2017-10-09,3186
2017-10-10,3115
2017-10-11,3115
2017-10-12,3115
2017-10-13,3115
2017-10-14,3115
2017-10-15,3115
2017-10-16,3115
2017-10-17,3115
2017-10-18,3011
2017-10-19,3011
2017-10-20,3011
2017-10-21,3011
2017-10-22,3011
2017-10-23,3011
2017-10-24,3011
2017-10-25,2986
2017-10-26,2986
2017-10-27,2986
2017-10-28,2986
2017-10-29,2986
2017-10-30,2986
2017-10-31,2986
2017-11-01,2941
2017-11-02,2941
2017-11-03,2941
2017-11-04,2941
2017-11-05,2941
2017-11-06,2941
2017-11-07,2798
2017-11-08,2798
2017-11-09,2798
2017-11-10,2798
2017-11-11,2798
2017-11-12,2798
2017-11-13,2666
2017-11-14,2666
2017-11-15,2666
2017-11-16,2666
2017-11-17,2666
2017-11-18,2666
2017-11-19,2666
2017-11-20,2537
2017-11-21,2537
2017-11-22,2537
2017-11-23,2537
2017-11-24,2537
2017-11-25,2537
2017-11-26,2417
2017-11-27,2417
2017-11-28,2417
2017-11-29,2417
2017-11-30,2417
2017-12-01,2417
2017-12-02,2417
2017-12-03,2301
2017-12-04,2301
2017-12-05,2301
2017-12-06,2301
2017-12-07,2301
2017-12-08,2301
2017-12-09,2301
2017-12-10,2192
2017-12-11,2192
2017-12-12,2192
2017-12-13,2192
2017-12-14,2192
2017-12-15,2192
2017-12-16,2192
2017-12-17,2131
2017-12-18,2131
2017-12-19,2131
2017-12-20,2131
2017-12-21,2131
2017-12-22,2131
2017-12-23,2056
2017-12-24,2056
2017-12-25,2056
2017-12-26,2056
2017-12-27,2056
2017-12-28,2056
2017-12-29,2056
2017-12-30,2082
2017-12-31,2082
2018-01-01,2082
2018-01-02,2082
2018-01-03,2082
2018-01-04,2082
2018-01-05,2116
2018-01-06,2116
2018-01-07,2116
2018-01-08,2116
2018-01-09,2116
2018-01-10,2116
2018-01-11,2037
2018-01-12,2037
2018-01-13,2037
2018-01-14,2037
2018-01-15,2037
2018-01-16,1953
2018-01-17,1953
2018-01-18,1953
2018-01-19,1953
2018-01-20,1953
2018-01-21,1953
2018-01-22,1905
2018-01-23,1905
2018-01-24,1823
2018-01-25,1823
2018-01-26,1823
2018-01-27,1744
2018-01-28,1744
2018-01-29,1658
2018-01-30,1658
2018-02-01,1601
2018-02-02,1601
2018-02-03,1538
2018-02-04,1538
2018-02-05,1538
2018-02-06,1478
2018-02-07,1478
2018-02-08,1478
2018-02-09,1422
2018-02-10,1422
2018-02-11,1422
2018-02-12,1426
2018-02-13,1426
2018-02-14,1426
2018-02-15,1423
2018-02-16,1423
2018-02-17,1423
2018-02-18,1357
2018-02-19,1357
2018-02-20,1312
2018-02-21,1312
2018-02-22,1312
2018-02-23,1264
2018-02-24,1264
2018-02-25,1204
2018-02-26,1204
2018-02-27,1149
2018-02-28,1149
2018-03-01,1149
