date_obj,Ensouled%20scorpion%20head price
2016-01-08,2500
2016-01-09,2505
2016-01-10,2389
2016-01-11,2297
2016-01-12,2194
2016-01-13,2109
2016-01-14,2007
2016-01-15,1910
2016-01-16,1821
2016-01-17,1740
2016-01-18,1653
2016-01-19,1586
2016-01-20,1506
2016-01-21,1434
2016-01-22,1373
2016-01-23,1307
2016-01-24,1246
2016-01-25,1189
2016-01-26,1138
2016-01-27,1083
2016-01-28,1041
2016-01-29,995
2016-01-30,995
2016-01-31,945
2016-02-01,901
2016-02-02,894
2016-02-03,939
2016-02-04,986
2016-02-05,1036
2016-02-06,1088
2016-02-07,1075
2016-02-08,1027
2016-02-09,1005
2016-02-10,963
2016-02-11,923
2016-02-12,893
2016-02-13,853
2016-02-14,853
2016-02-15,849
2016-02-16,882
2016-02-17,882
2016-02-18,926
2016-02-19,926
2016-02-20,927
2016-02-21,930
2016-02-22,930
2016-02-23,941
2016-02-24,901
2016-02-25,886
2016-02-26,886
2016-02-27,860
2016-02-28,857
2016-02-29,862
2016-03-01,860
2016-03-02,860
2016-03-03,890
2016-03-04,883
2016-03-05,908
2016-03-06,917
2016-03-07,917
2016-03-08,963
2016-03-09,1012
2016-03-10,1063
2016-03-11,1117
2016-03-12,1108
2016-03-13,1056
2016-03-14,1019
2016-03-15,1062
2016-03-16,1066
2016-03-17,1065
2016-03-18,1065
2016-03-19,1065
2016-03-20,1075
2016-03-21,1075
2016-03-22,1065
2016-03-23,1065
2016-03-24,1065
2016-03-25,1065
2016-03-26,1065
2016-03-27,1077
2016-03-28,1065
2016-03-29,1065
2016-03-30,1065
2016-03-31,1069
2016-04-01,1065
2016-04-02,1066
2016-04-03,1070
2016-04-04,1065
2016-04-05,1040
2016-04-06,1010
2016-04-07,973
2016-04-08,1002
2016-04-09,1053
2016-04-10,1084
2016-04-11,1084
2016-04-12,1043
2016-04-13,1010
2016-04-14,1061
2016-04-15,1056
2016-04-16,1012
2016-04-17,968
2016-04-18,921
2016-04-19,885
2016-04-20,872
2016-04-21,916
2016-04-22,916
2016-04-23,940
2016-04-24,941
2016-04-25,940
2016-04-26,942
2016-04-27,916
2016-04-28,876
2016-04-29,836
2016-04-30,794
2016-05-01,761
2016-05-02,745
2016-05-03,715
2016-05-04,702
2016-05-05,700
2016-05-06,700
2016-05-07,665
2016-05-08,635
2016-05-09,613
2016-05-10,582
2016-05-11,554
2016-05-12,553
2016-05-13,531
2016-05-14,530
2016-05-15,515
2016-05-16,491
2016-05-17,496
2016-05-18,521
2016-05-19,521
2016-05-22,476
2016-05-23,455
2016-05-24,433
2016-05-25,415
2016-05-26,420
2016-05-27,424
2016-05-28,424
2016-05-29,405
2016-05-30,405
2016-05-31,400
2016-06-01,408
2016-06-02,409
2016-06-03,390
2016-06-04,391
2016-06-05,391
2016-06-06,409
2016-06-07,409
2016-06-08,410
2016-06-09,409
2016-06-10,410
2016-06-11,410
2016-06-12,412
2016-06-13,412
2016-06-14,419
2016-06-15,419
2016-06-16,431
2016-06-17,445
2016-06-18,445
2016-06-19,443
2016-06-20,422
2016-06-21,427
2016-06-22,449
2016-06-23,432
2016-06-24,439
2016-06-25,438
2016-06-26,438
2016-06-27,456
2016-06-28,479
2016-06-29,503
2016-06-30,529
2016-07-01,556
2016-07-02,578
2016-07-03,555
2016-07-04,550
2016-07-05,553
2016-07-06,575
2016-07-07,604
2016-07-08,635
2016-07-09,659
2016-07-10,649
2016-07-11,682
2016-07-12,700
2016-07-13,670
2016-07-14,657
2016-07-15,657
2016-07-16,690
2016-07-17,725
2016-07-18,762
2016-07-23,784
2016-07-24,770
2016-07-25,767
2016-07-26,767
2016-07-27,762
2016-07-28,762
2016-07-29,761
2016-07-30,748
2016-07-31,748
2016-08-01,779
2016-08-02,771
2016-08-03,752
2016-08-04,752
2016-08-05,759
2016-08-06,724
2016-08-07,690
2016-08-08,660
2016-08-09,657
2016-08-10,657
2016-08-11,680
2016-08-12,702
2016-08-13,700
2016-08-14,701
2016-08-15,711
2016-08-16,728
2016-08-17,728
2016-08-18,716
2016-08-19,729
2016-08-20,745
2016-08-21,745
2016-08-22,782
2016-08-23,822
2016-08-24,822
2016-08-25,864
2016-08-26,864
2016-08-28,906
2016-08-31,917
2016-09-01,905
2016-09-02,905
2016-09-03,888
2016-09-04,909
2016-09-05,869
2016-09-06,913
2016-09-07,913
2016-09-08,941
2016-09-09,897
2016-09-10,856
2016-09-11,840
2016-09-12,863
2016-09-13,857
2016-09-14,857
2016-09-15,826
2016-09-16,826
2016-09-17,798
2016-09-18,837
2016-09-19,872
2016-09-20,872
2016-09-21,908
2016-09-22,870
2016-09-23,870
2016-09-24,827
2016-09-25,787
2016-09-26,787
2016-09-27,747
2016-09-28,725
2016-09-29,725
2016-09-30,750
2016-10-01,718
2016-10-02,718
2016-10-03,686
2016-10-04,659
2016-10-05,652
2016-10-06,652
2016-10-07,620
2016-10-08,599
2016-10-09,599
2016-10-10,595
2016-10-11,602
2016-10-12,602
2016-10-13,612
2016-10-14,627
2016-10-15,627
2016-10-16,611
