date_obj,Gardening%20boots price
2015-03-26,616
2015-03-27,616
2015-03-28,616
2015-03-29,616
2015-03-30,616
2015-03-31,616
2015-04-01,616
2015-04-02,645
2015-04-03,645
2015-04-04,645
2015-04-05,645
2015-04-06,645
2015-04-07,645
2015-04-08,645
2015-04-09,673
2015-04-10,673
2015-04-11,673
2015-04-12,673
2015-04-13,673
2015-04-14,673
2015-04-15,673
2015-04-16,704
2015-04-17,704
2015-04-18,704
2015-04-19,704
2015-04-20,704
2015-04-21,704
2015-04-22,704
2015-04-23,736
2015-04-24,736
2015-04-25,736
2015-04-26,736
2015-04-27,736
2015-04-28,736
2015-04-29,736
2015-04-30,769
2015-05-01,769
2015-05-02,769
2015-05-03,769
2015-05-04,769
2015-05-05,769
2015-05-06,769
2015-05-07,806
2015-05-08,806
2015-05-09,806
2015-05-10,806
2015-05-11,806
2015-05-12,806
2015-05-13,806
2015-05-14,845
2015-05-15,845
2015-05-16,845
2015-05-17,845
2015-05-18,845
2015-05-19,845
2015-05-20,845
2015-05-21,845
2015-05-22,866
2015-05-23,866
2015-05-24,866
2015-05-25,866
2015-05-26,866
2015-05-27,866
2015-05-28,866
2015-05-29,866
2015-05-30,908
2015-05-31,908
2015-06-01,908
2015-06-02,908
2015-06-03,908
2015-06-04,908
2015-06-05,908
2015-06-06,908
2015-06-07,952
2015-06-08,952
2015-06-09,952
2015-06-10,952
2015-06-11,952
2015-06-12,952
2015-06-13,952
2015-06-14,999
2015-06-15,999
2015-06-16,999
2015-06-17,999
2015-06-18,999
2015-06-19,999
2015-06-20,999
2015-06-21,999
2015-06-22,999
2015-06-23,1045
2015-06-24,1045
2015-06-25,1045
2015-06-26,1045
2015-06-27,1045
2015-06-28,1045
2015-06-29,1045
2015-06-30,1094
2015-07-01,1094
2015-07-02,1094
2015-07-03,1094
2015-07-04,1094
2015-07-05,1094
2015-07-06,1094
2015-07-07,1145
2015-07-08,1145
2015-07-09,1145
2015-07-10,1145
2015-07-11,1145
2015-07-12,1145
2015-07-13,1145
2015-07-14,1199
2015-07-15,1199
2015-07-16,1199
2015-07-17,1199
2015-07-18,1199
2015-07-19,1199
2015-07-20,1199
2015-07-21,1244
2015-07-22,1244
2015-07-23,1244
2015-07-24,1244
2015-07-25,1244
2015-07-26,1244
2015-07-27,1303
2015-07-28,1303
2015-07-29,1303
2015-07-30,1303
2015-07-31,1303
2015-08-01,1303
2015-08-02,1355
