date_obj,Zamorak%20godsword%20ornament%20kit price
2016-07-06,50000000
2016-07-07,50000000
2016-07-08,50000000
2016-07-09,47500000
2016-07-10,47500000
2016-07-11,45125000
2016-07-12,45125000
2016-07-13,45125000
2016-07-14,42908333
2016-07-15,42908333
2016-07-16,42908333
2016-07-17,42908333
2016-07-18,42908333
2016-07-24,40762916
2016-07-25,38724770
2016-07-26,38724770
2016-07-27,38724770
2016-07-28,38724770
2016-07-29,38724770
2016-07-30,36788531
2016-07-31,36788531
2016-08-01,36788531
2016-08-02,36788531
2016-08-03,36788531
2016-08-04,36788531
2016-08-05,36788531
2016-08-06,36788531
2016-08-07,34949104
2016-08-08,34949104
2016-08-09,34949104
2016-08-10,34949104
2016-08-11,34949104
2016-08-12,34949104
2016-08-13,34949104
2016-08-14,34949104
2016-08-15,33213455
2016-08-16,33213455
2016-08-17,33213455
2016-08-18,33213455
2016-08-19,33213455
2016-08-20,33213455
2016-08-21,33213455
2016-08-22,33213455
2016-08-23,33213455
2016-08-24,31552782
2016-08-25,31552782
2016-08-26,31552782
2016-08-28,31552782
2016-08-31,29975142
2016-09-01,29975142
2016-09-02,29975142
2016-09-03,29975142
2016-09-04,28476384
2016-09-05,28476384
2016-09-06,28476384
2016-09-07,28476384
2016-09-08,28476384
2016-09-09,28476384
2016-09-10,27073658
2016-09-11,27073658
2016-09-12,27073658
2016-09-13,27073658
2016-09-14,27073658
2016-09-15,27073658
2016-09-16,27073658
2016-09-17,27073658
2016-09-18,25719975
2016-09-19,25719975
2016-09-20,25719975
2016-09-21,25719975
2016-09-22,25719975
2016-09-23,24453610
2016-09-24,24453610
2016-09-25,24453610
2016-09-26,24453610
2016-09-27,24453610
2016-09-28,24453610
2016-09-29,23239420
2016-09-30,23239420
2016-10-01,23239420
2016-10-02,23239420
2016-10-03,22077449
2016-10-04,22077449
2016-10-05,22077449
2016-10-06,20973576
2016-10-07,20973576
2016-10-08,20973576
2016-10-09,20973576
2016-10-10,19924897
2016-10-11,19924897
2016-10-12,19924897
2016-10-13,19924897
2016-10-14,18928652
2016-10-15,18928652
2016-10-16,18928652
2016-10-17,18928652
2016-10-18,18928652
2016-10-19,17982219
2016-10-20,17982219
2016-10-21,17982219
2016-10-22,17982219
2016-10-23,17083108
2016-10-24,17083108
2016-10-25,17083108
2016-10-26,16234157
2016-10-27,16234157
2016-10-28,16234157
