date_obj,Toktz-xil-ul price
2015-03-26,1028
2015-03-27,1028
2015-03-28,1049
2015-03-29,1049
2015-03-30,1049
2015-03-31,1028
2015-04-01,1028
2015-04-02,1028
2015-04-03,979
2015-04-04,979
2015-04-05,979
2015-04-06,937
2015-04-07,937
2015-04-08,937
2015-04-09,900
2015-04-10,900
2015-04-11,900
2015-04-12,910
2015-04-13,910
2015-04-14,910
2015-04-15,933
2015-04-16,933
2015-04-17,933
2015-04-18,964
2015-04-19,964
2015-04-20,964
2015-04-21,996
2015-04-22,996
2015-04-23,996
2015-04-24,1031
2015-04-25,1031
2015-04-26,1031
2015-04-27,1041
2015-04-28,1041
2015-04-29,1041
2015-04-30,1041
2015-05-01,1069
2015-05-02,1069
2015-05-03,1069
2015-05-04,1069
2015-05-05,1119
2015-05-06,1119
2015-05-07,1119
2015-05-08,1119
2015-05-09,1160
2015-05-10,1160
2015-05-11,1160
2015-05-12,1160
2015-05-13,1160
2015-05-14,1160
2015-05-15,1160
2015-05-16,1133
2015-05-17,1133
2015-05-18,1133
2015-05-19,1101
2015-05-20,1101
2015-05-21,1101
2015-05-22,1101
2015-05-23,1101
2015-05-24,1058
2015-05-25,1058
2015-05-26,1058
2015-05-27,1034
2015-05-28,1034
2015-05-29,1034
2015-05-30,1067
2015-05-31,1067
2015-06-01,1067
2015-06-02,1112
2015-06-03,1112
2015-06-04,1112
2015-06-05,1157
2015-06-06,1157
2015-06-07,1157
2015-06-08,1179
2015-06-09,1179
2015-06-10,1170
2015-06-11,1170
2015-06-12,1170
2015-06-13,1229
2015-06-14,1229
2015-06-15,1229
2015-06-16,1206
2015-06-17,1206
2015-06-18,1159
2015-06-19,1159
2015-06-20,1159
2015-06-21,1167
2015-06-22,1167
2015-06-23,1167
2015-06-24,1167
2015-06-25,1167
2015-06-26,1152
2015-06-27,1152
2015-06-28,1152
2015-06-29,1154
2015-06-30,1154
2015-07-01,1154
2015-07-02,1125
2015-07-03,1125
2015-07-04,1129
2015-07-05,1129
2015-07-06,1129
2015-07-07,1108
2015-07-08,1108
2015-07-09,1108
2015-07-10,1128
2015-07-11,1128
2015-07-12,1128
2015-07-13,1128
2015-07-14,1128
2015-07-15,1128
2015-07-16,1153
2015-07-17,1153
2015-07-18,1153
2015-07-19,1175
2015-07-20,1175
2015-07-21,1175
2015-07-22,1216
2015-07-23,1216
2015-07-24,1216
2015-07-25,1220
2015-07-26,1220
2015-07-27,1220
2015-07-28,1248
2015-07-29,1248
2015-07-30,1248
2015-07-31,1303
2015-08-01,1303
2015-08-02,1337
2015-08-03,1337
2015-08-04,1337
2015-08-05,1372
2015-08-06,1372
2015-08-07,1372
2015-08-08,1441
2015-08-09,1441
2015-08-10,1513
2015-08-11,1513
2015-08-12,1513
2015-08-13,1541
2015-08-14,1541
2015-08-15,1525
2015-08-16,1525
2015-08-17,1525
2015-08-18,1455
2015-08-19,1455
2015-08-20,1430
2015-08-21,1430
2015-08-22,1428
2015-08-23,1428
2015-08-24,1418
2015-08-25,1418
2015-08-26,1418
2015-08-27,1469
2015-08-28,1469
2015-08-29,1469
2015-08-30,1411
2015-08-31,1411
2015-09-01,1366
2015-09-02,1366
2015-09-03,1366
2015-09-04,1311
2015-09-05,1311
2015-09-06,1311
2015-09-07,1258
2015-09-08,1258
2015-09-09,1208
2015-09-10,1208
2015-09-11,1213
2015-09-12,1213
2015-09-13,1213
2015-09-14,1201
2015-09-15,1201
2015-09-16,1201
2015-09-17,1170
2015-09-18,1170
2015-09-19,1170
2015-09-20,1153
2015-09-21,1153
2015-09-22,1153
2015-09-23,1163
2015-09-24,1163
2015-09-25,1163
2015-09-27,1165
2015-09-28,1165
2015-09-29,1182
2015-09-30,1182
2015-10-05,1192
2015-10-06,1189
2015-10-07,1189
2015-10-08,1189
2015-10-09,1179
2015-10-10,1179
2015-10-11,1179
2015-10-12,1162
2015-10-13,1162
2015-10-14,1162
2015-10-15,1110
2015-10-16,1110
2015-10-17,1110
2015-10-18,1105
2015-10-19,1105
2015-10-20,1116
2015-10-22,1116
2015-10-23,1137
2015-10-24,1137
2015-10-25,1139
2015-10-26,1139
2015-10-27,1139
2015-10-29,1147
2015-10-30,1147
2015-10-31,1107
2015-11-01,1107
2015-11-02,1107
2015-11-03,1083
2015-11-04,1083
2015-11-05,1083
2015-11-06,1074
2015-11-07,1074
2015-11-08,1074
2015-11-09,1056
2015-11-10,1056
2015-11-11,1056
2015-11-12,1048
2015-11-13,1048
2015-11-14,1048
2015-11-15,1054
2015-11-16,1054
2015-11-17,1054
2015-11-18,1054
2015-11-19,1057
2015-11-20,1057
2015-11-21,1057
2015-11-22,1065
2015-11-23,1065
2015-11-24,1065
2015-11-25,1076
2015-11-26,1076
2015-11-27,1076
2015-11-28,1070
2015-11-29,1070
2015-11-30,1070
2015-12-01,1065
2015-12-02,1065
2015-12-03,1066
2015-12-04,1066
2015-12-05,1066
2015-12-06,1086
2015-12-07,1086
2015-12-08,1086
2015-12-09,1087
2015-12-10,1087
2015-12-11,1087
2015-12-13,1092
2015-12-14,1092
2015-12-15,1074
2015-12-16,1074
2015-12-17,1074
2015-12-18,1071
2015-12-19,1071
2015-12-20,1071
2015-12-21,1079
2015-12-22,1079
2015-12-23,1079
2015-12-24,1068
2015-12-25,1068
2015-12-26,1068
2015-12-27,1059
2015-12-28,1059
2015-12-29,1045
2015-12-30,1045
2015-12-31,1045
2016-01-01,1028
2016-01-02,1028
2016-01-03,981
2016-01-04,981
2016-01-05,956
2016-01-06,956
2016-01-07,942
2016-01-08,942
2016-01-09,942
2016-01-10,938
2016-01-11,938
2016-01-12,968
2016-01-13,968
2016-01-14,973
2016-01-15,973
2016-01-16,973
2016-01-17,953
2016-01-18,953
2016-01-19,953
2016-01-20,972
2016-01-21,972
2016-01-22,972
2016-01-23,970
2016-01-24,970
2016-01-25,952
2016-01-26,952
2016-01-27,947
2016-01-28,947
2016-01-29,947
2016-01-30,953
2016-01-31,953
2016-02-01,956
2016-02-02,956
2016-02-03,975
2016-02-04,975
2016-02-05,975
2016-02-06,963
2016-02-07,963
2016-02-08,963
2016-02-09,953
2016-02-10,953
2016-02-11,956
2016-02-12,956
2016-02-13,964
2016-02-14,964
2016-02-15,964
2016-02-16,958
2016-02-17,958
2016-02-18,958
2016-02-19,969
2016-02-20,969
2016-02-21,1018
2016-02-22,1018
2016-02-23,1018
2016-02-24,1036
2016-02-25,1036
2016-02-26,1036
2016-02-27,1074
2016-02-28,1074
2016-02-29,1074
2016-03-01,1125
2016-03-02,1125
2016-03-03,1125
2016-03-04,1161
2016-03-05,1161
2016-03-06,1163
2016-03-07,1163
2016-03-08,1163
2016-03-09,1130
2016-03-10,1130
2016-03-11,1130
2016-03-12,1101
2016-03-13,1101
2016-03-14,1101
2016-03-15,1083
2016-03-16,1083
2016-03-17,1081
2016-03-18,1081
2016-03-19,1076
2016-03-20,1076
2016-03-21,1089
2016-03-22,1089
2016-03-23,1089
2016-03-24,1136
